Sample	Condition	Replication	DNAConcentration	Mean16sCount	MicrobesPerGram	RatioBacteroidetesFirmicutes	RawReads	DeduplicatedReads	TrimmedReads	HostRemovedReads	OrphanReads	AbsoluteAbundanceFirmicutes	AbsoluteAbundanceBacteroidetes	AbsoluteAbundanceActinobacteria	AbsoluteAbundanceOtherBacteria	AbsoluteAbundanceViruses	AbsoluteAbundanceFungi	AbsoluteAbundanceUnclassifiedRoot	AbsoluteAbundanceUnclassified	ShannonEntropy	InverseSimpson	RichnessAbove0.01	RelativeAbundanceFirmicutes	RelativeAbundanceBacteroidetes	RelativeAbundanceActinobacteria	RelativeAbundanceOtherBacteria	RelativeAbundanceViruses	RelativeAbundanceFungi	RelativeAbundanceUnclassifiedRoot	RelativeAbundanceUnclassified
D02-OF-R3	OF	R3	110	4.641039764	3.69e+12	0.772351037	49118973	44938252	43380287	40211559	2295304	1.83e+12	1.41e+12	50559823390	21615822482	14144832107	2567904680	3.61e+11	2.2e+11	2.557831543	4.752923121	81	0.495371438	0.382600644	0.013704811	0.005859213	0.003834116	0.00069606	0.097886444	0.059632252
D02-OH-R1	OH	R1	80.2	4.626937316	9.28e+12	0.6432025	89239023	76167320	74160389	67783845	2915701	4.92e+12	3.16e+12	1.35e+11	55832527574	61506744905	7029677474	9.4e+11	6.43e+11	2.683578796	5.617968566	88	0.529898954	0.340832332	0.014528479	0.006016508	0.006627961	0.000757517	0.101281645	0.069330974
D02-OH-R2	OH	R2	62	4.620559328	27438245277	0.721007364	31441635	28137897	27386563	24701864	1144371	13834567344	9974824930	323288245	176160069.5	201971990.3	20653843.58	2905240838	1911793569	2.607890938	5.046528762	86	0.504207438	0.363537275	0.011782395	0.006420238	0.007360966	0.000752739	0.105882895	0.069676233
D02-OH-R3	OH	R3	89.6	4.629270717	5.01e+12	1.001858966	20862373	18951201	18409708	16596532	853338	2.18e+12	2.18e+12	39274567355	32450644820	42103577366	2494352809	5.36e+11	3.32e+11	2.37635729	3.851548102	83	0.434466403	0.435274061	0.007833754	0.006472646	0.008398032	0.000497527	0.107006698	0.066144786
D02-OR-R1	OR	R1	79.6	4.569566185	1.49e+13	1.202673792	51818540	44274800	43095675	39600194	1673488	5.91e+12	7.11e+12	1.16e+11	1.05e+11	1.19e+11	11241736338	1.54e+12	9.1e+11	2.282673236	3.396982037	82	0.396399227	0.476738961	0.007748281	0.007055818	0.008005136	0.000753688	0.103244827	0.060980292
D02-OR-R2	OR	R2	98.2	4.56444081	3.93e+13	1.273735875	44895911	39374718	38372769	34445851	1450794	1.51e+13	1.92e+13	2.33e+11	2.99e+11	3.29e+11	30343909625	4.09e+12	2.39e+12	2.23952955	3.31306766	81	0.38404329	0.489169716	0.005934895	0.007611079	0.008374342	0.0007718	0.104041526	0.060714193
D02-OR-R3	OR	R3	112	4.620859581	5.78e+12	0.694605569	48772290	43937179	42831336	39999024	1617652	2.98e+12	2.07e+12	88687930872	35113401391	30892494776	4225324563	5.73e+11	3.67e+11	2.647967826	5.288453857	86	0.515263171	0.357904668	0.015352279	0.006078287	0.00534763	0.000731423	0.099271812	0.063592066
D02-ZF-R1	ZF	R1	19	4.562874176	4.28e+12	0.741143971	109345868	94364935	92081133	85216396	3295070	2.17e+12	1.61e+12	54350795211	25168780563	34741923534	2485910682	3.89e+11	2.68e+11	2.569696666	4.92404239	82	0.506540211	0.375419224	0.012684408	0.005873899	0.008108082	0.000580163	0.090746719	0.062456246
D02-ZF-R2	ZF	R2	8.8	4.58016007	2.13e+12	0.5514305	110467092	93978755	91483950	84829510	3661036	1.2e+12	6.63e+11	38672035012	11916450894	13443693647	1364056648	1.96e+11	1.4e+11	2.740166966	6.325266586	88	0.565461916	0.311812947	0.018181181	0.005602373	0.006320387	0.000641294	0.091929549	0.065699092
D02-ZF-R3	ZF	R3	12.4	4.582844955	1.3e+12	0.428437356	33728278	30627297	29943760	27759542	1021358	7.96e+11	3.41e+11	29513492482	6797832196	8572809511	789812616.9	1.17e+11	85887108166	2.848711535	7.773781179	88	0.612202997	0.262290633	0.022708262	0.005230386	0.006596088	0.000607697	0.090315843	0.066083231
