Sample	Condition	Replication	DNAConcentration	Mean16sCount	MicrobesPerGram	RatioBacteroidetesFirmicutes	RawReads	DeduplicatedReads	TrimmedReads	HostRemovedReads	OrphanReads	AbsoluteAbundanceFirmicutes	AbsoluteAbundanceBacteroidetes	AbsoluteAbundanceActinobacteria	AbsoluteAbundanceOtherBacteria	AbsoluteAbundanceViruses	AbsoluteAbundanceFungi	AbsoluteAbundanceUnclassifiedRoot	AbsoluteAbundanceUnclassified	ShannonEntropy	InverseSimpson	RichnessAbove0.01	RelativeAbundanceFirmicutes	RelativeAbundanceBacteroidetes	RelativeAbundanceActinobacteria	RelativeAbundanceOtherBacteria	RelativeAbundanceViruses	RelativeAbundanceFungi	RelativeAbundanceUnclassifiedRoot	RelativeAbundanceUnclassified
D08-OF-R1	OF	R1	90.2	4.519247448	3.93e+12	0.776213377	130382603	110222827	107345981	96156975	4310056	1.95e+12	1.51e+12	81193712253	33891114729	6526965250	2157483641	3.39e+11	2.24e+11	2.580763267	5.7939739	81	0.49662609	0.385487814	0.020669371	0.008627614	0.00166156	0.000549228	0.086340064	0.057013595
D08-OF-R2	OF	R2	139.2	4.520282665	2.9e+13	0.94310543	24715542	22200478	21566667	17820687	946077	1.33e+13	1.25e+13	4.59e+11	2.42e+11	49234018566	14685256397	2.52e+12	1.52e+12	2.434964638	4.92587767	78	0.456352386	0.430388413	0.015789887	0.008338765	0.001694976	0.000505568	0.086897959	0.052250845
D08-OF-R3	OF	R3	5.22	4.482312388	1.67e+13	1.062014363	75324716	68212161	61518419	50356040	8667977	7.18e+12	7.63e+12	2.77e+11	1.49e+11	23824723872	8690911713	1.46e+12	8.93e+11	2.395348881	4.574413684	80	0.429316101	0.455939866	0.016564156	0.008884113	0.001423974	0.000519445	0.087321868	0.053377826
D08-OH-R1	OH	R1	100	4.497571683	1.06e+13	1.471695293	44289450	38360468	37473196	33449033	1299328	3.78e+12	5.56e+12	59022920601	1.07e+11	51530822313	4833085194	1.03e+12	6.44e+11	2.160189372	3.745610881	80	0.356883601	0.525223916	0.005576918	0.010095422	0.00486901	0.000456665	0.096860805	0.060892248
D08-OH-R2	OH	R2	91	4.495049027	3.96e+12	1.007920815	40846844	36356641	35413039	32170586	1395886	1.73e+12	1.74e+12	52113438086	40991805685	15116477372	2151070369	3.82e+11	2.55e+11	2.480239258	4.82727521	83	0.436092428	0.439546636	0.013160621	0.010351987	0.003817484	0.000543227	0.096448104	0.064309414
D08-OH-R3	OH	R3	5.16	4.498924406	1.42e+12	1.4352955	38956961	34935612	34032960	28119141	1290395	5.16e+11	7.41e+11	8436695997	14981017369	6173294644	605588566.1	1.36e+11	87149429914	2.19621549	3.842810664	80	0.362564009	0.520386491	0.005925309	0.010521554	0.004335664	0.00042532	0.095812331	0.061207287
D08-OR-R1	OR	R1	104.8	4.43305307	7.64e+12	1.169941838	35996852	31734787	30710040	27569232	1447541	3.11e+12	3.63e+12	86967912207	85125507963	34559114111	3899205551	6.9e+11	4.26e+11	2.401359155	4.303255091	81	0.40650818	0.475590928	0.011381706	0.011140586	0.004522837	0.000510299	0.090313898	0.055709281
D08-OR-R2	OR	R2	4.18	4.463391292	2.77e+12	1.06516195	42882250	37071032	36055865	26998126	1447694	1.17e+12	1.25e+12	49236889849	29997019359	6734080307	1350480440	2.58e+11	1.64e+11	2.467317217	4.869466018	81	0.423725455	0.451336232	0.017784081	0.010834751	0.002432311	0.000487786	0.093365161	0.059304826
D08-OR-R3	OR	R3	89	4.439727662	2.13e+13	1.291810846	34107309	30316710	29421732	21602802	1283036	8.19e+12	1.06e+13	2.47e+11	2.6e+11	90297430418	10185530848	1.96e+12	1.18e+12	2.350283523	4.281565426	81	0.383800517	0.49579767	0.011583339	0.01220145	0.0042323	0.000477403	0.091877729	0.055253351
D08-ZF-R1	ZF	R1	14.2	4.54165128	3.05e+12	0.975441961	37051479	32474639	31549990	29274442	1326872	1.38e+12	1.35e+12	39972265333	25439700235	13678225845	1473788211	2.44e+11	1.52e+11	2.413051635	4.586266821	79	0.452383225	0.44127358	0.013100623	0.008337679	0.00448294	0.000483023	0.079909749	0.049780255
D08-ZF-R2	ZF	R2	7.02	4.592336452	1.48e+11	0.549566088	22273078	19613443	19095054	17866811	731540	82685048375	45440898580	2908960896	968104768.1	564738341.8	94553922.77	15361903458	11914216687	2.72591511	7.093949819	82	0.558571019	0.30697169	0.01965121	0.00653994	0.003815036	0.00063875	0.103775885	0.080485363
D08-ZF-R3	ZF	R3	5.76	4.565327478	1.8e+12	0.597921829	50411904	45673299	44540514	40610050	1669855	9.96e+11	5.96e+11	35280457253	11983965511	7144772452	999108524.3	1.52e+11	1.11e+11	2.706835538	6.850472889	82	0.553606218	0.331013242	0.019605482	0.006659534	0.003970377	0.000555208	0.084553044	0.061785959
D08-ZH-R1	ZH	R1	1.8	4.436075189	19680527904	1.06410239	34652514	29398385	28582947	23872072	1200508	8140568065	8662397938	391116581.3	198731750.3	183566138.3	11599542.19	2091859568	1468013701	2.517151361	4.77709885	85	0.413635656	0.44015069	0.019873277	0.010097887	0.009327297	0.000589392	0.106290826	0.074592191
D08-ZH-R2	ZH	R2	4.26	4.44614943	69189434761	1.430548511	38935162	32688190	31676105	25649380	1560687	24662084142	35280307736	486852936.4	713284919.6	389286237.9	40219188.59	7614862174	4858710146	2.236343449	3.595913062	83	0.35644292	0.509908888	0.007036521	0.01030916	0.005626383	0.000581291	0.110058164	0.070223296
D08-ZH-R3	ZH	R3	4.36	4.390116117	20780109135	1.366014522	19090074	16556178	16095313	12078662	685209	7401215340	10110167638	265934562.2	222730995.5	193899586.5	11813352.82	2573776328	1863724497	2.382540407	4.087705295	88	0.356168261	0.486531017	0.012797554	0.010718471	0.009331019	0.000568493	0.123857691	0.089687907
D08-ZR-R1	ZR	R1	10.5	4.392608486	5.6e+11	1.692393238	35855488	31363712	30595951	28118758	1105718	1.85e+11	3.13e+11	4337479507	5263681988	4856391495	239203312.4	47244508172	28773478274	2.17486239	3.355788839	80	0.330297503	0.558993261	0.007750438	0.009405425	0.008677657	0.000427421	0.084418984	0.051413972
D08-ZR-R2	ZR	R2	3.18	4.494109887	61376460020	0.686968929	29409434	26013907	25405283	23033104	898503	31561402035	21681702559	1220371216	532082878.9	308149857	36051161.8	6034699726	4392434896	2.659599687	5.964151226	82	0.514226497	0.353257626	0.019883376	0.008669169	0.005020652	0.000587378	0.098322708	0.071565465
D08-ZR-R3	ZR	R3	12.3	4.398252996	9.04e+11	1.157059971	23436922	21468136	20728525	16166422	1086628	3.68e+11	4.26e+11	18698360726	8514698041	3848635770	383542391.6	78515996585	46834540824	2.465775511	4.622713979	80	0.407215193	0.471172399	0.020673996	0.009414346	0.004255276	0.000424067	0.086811856	0.051782995
D09-NF-R1	NF	R1	99.6	4.757638949	3.26e+12	0.344071825	41021653	35861431	34908016	31297159	1369454	1.94e+12	6.67e+11	2.1e+11	1.06e+11	1848421841	2422369756	3.36e+11	2.55e+11	3.092633085	10.45963957	92	0.594233161	0.204458888	0.064468243	0.032449665	0.000566763	0.000742747	0.103015586	0.078110867
D09-NF-R2	NF	R2	134	4.74316757	3.26e+12	0.386683872	36836923	31745259	30837807	27254436	1355895	1.85e+12	7.17e+11	1.9e+11	1.34e+11	3092516905	2631199541	3.55e+11	2.72e+11	3.073128374	9.855914868	94	0.569514938	0.220222242	0.058361448	0.041030632	0.000949482	0.000807846	0.109038505	0.083520047
D09-NF-R3	NF	R3	169.6	4.729501743	1.65e+12	0.423889301	58485645	49712107	48453081	45249342	1723767	9.02e+11	3.82e+11	1.25e+11	75916949091	1641522672	1014738525	1.64e+11	1.22e+11	2.972647901	8.659279036	91	0.546125181	0.231496621	0.075512592	0.045971714	0.000994028	0.000614478	0.099224021	0.073830367
D09-OF-R1	OF	R1	62.2	4.50761654	7.47e+12	1.249114169	92965846	77723320	75503876	61537120	3168008	2.64e+12	3.3e+12	2.53e+11	3.27e+11	8711623642	6889301758	9.34e+11	6.94e+11	2.764604428	5.516009323	96	0.353622444	0.441714806	0.033799044	0.043720739	0.001166093	0.000922166	0.124994201	0.092929801
D09-OF-R2	OF	R2	35.4	4.452688821	1.97e+11	1.915042538	212678830	165411578	160233756	117361818	7297994	54190105597	1.04e+11	4510350320	8947193844	229371586.8	182215253.6	25594973887	19034791159	2.522860904	4.196317637	94	0.274461687	0.525605805	0.022843992	0.045315688	0.00116172	0.000922883	0.129633254	0.096407284
D09-OF-R3	OF	R3	108	4.666396848	4.97e+12	0.584796974	30319883	27512908	26753569	22105860	1030372	2.53e+12	1.48e+12	2.46e+11	1.51e+11	2922062967	3831255748	5.57e+11	4.13e+11	3.00799507	8.928735426	95	0.509085606	0.297711722	0.04941977	0.030321775	0.000588188	0.000771202	0.112039707	0.083057243
D09-OH-R1	OH	R1	91.8	4.673006859	2.17e+13	0.669833767	178030845	141789902	137979578	124261953	5470076	1.05e+13	7.04e+12	7.94e+11	8.17e+11	23806465946	19477258221	2.45e+12	1.91e+12	2.924434788	7.904199721	93	0.485216729	0.325014549	0.036639073	0.037740545	0.001099052	0.000899189	0.113321416	0.088127968
D09-OH-R2	OH	R2	8.12	4.741217287	6.57e+12	0.612895859	31382372	27169709	26490346	21829534	1014987	3.3e+12	2.02e+12	2.39e+11	2.76e+11	5966698852	5011364376	7.32e+11	5.53e+11	2.82433669	7.193449697	91	0.501312643	0.307252443	0.036404802	0.041951565	0.000907751	0.00076241	0.111344582	0.084094118
D09-OH-R3	OH	R3	76.6	4.740975669	2.91e+13	0.610338219	22674935	20840342	19887440	16093638	1435492	1.45e+13	8.84e+12	9.85e+11	1.28e+12	24646037212	25643711150	3.41e+12	2.59e+12	2.85629267	7.432441545	91	0.498487797	0.304246154	0.033891365	0.044219921	0.000848359	0.000882701	0.11736109	0.089129775
D09-OR-R1	OR	R1	57.4	4.605007743	9.36e+12	1.14530785	44135014	37452852	36642740	26948734	1219819	3.48e+12	3.98e+12	2.69e+11	4.3e+11	5926376538	7720024491	1.2e+12	8.65e+11	2.705701933	5.672834651	94	0.371113284	0.425038957	0.028758471	0.045934568	0.000632827	0.000824355	0.127647659	0.09236555
D09-OR-R2	OR	R2	46.4	4.603041767	1.34e+13	0.704520168	25791646	22695780	22116560	17355222	851988	6.16e+12	4.34e+12	7.07e+11	6.43e+11	8993591902	10792467526	1.55e+12	1.15e+12	3.021378852	8.685236993	93	0.458892166	0.323298786	0.052703663	0.047887975	0.000670007	0.00080402	0.11568733	0.085513224
D09-OR-R3	OR	R3	90.4	4.627469469	3.23e+12	0.719117378	38398193	34197947	33363412	27361863	1171054	1.5e+12	1.08e+12	1.41e+11	1.31e+11	2152425282	2634043317	3.77e+11	2.81e+11	2.996804169	8.284191024	95	0.463613381	0.333392439	0.043739779	0.040749609	0.000667156	0.000816436	0.116963828	0.087089498
D09-ZF-R1	ZF	R1	5.64	4.644170606	80576894048	0.532847808	131975635	107101303	104566792	84089499	3652379	41770629151	22257388201	5076014934	2458649261	88380939.9	68559151.62	8851922035	6825075321	3.023890561	9.241872321	94	0.51839463	0.276225442	0.062995912	0.030513081	0.001096852	0.000850854	0.109856829	0.084702636
D09-ZF-R2	ZF	R2	6.22	4.64895251	1.82e+11	0.584164931	38585801	33711216	32703409	22205137	1514240	91944212893	53710584822	10184368686	6570674606	185909415.5	137280660.7	19653887999	14843155303	2.966939241	8.477419813	96	0.504086531	0.294469674	0.055836065	0.036023894	0.001019253	0.000752645	0.107752951	0.081377984
D09-ZF-R3	ZF	R3	5.3	4.657003824	2.22e+11	0.736178467	40303864	34749318	33904146	28161135	1200538	1.02e+11	74994045628	8247528823	10526259192	325098898.1	176288957.6	26062821783	20082889037	2.879300563	7.264620661	96	0.458427556	0.337484495	0.037115121	0.047369751	0.001462994	0.000793327	0.117286622	0.090376024
D09-ZH-R1	ZH	R1	3.76	4.653805236	18180783886	0.893744636	68745020	57577247	56183424	39130709	2007764	7700433074	6882220758	520073494.1	769137378.3	30494793.55	15372354.14	2262012692	1728343175	2.774092685	6.340276465	103	0.423547913	0.378543676	0.028605669	0.042304962	0.001677309	0.000845528	0.124417776	0.095064282
D09-ZH-R2	ZH	R2	4.7	4.629414498	94493786068	0.966729592	40944987	34001974	32999299	25392350	1476752	37721526363	36466515801	2500363356	5078779489	205718413.4	87729459.28	12427637704	9762732907	2.785345346	6.22956863	103	0.399195841	0.385914432	0.026460611	0.053747232	0.002177058	0.000928415	0.131518042	0.103316137
D09-ZH-R3	ZH	R3	2.6	4.645655198	1.45e+11	1.273877957	39088752	33114856	32038365	26265489	1575268	50708079797	64595905089	1505282924	7642319851	336653086.9	136237124.5	20055051828	15611485510	2.553187131	4.883132364	96	0.349740426	0.44552662	0.010382138	0.052710105	0.002321941	0.000939646	0.138322382	0.107674509
D09-ZR-R1	ZR	R1	3.18	4.538273372	8482548528	1.291855251	82589573	69699290	67623987	43242083	3135483	2965026907	3830385581	203617189.7	379132850.7	16158204.85	7232761.976	1080535383	808998949	2.678424216	5.182283766	101	0.34954435	0.451560704	0.024004247	0.04469563	0.001904876	0.000852664	0.127383342	0.095372157
D09-ZR-R2	ZR	R2	3.14	4.693765362	1.75e+11	0.706758269	27725537	24477026	23899753	19032598	814348	81941362008	57912735172	6767247409	7156929944	260238946.4	138747492	20407264157	15703208641	2.837768079	7.074017398	97	0.469325272	0.331699517	0.038759915	0.040991851	0.001490538	0.000794687	0.11688413	0.089941301
D09-ZR-R3	ZR	R3	2.64	4.624150211	63719603548	0.886240761	37970077	33211031	32349969	25577356	1234115	26975034888	23906375454	2337775968	2826906449	114299400	51787967.61	7503971900	5722855942	2.852420732	6.591177617	99	0.423339654	0.375180857	0.036688489	0.044364784	0.001793787	0.000812748	0.117765515	0.089813113
D10-NF-R1	NF	R1	83.8	4.595630928	2.08e+12	0.625757465	55051510	47596941	46213532	32799082	1999585	1.07e+12	6.68e+11	1.49e+11	4294141108	215795696.4	992466953.6	1.93e+11	1.07e+11	2.572145597	5.043725253	79	0.512432335	0.320658359	0.071474118	0.002062375	0.000103642	0.000476659	0.092756409	0.051199255
D10-NF-R2	NF	R2	7.16	4.585483447	2.92e+11	1.074234656	39429422	34750896	33700412	20172038	1471065	1.17e+11	1.25e+11	17205140290	846463846.7	42605857.32	132322545.1	31604698125	16765964295	2.366931223	3.731985307	77	0.399846686	0.429529168	0.058899175	0.00289774	0.000145855	0.000452986	0.108193867	0.057395723
D10-NF-R3	NF	R3	6.98	4.588624514	55175675.9	0.772623652	38528931	34655923	33661989	26529741	1422808	26002785.38	20090367	3602225.207	111093.0739	4762.880247	22248.58061	5340267.105	2845494.911	2.456512494	4.27113525	75	0.471272621	0.364116373	0.065286472	0.002013443	8.63e-05	0.000403232	0.096786619	0.051571546
D10-OF-R1	OF	R1	28.4	4.585242984	2.21e+12	2.117496153	32267096	28486082	27775965	20080135	1013717	6.14e+11	1.3e+12	68942763800	4563610399	143504852	779408636.8	2.26e+11	91215675762	1.735538088	2.165463602	68	0.277156813	0.586878485	0.03114363	0.002061527	6.48e-05	0.000352084	0.102316695	0.04120501
D10-OF-R2	OF	R2	8.48	4.576450875	3.4e+12	1.090502106	32295051	28675225	27903464	19587966	1138017	1.37e+12	1.49e+12	1.91e+11	8109278028	206921538.5	1354780406	3.44e+11	1.68e+11	2.264295574	3.356046586	74	0.401772552	0.438133815	0.056070906	0.002382023	6.08e-05	0.000397954	0.101148651	0.049463786
D10-OF-R3	OF	R3	55.4	4.582507137	2.82e+12	1.277276367	40004115	35781780	34765503	27139749	1493532	1.06e+12	1.35e+12	1.23e+11	6029752976	144039013.5	1104123746	2.82e+11	1.27e+11	2.092507722	2.860960721	71	0.374938504	0.47890009	0.043510607	0.002138523	5.11e-05	0.00039159	0.100042323	0.044903078
D10-OH-R1	OH	R1	44	4.575283288	4.4e+12	0.980235211	194840984	157639956	153147407	106524385	6427117	1.89e+12	1.85e+12	2.18e+11	11027887074	430457492.8	2148224964	4.33e+11	2.36e+11	2.326668909	3.554169684	78	0.428745183	0.420271125	0.049531136	0.002505923	9.78e-05	0.000488152	0.098324292	0.053669508
D10-OH-R2	OH	R2	18.4	4.57783751	4.32e+12	1.377961121	21457250	19158410	18628125	13633122	787369	1.55e+12	2.14e+12	1.59e+11	12228750272	522003848.7	1753381090	4.6e+11	2.12e+11	2.054550674	2.750483882	75	0.358841346	0.494469424	0.03680787	0.002831992	0.000120888	0.000406056	0.106490251	0.048982723
D10-OH-R3	OH	R3	37.4	4.575752811	4.69e+12	1.570334681	52881778	46226341	45031355	31744425	1692527	1.57e+12	2.46e+12	1.53e+11	13918346241	524154352.6	1952945895	4.93e+11	2.19e+11	1.945632368	2.51801375	71	0.33416377	0.524748957	0.032506712	0.002966616	0.00011172	0.000416259	0.105054132	0.046768346
D10-OR-R1	OR	R1	33.2	4.567861069	2.61e+12	1.325121589	55225874	48074499	47003057	34860932	1553597	9.58e+11	1.27e+12	1.01e+11	5618297315	215811676.6	1028096538	2.71e+11	1.26e+11	2.073978139	2.75395983	74	0.367478056	0.486953105	0.038807896	0.002155226	8.28e-05	0.000394386	0.104096765	0.048310411
D10-OR-R2	OR	R2	34.6	4.565806393	3.25e+12	1.565171486	33886737	30072306	29243653	22203465	1202995	1.09e+12	1.7e+12	1.09e+11	6702207244	243129020.3	1202450905	3.42e+11	1.47e+11	1.943612346	2.479262549	72	0.334772984	0.523977128	0.033469843	0.002060309	7.47e-05	0.000369642	0.105246051	0.045043374
D10-OR-R3	OR	R3	83.2	4.57702505	8.19e+12	1.250752331	91677553	80071463	77676998	63549519	3527718	3.12e+12	3.9e+12	3.33e+11	18949947401	531805658.2	3241065838	8.16e+11	3.81e+11	2.111888631	2.863171627	74	0.380711199	0.47617542	0.040720194	0.002313973	6.49e-05	0.000395766	0.09958843	0.046474848
D10-ZF-R1	ZF	R1	2.92	4.579564962	56511974571	1.309487147	53541718	45851306	44754718	31697831	1565757	21262710636	27843246279	1666354198	219975458.2	6600164.915	21911033.55	5489498824	2632672772	2.035263497	2.682950219	71	0.376251419	0.492696397	0.029486745	0.003892546	0.000116792	0.000387724	0.097138684	0.046586105
D10-ZF-R2	ZF	R2	4	4.57864506	3.42e+11	1.033757115	28558044	25495746	24681363	15310973	1196355	1.45e+11	1.5e+11	12136061065	963682230.5	38150613.41	159983521.9	34407755215	17543440708	2.214666686	3.191065851	75	0.423188274	0.437473889	0.035438602	0.002814056	0.000111404	0.000467169	0.100474343	0.051228732
D10-ZF-R3	ZF	R3	7.24	4.586261252	1.81e+12	0.669471932	24510657	22405259	21742011	16664568	961255	9.2e+11	6.16e+11	95768514489	5079762625	162486397.3	857646549.5	1.71e+11	94038589913	2.54736126	4.72019444	76	0.508594356	0.340489646	0.052940152	0.002808057	8.98e-05	0.000474101	0.094568352	0.051983862
D10-ZH-R1	ZH	R1	3.84	4.598279186	1.77e+11	1.950514424	29852915	26285639	25616338	17907518	967722	52495872924	1.02e+11	1307287367	691490574.6	31563352.73	77260899.39	20431112927	9952732785	1.827752362	2.326796603	66	0.295860167	0.577079524	0.007367708	0.003897154	0.000177887	0.000435433	0.115147195	0.056092356
D10-ZH-R2	ZH	R2	2.44	4.573068816	13163195000	1.906957751	42722737	37229674	36177805	22966830	1536655	3889553313	7417213837	325593363.3	49946039.12	4006366.775	5868456.376	1470585117	719797209.3	1.917078815	2.453490464	70	0.295487024	0.56348127	0.024735132	0.003794371	0.000304361	0.000445823	0.111719466	0.054682561
D10-ZH-R3	ZH	R3	2.88	4.6049781	1.27e+11	1.95722382	54838624	47943336	46749312	33980663	1712260	37507605802	73410779510	1323749649	524610340.2	23222948.61	57327874.61	13905167598	6853370328	1.828690668	2.326754421	67	0.295901998	0.579146439	0.01044322	0.004138714	0.000183209	0.000452266	0.109699534	0.05406706
D10-ZR-R1	ZR	R1	3.8	4.58005881	1.64e+11	1.375987915	44349935	38505618	37566447	27420539	1306551	58926207575	81081749492	7182909143	485700222.1	35275469.67	69774721.33	16573261000	8238401892	2.082423171	2.824844389	72	0.358518736	0.493317448	0.043702244	0.002955097	0.000214623	0.000424523	0.100835008	0.050124071
D10-ZR-R2	ZR	R2	4.8	4.605292386	2.88e+11	1.901426743	23141584	20889037	20414996	15538295	683855	87309002310	1.66e+11	3862984488	719760491	55977424.48	116984216.8	29507469134	13125789910	1.739117659	2.172956066	67	0.303585942	0.577246429	0.013432152	0.002502711	0.000194642	0.000406771	0.102601709	0.045640257
D10-ZR-R3	ZR	R3	2.1	4.590310546	89862270891	1.177762904	37227744	33459707	32632443	26676054	1202786	35450706578	41752527135	3274098295	271546448.4	12791578.4	38828409.84	9058559201	4702654949	2.172832673	3.029518214	77	0.394500453	0.464627999	0.036434627	0.003021807	0.000142346	0.000432088	0.100804922	0.052331806
