Sample	raw_reads	dedup_reads	dedup_frac	trimmed_reads	trimmed_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
D08-OH-R3	38956961	34935612	0.897	34032960	0.874	28119141	0.722	1290395	0.033
D06-OR-R1	38183078	33687642	0.882	32863292	0.861	29465745	0.772	1184247	0.031
D01-ZR-R1	141667488	121323707	0.856	118498646	0.836	109101962	0.77	4054821	0.029
D08-OR-R3	34107309	30316710	0.889	29421732	0.863	21602802	0.633	1283036	0.038
D10-OR-R3	91677553	80071463	0.873	77676998	0.847	63549519	0.693	3527718	0.038
D02-NF-R2	28630551	25931875	0.906	25320627	0.884	23260395	0.812	894867	0.031
D02-ZF-R3	33728278	30627297	0.908	29943760	0.888	27759542	0.823	1021358	0.03
D08-ZH-R1	34652514	29398385	0.848	28582947	0.825	23872072	0.689	1200508	0.035
D01-OR-R3	21486490	19830491	0.923	19358798	0.901	17831475	0.83	671284	0.031
D03-ZF-R2	42849585	36975500	0.863	36030107	0.841	26496355	0.618	1375443	0.032
D05-OH-R3	35982421	31568002	0.877	30852909	0.857	26732295	0.743	1063611	0.03
D06-OH-R3	50081731	44709233	0.893	43558751	0.87	37215652	0.743	1633666	0.033
D10-ZR-R2	23141584	20889037	0.903	20414996	0.882	15538295	0.671	683855	0.03
D10-OR-R2	33886737	30072306	0.887	29243653	0.863	22203465	0.655	1202995	0.036
D01-ZF-R3	42783824	37872244	0.885	36754390	0.859	34749496	0.812	1604636	0.038
D04-OH-R2	19330524	17550242	0.908	17100406	0.885	13629774	0.705	686929	0.036
D01-OR-R2	35412924	31754643	0.897	30877758	0.872	27602113	0.779	1329135	0.038
D07-OF-R3	30331205	27201226	0.897	26397873	0.87	23908605	0.788	1099011	0.036
D10-OR-R1	55225874	48074499	0.871	47003057	0.851	34860932	0.631	1553597	0.028
D01-OF-R2	18739613	16895087	0.902	16424871	0.876	15076792	0.805	691080	0.037
D09-OR-R3	38398193	34197947	0.891	33363412	0.869	27361863	0.713	1171054	0.03
D09-ZF-R2	38585801	33711216	0.874	32703409	0.848	22205137	0.575	1514240	0.039
D03-ZR-R1	136957405	109258976	0.798	106826782	0.78	80951012	0.591	3612074	0.026
D06-ZH-R3	33452854	29896177	0.894	29159819	0.872	22432605	0.671	1092153	0.033
D08-OF-R2	24715542	22200478	0.898	21566667	0.873	17820687	0.721	946077	0.038
D08-OR-R1	35996852	31734787	0.882	30710040	0.853	27569232	0.766	1447541	0.04
D01-OH-R3	57983655	51505835	0.888	50140879	0.865	45467963	0.784	1972259	0.034
D10-OH-R3	52881778	46226341	0.874	45031355	0.852	31744425	0.6	1692527	0.032
D03-ZR-R2	40667552	35134594	0.864	34233774	0.842	26705031	0.657	1242935	0.031
D01-ZF-R1	182562846	151373222	0.829	147332402	0.807	124951360	0.684	5845131	0.032
D10-ZH-R2	42722737	37229674	0.871	36177805	0.847	22966830	0.538	1536655	0.036
D08-ZF-R3	50411904	45673299	0.906	44540514	0.884	40610050	0.806	1669855	0.033
D04-OH-R1	39385550	34686487	0.881	33811295	0.858	25520554	0.648	1297637	0.033
D04-OF-R3	33804664	31363568	0.928	29766727	0.881	22312338	0.66	2458685	0.073
D06-ZR-R3	56626368	50195541	0.886	48984909	0.865	37656451	0.665	1731104	0.031
PCO-B3-R1	73094980	57226568	0.783	55704078	0.762	52860625	0.723	2158694	0.03
D06-ZH-R1	115744454	94440112	0.816	92018840	0.795	63586986	0.549	3490572	0.03
D07-ZF-R3	34476716	31149432	0.903	30275500	0.878	27245087	0.79	1300060	0.038
D07-OH-R2	26374454	23939214	0.908	23295162	0.883	20770289	0.788	959023	0.036
D05-ZH-R2	27532700	24415720	0.887	23717819	0.861	17268363	0.627	1064601	0.039
D03-NF-R3	48043883	42401061	0.883	41261419	0.859	36593546	0.762	1618918	0.034
D10-OH-R1	194840984	157639956	0.809	153147407	0.786	106524385	0.547	6427117	0.033
PCO-B1-R2	40112126	33064672	0.824	32098637	0.8	30300077	0.755	1423929	0.035
D07-OR-R1	33583568	30203905	0.899	29344408	0.874	26014132	0.775	1255610	0.037
PCO-B4-R2	30332789	25592210	0.844	24850382	0.819	23445833	0.773	1092410	0.036
D06-OF-R3	23471556	21314517	0.908	20744126	0.884	15291018	0.651	830316	0.035
D08-NF-R3	47718581	42659585	0.894	41545806	0.871	38260348	0.802	1603485	0.034
D08-ZF-R2	22273078	19613443	0.881	19095054	0.857	17866811	0.802	731540	0.033
D04-OR-R1	31047070	27476803	0.885	26794575	0.863	22648335	0.729	977579	0.031
D03-ZF-R1	58053444	50320391	0.867	49134909	0.846	37847878	0.652	1760631	0.03
D09-NF-R2	36836923	31745259	0.862	30837807	0.837	27254436	0.74	1355895	0.037
D07-OH-R1	29659380	26961369	0.909	26301682	0.887	24111950	0.813	933616	0.031
D07-ZR-R1	74918486	64654825	0.863	63242831	0.844	55865149	0.746	2078486	0.028
D08-ZR-R2	29409434	26013907	0.885	25405283	0.864	23033104	0.783	898503	0.031
D04-OF-R2	67615709	59574551	0.881	57952003	0.857	42379883	0.627	2366520	0.035
D01-NF-R1	40505064	35589832	0.879	34670145	0.856	31905354	0.788	1321292	0.033
D09-ZR-R2	27725537	24477026	0.883	23899753	0.862	19032598	0.686	814348	0.029
D04-ZF-R1	41263772	37323611	0.905	34581585	0.838	27228697	0.66	3291573	0.08
D03-OH-R1	135315179	106218215	0.785	103434136	0.764	80727032	0.597	3983743	0.029
D05-ZF-R3	51227760	45656147	0.891	44485706	0.868	36812969	0.719	1638581	0.032
D07-OF-R1	125898477	105324690	0.837	102714731	0.816	92336137	0.733	3737428	0.03
D05-OR-R3	45025943	40041484	0.889	39005125	0.866	33835034	0.751	1457248	0.032
D06-OF-R2	45673881	39490300	0.865	38312107	0.839	20227605	0.443	1807887	0.04
