Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
C13,B7,Rep1,Plate1,D08_ZF_R1,D08,ZF,R1,1-3-19,D08_ZF_R1_Rep1,C13 Well,false,Sample,16S,Unknown,SYBR,14.5446741606712,0.7633282295860371,3.47337519810909,Inconclusive,false,3,7,NA,NA,6.98133987690403,1596572433.76104,5
C14,B7,Rep2,Plate1,D08_ZF_R1,D08,ZF,R1,1-3-19,D08_ZF_R1_Rep2,C14 Well,false,Sample,16S,Unknown,SYBR,14.4928916175459,0.7805678768665291,3.4659691772752,Amp,false,3,7,NA,NA,6.9990130998137,1662883597.23032,5
C17,B9,Rep1,Plate1,D10_NF_R1,D10,NF,R1,1-1-4,D10_NF_R1_Rep1,C17 Well,false,Sample,16S,Unknown,SYBR,11.9818829467435,0.7630093172282464,3.47480165985642,Amp,false,3,6,NA,NA,7.85601264616262,11963586548.8522,1
C18,B9,Rep2,Plate1,D10_NF_R1,D10,NF,R1,1-1-4,D10_NF_R1_Rep2,C18 Well,false,Sample,16S,Unknown,SYBR,11.9923895156091,0.941640157721798,3.49853808625898,Amp,false,3,6,NA,NA,7.85242678648154,11865212922.8887,1
C19,B10,Rep1,Plate1,D09_OR_R1,D09,OR,R1,1-2-11,D09_OR_R1_Rep1,C19 Well,false,Sample,16S,Unknown,SYBR,12.0643721209103,0.7989282455715141,NA,Inconclusive,false,3,6,NA,NA,7.82785934439921,11212645560.3924,3
C2,B1,Rep2,Plate1,D01_NF_R1,D01,NF,R1,1-4-13,D01_NF_R1_Rep2,C2 Well,false,Sample,16S,Unknown,SYBR,13.3504611162475,0.9550076433543554,3.15001375966865,Amp,false,3,5,NA,NA,7.38892112073466,4081030780.228,1
C20,B10,Rep2,Plate1,D09_OR_R1,D09,OR,R1,1-2-11,D09_OR_R1_Rep2,C20 Well,false,Sample,16S,Unknown,SYBR,12.0469182214288,0.894017186506056,3.51483984355033,Amp,false,3,6,NA,NA,7.83381630667959,11367502445.2034,3
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
C23,B12,Rep1,Plate1,D01_OF_R1,D01,OF,R1,1-1-3,D01_OF_R1_Rep1,C23 Well,false,Sample,16S,Unknown,SYBR,11.6563386371353,0.9072066876334478,3.48516726537287,Amp,false,3,6,NA,NA,7.96711991906646,15451429642.3158,2
C24,B12,Rep2,Plate1,D01_OF_R1,D01,OF,R1,1-1-3,D01_OF_R1_Rep2,C24 Well,false,Sample,16S,Unknown,SYBR,11.7094705700779,0.9010376968566731,3.46630191530093,Amp,false,3,6,NA,NA,7.94898615355702,14819546137.5763,2
C3,B2,Rep1,Plate1,D08_OR_R1,D08,OR,R1,1-1-12,D08_OR_R1_Rep1,C3 Well,false,Sample,16S,Unknown,SYBR,13.5230606917334,0.9658361491470479,3.19233831989005,Amp,false,3,5,NA,NA,7.33001341579065,3563380223.84715,3
C4,B2,Rep2,Plate1,D08_OR_R1,D08,OR,R1,1-1-12,D08_OR_R1_Rep2,C4 Well,false,Sample,16S,Unknown,SYBR,12.3716709448783,0.9170440717613437,3.39433815938383,Amp,false,3,6,NA,NA,7.72297919970022,8806999046.35311,3
C5,B3,Rep1,Plate1,PCO_B1_R1,PCO,B1,R1,1-1-15,PCO_B1_R1_Rep1,C5 Well,false,Sample,16S,Unknown,SYBR,15.4806151726249,0.9463809677338296,3.37080426509223,Amp,false,3,7,NA,NA,6.66190608442837,765164537.746215,7
C6,B3,Rep2,Plate1,PCO_B1_R1,PCO,B1,R1,1-1-15,PCO_B1_R1_Rep2,C6 Well,false,Sample,16S,Unknown,SYBR,15.2338908031959,0.9406225844099064,3.39579359240218,Amp,false,3,7,NA,NA,6.74611235385806,928883189.897912,7
C7,B4,Rep1,Plate1,D10_ZH_R1,D10,ZH,R1,1-2-8,D10_ZH_R1_Rep1,C7 Well,false,Sample,16S,Unknown,SYBR,18.0539388342838,0.9016240210763615,3.39598093778951,Amp,false,3,9,NA,NA,5.78363862311134,101271530.331537,7
C8,B4,Rep2,Plate1,D10_ZH_R1,D10,ZH,R1,1-2-8,D10_ZH_R1_Rep2,C8 Well,false,Sample,16S,Unknown,SYBR,18.0969281677948,0.8918344673829857,3.39981291600829,Amp,false,3,9,NA,NA,5.76896649563316,97907338.5732033,7
C9,B5,Rep1,Plate1,D07_NF_R1,D07,NF,R1,1-2-5,D07_NF_R1_Rep1,C9 Well,false,Sample,16S,Unknown,SYBR,12.6247827419574,0.9066513604251878,3.46045331010436,Amp,false,3,7,NA,NA,7.63659292083365,7218412068.34427,1
D1,B1,Rep3,Plate1,D01_NF_R1,D01,NF,R1,1-4-13,D01_NF_R1_Rep3,D1 Well,false,Sample,16S,Unknown,SYBR,11.9373260437947,0.9012829427035807,3.41797700819621,Amp,false,3,6,NA,NA,7.87121978027485,12389920789.8354,1
D11,B6,Rep3,Plate1,D06_ZH_R1,D06,ZH,R1,1-2-17,D06_ZH_R1_Rep3,D11 Well,false,Sample,16S,Unknown,SYBR,17.4072311739063,0.7706772977169488,NA,Amp,false,3,8,NA,NA,6.00435796112415,168347515.251007,7
D13,B7,Rep3,Plate1,D08_ZF_R1,D08,ZF,R1,1-3-19,D08_ZF_R1_Rep3,D13 Well,false,Sample,16S,Unknown,SYBR,14.4228742089122,0.8368991415760341,NA,Inconclusive,false,3,7,NA,NA,7.02290982630982,1756946656.71744,5
D17,B9,Rep3,Plate1,D10_NF_R1,D10,NF,R1,1-1-4,D10_NF_R1_Rep3,D17 Well,false,Sample,16S,Unknown,SYBR,12.0175556365505,0.9424708841222346,3.47243101029005,Amp,false,3,6,NA,NA,7.84383766670632,11632857719.9295,1
D19,B10,Rep3,Plate1,D09_OR_R1,D09,OR,R1,1-2-11,D09_OR_R1_Rep3,D19 Well,false,Sample,16S,Unknown,SYBR,12.0780743068901,0.9048014801813213,3.5034026506076,Amp,false,3,6,NA,NA,7.82318283041292,11092554726.2317,3
