Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
B3,A2,Rep3,Plate1,D03_OR_R1,1-4-17,D03_OR_R1_Rep3,B3 Well,false,Sample,16S,Unknown,SYBR,15.139735311963008,0.9253768615676687,3.38413675725912,Amp,false,3,7,NA,NA
B4,A2,Rep4,Plate1,D03_OR_R1,1-4-17,D03_OR_R1_Rep4,B4 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
B5,A3,Rep3,Plate1,D04_OR_R1,1-1-1,D04_OR_R1_Rep3,B5 Well,false,Sample,16S,Unknown,SYBR,14.273595106947898,0.859668037304193,3.3731600584724,Amp,false,3,7,NA,NA
B6,A3,Rep4,Plate1,D04_OR_R1,1-1-1,D04_OR_R1_Rep4,B6 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
B7,A4,Rep3,Plate1,PCO_B2_R1,1-2-1,PCO_B2_R1_Rep3,B7 Well,false,Sample,16S,Unknown,SYBR,17.145437252188742,0.9241237712513238,3.35699570743341,Amp,false,3,8,NA,NA
B8,A4,Rep4,Plate1,PCO_B2_R1,1-2-1,PCO_B2_R1_Rep4,B8 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
B9,A5,Rep3,Plate1,D03_ZR_R1,1-1-11,D03_ZR_R1_Rep3,B9 Well,false,Sample,16S,Unknown,SYBR,17.631674393426785,0.8629466287211225,NA,Amp,false,3,9,NA,NA
C1,B1,Rep1,Plate1,D01_NF_R1,1-4-13,D01_NF_R1_Rep1,C1 Well,false,Sample,16S,Unknown,SYBR,11.308695939580588,0.9051393822364066,3.41244111380406,Amp,false,3,5,NA,NA
C10,B5,Rep2,Plate1,D07_NF_R1,1-2-5,D07_NF_R1_Rep2,C10 Well,false,Sample,16S,Unknown,SYBR,12.12256266586655,0.7318845373909058,3.45908975405108,Amp,false,3,6,NA,NA
C11,B6,Rep1,Plate1,D06_ZH_R1,1-2-17,D06_ZH_R1_Rep1,C11 Well,false,Sample,16S,Unknown,SYBR,17.281014296797963,0.8931263439974861,3.45479710776269,Amp,false,3,8,NA,NA
C12,B6,Rep2,Plate1,D06_ZH_R1,1-2-17,D06_ZH_R1_Rep2,C12 Well,false,Sample,16S,Unknown,SYBR,17.426971400629697,0.8947931178514128,3.45608597648157,Amp,false,3,8,NA,NA
C13,B7,Rep1,Plate1,D08_ZF_R1,1-3-19,D08_ZF_R1_Rep1,C13 Well,false,Sample,16S,Unknown,SYBR,14.544674160671185,0.7633282295860371,3.47337519810909,Inconclusive,false,3,7,NA,NA
C14,B7,Rep2,Plate1,D08_ZF_R1,1-3-19,D08_ZF_R1_Rep2,C14 Well,false,Sample,16S,Unknown,SYBR,14.492891617545862,0.7805678768665291,3.4659691772752,Amp,false,3,7,NA,NA
C15,B8,Rep1,Plate1,D01_ZH_R1,1-1-9,D01_ZH_R1_Rep1,C15 Well,false,Sample,16S,Unknown,SYBR,Undetermined,0,NA,Inconclusive,false,3,39,NA,NA
C16,B8,Rep2,Plate1,D01_ZH_R1,1-1-9,D01_ZH_R1_Rep2,C16 Well,false,Sample,16S,Unknown,SYBR,Undetermined,0,NA,Inconclusive,false,3,39,NA,NA
C17,B9,Rep1,Plate1,D10_NF_R1,1-1-4,D10_NF_R1_Rep1,C17 Well,false,Sample,16S,Unknown,SYBR,11.98188294674351,0.7630093172282464,3.47480165985642,Amp,false,3,6,NA,NA
C18,B9,Rep2,Plate1,D10_NF_R1,1-1-4,D10_NF_R1_Rep2,C18 Well,false,Sample,16S,Unknown,SYBR,11.99238951560909,0.941640157721798,3.49853808625898,Amp,false,3,6,NA,NA
C19,B10,Rep1,Plate1,D09_OR_R1,1-2-11,D09_OR_R1_Rep1,C19 Well,false,Sample,16S,Unknown,SYBR,12.064372120910306,0.7989282455715141,NA,Inconclusive,false,3,6,NA,NA
C2,B1,Rep2,Plate1,D01_NF_R1,1-4-13,D01_NF_R1_Rep2,C2 Well,false,Sample,16S,Unknown,SYBR,13.35046111624746,0.9550076433543554,3.15001375966865,Amp,false,3,5,NA,NA
