Saccharomycetales	Tremellales	Pseudomonadales	Enterobacterales	Rhizobiales	Rhodospirillales	Burkholderiales	Desulfovibrionales	Verrucomicrobiales	Bacillales	Lactobacillales	Clostridiales	Erysipelotrichales	Selenomonadales	Acidaminococcales	Veillonellales	Bifidobacteriales	Coriobacteriales	Bacteroidales
D04-ZH-R3	-3.5714	-7.9138	-2.7878	-1.4759	-2.4949	-1.9094	-1.1529	-0.3869	-5.0041	-0.2821	-1.0535	8.0078	2.8939	2.6354	-1.7233	1.7181	4.9253	3.0958	6.4798
D09-OR-R3	-4.7305	-9.5085	2.9795	-0.3141	-4.4761	-5.3285	3.0909	1.0606	-5.3762	-2.8432	-0.294	7.7035	2.2369	1.7142	-0.9324	1.4211	4.0798	2.1157	7.4011
D02-OF-R2	-3.6312	-7.9245	-2.2634	-2.7775	-2.9844	-3.6724	0.193	0.229	-3.2259	-1.5187	4.3756	9.1582	1.7737	-3.8102	1.8156	0.3888	3.9357	1.0775	8.8611
D07-ZH-R1	-3.6392	-8.5027	-2.9442	-1.8831	-2.2844	5.7508	2.8287	1.8213	-3.6593	-1.2928	0.6559	9.1954	2.6646	-2.4943	-1.5582	-3.3471	2.6576	-2.6663	8.6974
D05-ZR-R1	-4.1848	-7.9973	-2.3178	-2.0359	-2.6725	-4.2536	2.8095	0.7759	2.5341	-1.9335	0.197	7.4476	0.4775	-3.7564	-4.6227	4.1262	4.7809	2.9348	7.6911
D10-OH-R2	-4.1924	-8.7224	-2.8809	1.491	-3.2806	-5.0569	-3.5949	-4.2311	-2.425	-1.4314	1.7611	8.8731	2.1215	5.2227	3.5519	-3.4512	0.8802	5.7505	9.6147
D08-ZR-R3	-4.5481	-8.4693	-3.4647	-1.3039	-2.6121	-3.6529	2.5458	1.5687	-1.2652	-1.7114	1.3316	8.7901	1.5966	-2.6968	2.482	-3.7094	1.8171	4.1397	9.162
D03-OR-R2	-5.2138	-9.9778	-1.9944	-1.4219	-2.9559	-5.2133	-0.0531	-2.2912	-1.2229	-2.4364	2.8201	7.764	1.7503	4.197	-0.2949	0.7189	3.2676	4.3437	8.2141
D10-OF-R1	-4.2188	-9.1379	-2.7457	1.216	-3.2645	-5.3661	-3.5848	-4.1862	-2.3164	-1.4462	2.2293	8.7519	2.0296	5.6684	3.2109	-3.852	1.0332	5.8215	10.1577
D01-ZR-R2	-4.0436	-7.6935	-3.1242	-1.5594	-2.5109	-3.5181	0.485	1.6647	2.2307	0.1158	1.0925	9.4501	1.689	-3.0952	-4.7678	3.424	3.0273	-1.3164	8.45
D10-ZF-R2	-4.0561	-8.8611	-3.0615	1.4688	-3.5822	-5.2361	-3.6876	-4.3987	-2.4872	-1.3333	2.2836	9.0662	2.3339	5.2008	3.5982	-3.2848	0.9899	5.6598	9.3874
D03-OH-R3	-5.0326	-9.4638	-1.9733	-1.2226	-3.0205	-3.585	0.371	-2.3144	-1.5751	-2.5689	2.1913	7.8787	1.2386	3.8065	-0.0895	0.9429	2.6912	3.4416	8.2842
D07-OR-R1	-3.3616	-8.348	-3.3361	-2.376	-2.8414	4.9965	2.504	1.5349	-4.0802	-1.3646	1.895	9.543	4.1265	-3.0402	-2.3478	-3.7491	4.3305	-2.0891	8.0039
D01-OR-R2	-4.0314	-7.9218	-3.3553	-1.2527	-2.7278	-3.5475	0.3686	2.1452	2.9755	0.4532	2.1999	9.0138	1.4977	-2.9625	-5.2132	2.6987	2.5891	-1.4673	8.5378
PCO-B4-R1	5.2245	1.7847	9.4132	11.8269	-0.5421	-1.897	0.3287	-4.0687	-5.2982	10.5134	9.8072	-0.5847	-3.965	-5.5835	-7.8167	-5.83	-5.4608	-5.0787	-2.7732
PCO-B2-R3	4.3286	1.3975	9.7483	11.9023	-0.0409	-1.2949	0.8954	-3.7221	-4.6982	9.4797	9.129	-0.8812	-4.4605	-5.7524	-7.3664	-5.9917	-5.1773	-4.9786	-2.5164
D05-NF-R1	-4.159	-7.6284	-2.3141	-2.3443	-2.2925	-4.1229	2.8352	1.2008	1.0559	-1.8534	1.5617	7.6497	0.881	-3.698	-4.7604	3.3516	4.4876	2.95	7.1995
D07-OR-R3	-3.5417	-8.9328	-3.2956	-2.2954	-2.6073	5.7013	2.8251	1.8386	-3.8761	-1.4729	1.3246	9.454	3.9339	-3.1268	-2.3966	-3.9592	3.9641	-1.9873	8.4501
D04-ZF-R3	-3.8375	-7.7172	-2.5972	-1.3265	-1.7363	-4.5442	-1.3961	-0.4913	-5.1415	-0.6656	-0.4913	8.2964	3.0682	3.3118	-1.4662	2.0258	5.3904	2.6983	6.62
D04-OF-R1	-3.4298	-7.5908	-2.9454	-1.5228	-1.2915	-4.2935	-1.6262	-0.3982	-5.1564	-0.6228	-0.365	8.6414	3.8124	1.8906	-2.2137	1.7888	6.0191	3.3984	5.9056
D04-ZH-R1	-3.5302	-7.7068	-2.5191	-1.1972	-2.189	-4.2707	-1.0726	-0.1274	-4.9376	-0.3287	-0.8623	8.1306	2.6941	2.9569	-1.4458	2.0599	4.7158	2.8899	6.74
D05-NF-R2	-4.3308	-7.4227	-2.1659	-2.3974	-2.1713	-3.787	0.7017	0.7488	0.8868	-1.5837	2.0596	7.7002	0.8927	-3.4226	-4.3445	4.1174	4.7987	3.3701	6.3501
D02-ZR-R2	-3.5225	-7.1218	-1.9611	-2.7625	-3.1331	-3.5785	1.0431	0.0941	-3.1825	-1.4576	2.5816	9.1753	1.6033	-3.5887	1.6635	0.0973	3.6045	1.2819	9.1637
D02-NF-R1	-2.9437	-7.1749	-1.9755	-2.5393	-2.7342	-3.3164	0.5241	0.6793	-3.2909	-1.1835	2.8764	9.1245	2.0114	-3.5652	1.1153	0.176	2.3364	0.7273	9.1531
D02-ZF-R2	-3.5937	-7.5826	-2.4127	-2.8222	-3.0399	-3.4722	0.4098	0.2823	-3.3002	-1.3617	3.587	9.4275	1.9989	-3.4564	1.7521	-0.5897	4.1814	1.2665	8.7259
D04-ZR-R3	-3.5313	-7.7019	-2.6176	-1.2617	-2.4605	-4.1539	-1.1709	-0.2504	-4.9368	-0.2016	-0.9223	8.2471	2.9782	3.0365	-1.3853	2.0417	4.8309	2.9542	6.5056
NCO-B4-R3	-3.6384	-6.6956	-2.2948	-2.6563	-2.1507	4.7423	1.6769	0.6284	-3.5948	-2.3369	1.1997	8.7351	3.3158	-1.4174	-3.6793	-1.7815	2.699	-0.4475	7.6961
D09-OH-R3	-4.471	-9.2268	3.5104	0.3609	-4.2548	-5.1121	2.9609	0.863	-5.3628	-2.7926	-0.435	7.9286	1.705	0.8893	-0.872	1.4577	3.7462	1.7511	7.3541
D03-NF-R2	-5.3676	-9.397	-2.6012	-1.6272	-3.4482	-5.2314	-0.523	-2.4401	-1.4446	-2.5625	2.6644	8.0204	1.6831	5.0436	-0.0642	2.4398	2.9704	4.5787	7.3064
D03-OF-R2	-4.9301	-9.5955	-1.8873	-1.3084	-2.9339	-5.2522	0.1895	-2.4395	-1.9215	-2.4973	2.6116	7.6936	1.6037	4.9704	-0.7003	1.019	2.9439	3.9925	8.4418
D02-OR-R1	-3.246	-7.5918	-1.9588	-2.6644	-2.9186	-3.7317	0.7321	0.5396	-2.935	-1.3134	3.4967	8.9002	1.6973	-3.6957	1.7687	0.5653	2.8603	0.0976	9.3976
D06-OR-R1	-3.2793	-7.7685	-2.3148	-1.0999	-2.2266	-3.4916	-0.6265	-4.4769	-3.878	-1.0347	1.6426	9.6408	2.2025	-2.165	-4.1327	3.4407	5.5466	3.7243	10.297
D05-ZH-R2	-3.9302	-8.101	-2.1101	-0.9352	-2.9248	-4.4927	2.9836	0.751	2.3112	-1.9403	0.0913	7.2921	0.5304	-3.8026	-4.8059	4.1458	4.2582	2.7308	7.9484
D06-OH-R1	-3.766	-7.8424	-2.5385	-1.4639	-2.1921	-3.1729	-1.1726	-4.1046	-4.1114	-0.9881	1.8337	9.765	2.2677	-2.3809	-4.1633	3.7975	6.2504	4.6766	9.3058
D07-NF-R2	-3.5302	-8.675	-3.3017	-2.2175	-2.6161	5.0283	2.4667	2.1089	-3.9475	-1.5131	1.8217	9.1714	3.8958	-2.7798	-2.249	-3.9903	4.6449	-2.3855	8.0679
D03-ZR-R3	-5.5631	-9.562	-1.7676	-1.2148	-2.8113	-5.0168	0.8184	-1.8296	-1.1408	-2.6975	0.9036	7.6155	0.3915	2.2127	0.8134	2.6822	3.272	4.2777	8.6166
D04-OR-R2	-3.0205	-7.236	-2.5175	-0.8291	-1.9143	-3.7576	-0.8516	0.3627	-4.3724	0.2575	-0.8692	8.4741	2.1519	1.5725	-1.9958	1.587	4.4088	1.9305	6.6191
D07-OF-R2	-3.8696	-9.0702	-3.2726	-2.3102	-2.6039	5.8743	3.0452	1.8402	-3.7707	-1.6512	1.3317	9.044	4.1367	-2.9683	-2.0099	-3.8875	3.5165	-2.0174	8.6429
D09-ZR-R2	-4.7404	-9.965	3.0621	0.0119	-4.4173	-5.2219	3.0801	1.099	-5.3221	-3.0012	-0.5994	7.7675	1.2413	2.1567	-0.3709	1.9115	3.9851	1.8924	7.4304
D03-OF-R1	-4.939	-9.7079	-2.1716	-1.3296	-3.081	-5.1842	0.0423	-2.5067	-2.0309	-2.5297	2.7398	7.7278	1.6565	4.7909	-0.5398	1.4994	3.2829	4.275	8.0059
D08-OF-R2	-3.9789	-9.4884	-3.426	-1.125	-2.6691	-4.3399	2.4283	1.7691	-1.3276	-1.557	2.3088	9.1848	1.7525	-2.0293	1.6129	-4.1814	2.0885	3.7649	9.2129
PCO-B3-R2	5.6234	1.7728	9.5848	11.7057	-0.4424	-1.7802	0.4582	-4.1009	-5.0817	10.7188	9.6032	-0.7434	-4.0216	-5.7543	-8.1281	-5.9407	-5.6612	-4.9928	-2.8196
D08-OH-R2	-4.0042	-9.1434	-3.3481	-1.2212	-2.6119	-4.2185	2.7765	1.7818	-1.2933	-1.4171	2.0073	8.9544	1.517	-2.233	2.2241	-3.7011	1.6557	3.1623	9.1129
D08-ZH-R2	-3.5953	-8.4816	-3.3452	-1.0782	-2.5885	-4.1718	2.8439	1.8	-1.0682	-1.6798	1.2148	8.6644	1.3296	-1.9988	2.8475	-3.4629	0.8828	2.5003	9.3872
D10-OF-R2	-4.4445	-9.051	-3.0297	1.0834	-3.3144	-5.0853	-3.4306	-4.3483	-2.7943	-1.4375	2.4809	9.0119	2.433	4.9351	3.2209	-3.7963	1.8662	6.307	9.3936
D07-ZR-R2	-3.9224	-8.6504	-3.116	-1.9008	-2.4621	5.5372	2.7464	1.9002	-3.6859	-1.4136	0.6918	9.2639	3.0235	-2.5336	-1.5988	-3.4559	3.5167	-2.5275	8.5874
D05-OH-R3	-3.396	-7.4474	-1.9549	-1.7828	-2.5689	-4.1757	3.3452	0.8951	2.5188	-1.5608	0.1027	7.5217	0.7602	-3.6011	-4.4903	2.0869	3.1771	2.0258	8.5445
D03-OH-R2	-4.9829	-9.274	-1.7256	-1.0997	-2.7946	-4.9833	0.6526	-2.242	-1.7137	-2.4643	2.11	7.9759	1.118	3.6609	-0.1985	1.0981	2.8703	3.5909	8.4019
PCO-B2-R2	4.2441	1.252	9.718	11.8768	-0.3236	-1.5197	0.5712	-3.8957	-4.9351	9.9105	9.2912	-0.2932	-4.3845	-5.9213	-7.9826	-6.5912	-5.1372	-4.7514	-1.1281
D02-ZH-R3	-3.5345	-7.851	-2.4091	-2.8904	-3.282	-3.6888	0.8458	0.3447	-3.2537	-1.5233	2.9233	9.2507	1.8458	-3.4961	1.8613	0.454	4.1188	1.5076	8.7767
D06-OH-R3	-3.5383	-7.9686	-2.6816	-1.5574	-2.3489	-3.1822	-1.3764	-4.0948	-4.236	-1.0084	2.2099	9.7983	2.3808	-2.4929	-4.1686	3.9158	6.452	4.754	9.1434
D07-ZF-R2	-3.8178	-8.5703	-3.0147	-1.6732	-2.3379	5.5178	2.7168	2.1673	-3.7382	-1.5063	0.9673	9.2056	2.4215	-2.6683	-1.7156	-3.6095	3.5061	-2.4979	8.6472
D03-NF-R1	-4.9395	-9.7837	-3.0703	-1.3615	-3.2418	-5.0935	-2.1427	-1.5574	-1.1846	-2.2548	3.0645	8.2382	1.9628	6.0317	-0.5462	2.1862	2.8115	4.6042	6.2768
D02-NF-R2	-3.7187	-8.1662	-2.624	-2.7834	-2.9358	-3.4339	0.313	0.3864	-3.4555	-1.488	3.9769	9.1547	2.2666	-3.6058	1.8443	0.6398	3.9179	1.385	8.3267
D05-OF-R2	-4.1893	-7.7044	-2.6192	-2.5972	-2.4288	-4.1449	2.608	0.3849	1.6914	-1.888	1.525	7.7706	0.6081	-3.7845	-4.7739	3.5323	5.0093	3.3188	7.6818
D02-ZR-R1	-3.5521	-7.7926	-2.4734	-2.8888	-3.2273	-3.5727	0.8054	0.1422	-3.1634	-1.4187	2.8793	9.3013	2.0581	-3.4921	2.183	-0.0449	3.9374	1.5558	8.7635
D03-ZF-R2	-5.2624	-10.3466	-2.5524	-1.2576	-3.2439	-5.3646	-0.5395	-3.0776	-1.5483	-2.595	2.8522	7.9434	1.6103	5.0054	0.2204	2.7808	3.4159	4.4009	7.5587
D01-ZH-R3	-4.0614	-7.7501	-3.1271	-1.347	-2.5993	-3.5594	0.6088	1.9083	2.7585	0.7878	1.0018	9.2376	1.5504	-2.8959	-4.8023	3.3662	1.8295	-1.7836	8.8773
D02-ZH-R1	-3.4126	-7.5341	-2.2231	-2.7305	-3.2821	-3.6989	1.2991	0.7818	-2.9436	-1.4292	1.9611	9.0732	1.498	-3.4428	2.2901	0.7965	3.2246	0.7036	9.0689
D05-ZR-R3	-3.8274	-7.951	-2.2772	-1.9057	-3.029	-4.5655	2.8742	0.4109	2.5103	-2.0201	0.5873	7.5869	0.8827	-3.913	-4.8219	4.3412	4.3611	2.6713	8.0847
D05-OR-R2	-3.9134	-7.3092	-2.238	-2.3317	-2.4737	-4.1429	2.5222	0.4032	1.9059	-1.8844	1.053	7.8567	0.6403	-3.8266	-4.7855	2.947	4.7262	3.1859	7.6649
D06-OH-R2	-3.6543	-7.9221	-2.5298	-1.4756	-2.272	-3.3766	-1.1622	-4.0502	-4.1186	-1.0241	2.1774	9.793	2.3214	-2.3583	-4.1007	3.7691	6.086	4.5022	9.3955
D06-ZF-R3	-3.4476	-8.2166	-2.837	-1.8343	-2.7272	-2.9351	-1.9477	-4.394	-4.6737	-1.0248	3.06	10.1823	3.0543	-3.0456	-4.2908	4.445	7.0355	5.2082	8.3891
D03-OR-R3	-5.1358	-9.5958	-2.1739	-1.5269	-3.0406	-5.2199	-0.1941	-2.3118	-1.239	-2.5248	2.8614	7.8261	1.7907	4.1707	-0.2156	0.8246	3.2736	4.3992	8.0319
D08-OR-R2	-4.3143	-8.5591	-3.3071	-1.0825	-2.6567	-4.2836	2.7464	1.9318	-1.4147	-1.697	2.0193	8.8801	1.2715	-2.0826	1.6562	-4.0406	2.038	3.79	9.1049
D09-NF-R1	-4.9373	-9.9531	2.5868	-0.5384	-4.2788	-5.3224	2.6263	0.9226	-5.9291	-2.9125	0.1373	7.9909	2.3666	1.4652	-0.6901	2.4211	4.4654	2.952	6.6275
D09-OH-R1	-4.5277	-9.5202	2.6692	-0.4033	-4.1352	-4.956	3.1486	1.1664	-5.1408	-2.8162	-0.537	7.8356	2.1309	0.8047	-0.5119	1.6958	3.7716	1.9129	7.4126
D07-OR-R2	-3.659	-8.5761	-3.198	-2.0177	-2.2983	6.301	3.5202	2.2449	-3.1883	-1.5419	0.7696	8.9598	3.3312	-3.354	-2.9105	-4.1014	3.0962	-2.4416	9.0639
NCO-B2-R3	-2.7595	-4.7259	0.0682	2.2442	2.4439	-2.4506	-1.3121	-1.1617	-4.5304	0.916	1.8195	7.2179	0.1265	-3.7264	-0.7525	-1.5822	1.3214	-0.0945	6.9382
D06-ZH-R1	-3.8191	-7.8359	-2.3318	-1.0015	-1.9626	-3.5468	-0.5301	-3.9192	-3.7254	-1.0549	0.5824	9.3939	1.9852	-1.9581	-3.357	5.5445	4.5642	3.0261	9.946
