crAss-like viruses	Guerin_crAss_Delta	Saccharomyces	Cryptococcus	Pseudomonas	Escherichia	Salmonella	Bradyrhizobium	Azospirillum	Sutterella	Bilophila	Akkermansia	unclassified Lentisphaeria	Firmicutes: environmental samples	Staphylococcus	Bacillus	Listeria	Streptococcus	Lactobacillus	Enterococcus	Clostridium	Butyricicoccus	Clostridiales: environmental samples	Butyrivibrio	Roseburia	Coprococcus	unclassified Lachnospiraceae	Dorea	Anaerostipes	Blautia	Lachnoclostridium	Eubacterium	Oscillibacter	unclassified Oscillospiraceae	Ruminococcus	Gemmiger	Faecalibacterium	Subdoligranulum	unclassified Ruminococcaceae	unclassified Clostridiales (miscellaneous)	unclassified Clostridia	Coprobacillus	unclassified Erysipelotrichaceae	Mitsuokella	Megamonas	Phascolarctobacterium	Megasphaera	Dialister	unclassified Firmicutes sensu stricto (miscellaneous)	Bifidobacterium	Collinsella	Bacteroides	unclassified Bacteroidaceae	Alistipes	Prevotella	Odoribacter	Parabacteroides
D03-OF-R2	0.1263	-6.7417	-9.4249	-10.5067	-3.3652	-1.5717	-4.8794	-6.5413	-6.8168	0.4246	-1.846	-1.0554	-8.6374	1.363	-5.0493	-3.5721	-7.8334	3.1032	-3.1254	1.1661	4.4448	1.4473	0.0868	-2.5872	4.1329	2.9744	4.8947	3.5603	0.2965	4.8409	0.1505	3.6157	2.7046	-0.3295	4.5097	1.0349	5.7194	0.8189	4.8108	2.9499	-3.0952	-0.9526	1.3626	-6.3786	5.8642	0.1687	-6.7665	1.8442	1.594	3.8397	4.4743	7.3107	0.5773	5.166	8.4545	-1.8529	3.0969
D02-OR-R1	2.7406	2.7128	-6.2675	-9.3585	-4.0313	-5.0107	-7.0358	-6.8685	-4.3447	-6.1166	0.7364	-2.8242	-8.6106	2.4648	-4.9561	-2.9443	-6.6137	3.252	1.289	-2.3056	5.4811	1.8715	2.3169	-1.5174	4.6185	2.061	5.2489	1.8143	0.4713	4.879	0.8565	4.9152	4.0183	4.6662	5.7504	2.5813	6.1097	2.1903	3.635	5.6588	-2.9337	1.0775	-2.2737	-7.3641	-8.5443	1.9972	-6.6627	-6.4498	4.6467	3.0943	-0.3298	9.3853	0.1429	4.2743	-0.2455	2.8133	3.8381
D06-OR-R1	0.4608	-12.8238	-5.892	-9.2518	-2.1997	-2.2399	-5.3964	-5.6029	-4.3961	-1.1149	-8.3365	-3.521	-7.6183	3.9237	-3.7245	-2.3326	-7.0567	1.9363	-2.5984	-2.5981	5.3672	3.9383	0.7388	-1.202	3.5101	2.4054	6.2895	4.3044	2.1497	5.5671	2.7958	6.5224	4.2219	2.0554	6.8334	1.4164	8.6773	2.2303	3.9921	5.3151	-3.6824	1.6969	-1.6718	-6.7606	-7.5867	-5.7332	-5.623	4.0558	3.4645	6.2316	3.7448	10.7107	-2.8169	7.5768	-0.5858	-1.4999	1.7332
D05-ZH-R2	1.3336	1.1809	-7.7354	-10.5866	-2.1885	-2.239	-6.5917	-6.0552	-5.8241	4.0071	0.9404	3.3557	-7.919	5.3398	-5.8561	-3.3105	-8.1678	0.8097	-3.8245	-2.8365	5.7825	1.4847	0.8384	-2.7234	3.2635	1.0332	2.9312	2.2354	1.7464	4.5862	2.6929	3.0884	2.7804	-0.0691	4.1076	1.4282	5.2047	1.7785	3.8028	2.6066	-3.8996	-2.0937	-2.8574	-6.3614	-5.4916	-6.4368	3.5014	4.6215	0.6049	5.3066	3.3518	8.1256	-2.072	4.8628	-1.3155	1.4997	6.222
D06-OH-R1	-0.192	-13.1	-7.6186	-9.2482	-2.3091	-2.8311	-5.3373	-5.3859	-3.7669	-2.0075	-7.9499	-3.774	-7.674	4.107	-3.7372	-2.284	-7.0929	2.1533	-2.8974	-2.4242	5.3508	3.6764	0.9194	-1.0786	3.727	2.7098	6.7371	4.7045	3.0024	5.8757	2.8618	6.0471	4.0645	2.0497	7.5966	2.232	8.5585	2.7094	4.6357	5.3937	-3.0925	1.948	-1.2885	-6.7727	-7.4058	-5.6613	-5.1089	4.4336	3.322	6.9427	4.6558	9.6865	-3.6919	6.8644	-1.4635	-2.4533	0.682
D07-NF-R2	-1.5217	-1.5521	-8.6887	-11.1283	-3.8988	-3.5565	-7.267	-6.1621	5.0748	1.9386	2.086	-4.0606	1.6404	3.2472	-5.8647	-3.4546	-7.9073	1.3814	-0.9515	-2.4807	4.1095	1.4066	1.6593	-2.3185	2.1739	4.0438	5.4953	3.0875	2.3929	5.2069	0.8429	4.802	2.8969	1.0587	6.071	3.3216	6.4701	2.9629	5.9502	3.896	-3.119	3.7715	-1.2396	-7.3454	-6.7851	-3.1997	-6.2564	-6.3742	2.6095	4.7071	-3.5647	7.359	-1.81	5.374	-2.9419	2.699	3.7124
D03-ZR-R3	1.1257	-6.2647	-11.1677	-10.7118	-3.1281	-1.693	-4.7694	-6.1807	-7.1603	0.7011	-1.2781	-0.3343	-7.471	1.6227	-5.9629	-4.0098	-8.2901	1.1182	-2.7619	-0.4449	4.2783	1.4375	0.6285	-2.3842	3.1174	2.5718	4.6296	1.9555	-1.758	4.2291	0.1499	3.2594	4.1348	1.733	3.7338	1.6667	5.7725	1.5253	5.2492	4.1074	-2.4757	-1.6519	0.0825	-6.3884	3.0303	1.6272	-6.7896	3.4896	2.7692	4.1025	4.6564	7.6131	1.2578	5.8633	8.347	-1.9323	3.4228
D04-OR-R2	-9.1353	-9.7527	-7.2402	-9.0567	-3.0401	-3.9478	-5.9397	-5.3684	-5.4744	-2.0524	-1.0709	-4.3584	2.6036	3.1004	-4.5363	-2.4388	-6.9664	-1.9664	-2.5291	-2.4411	5.6183	1.4756	3.5197	3.4531	4.4567	4.8511	4.2119	1.9154	0.183	2.9173	-0.0799	4.5399	4.6666	3.2814	3.4879	-0.4519	6.7741	0.198	4.667	5.1027	-1.1729	-1.2792	1.7975	1.9295	-6.01	-2.3631	-3.884	1.7462	3.2303	4.8335	1.1667	4.9037	-2.3356	3.2552	5.908	2.2087	2.8884
D07-OF-R2	-2.9924	-3.0363	-8.011	-11.5029	-3.9361	-3.4805	-6.6449	-6.6123	6.0457	2.51	1.9455	-3.7306	1.8016	2.7303	-5.6831	-3.4258	-7.6385	0.9981	-1.2236	-2.8343	5.0194	1.4657	2.1632	-2.4601	3.1593	4.6482	5.5872	3.0495	2.1833	5.1274	0.8626	4.6824	2.4621	1.035	6.394	3.1653	6.3227	2.8005	4.912	3.1002	-4.4399	4.1885	-1.1093	-7.9346	-6.4405	-2.7799	-6.1492	-6.05	2.2584	3.6973	-3.431	8.1832	-1.4785	5.8551	-2.4705	2.8941	4.2478
D09-ZR-R2	-0.5561	-8.6156	-7.3949	-11.2957	2.5994	0.6461	-7.045	-7.0204	-5.7985	3.8008	1.9448	-4.6339	-4.7031	2.3205	-6.2127	-3.694	-7.4858	-0.2624	-4.5468	-2.2367	4.613	2.1695	-1.3895	-3.1936	2.9088	2.3126	3.9873	3.0222	2.146	4.3571	0.5516	4.243	2.714	-2.3831	4.2651	1.9696	7.158	1.8378	3.1274	3.7267	-2.8151	1.7028	-3.4196	2.9968	-5.2179	0.3769	-5.2207	2.6817	2.5074	4.8501	2.334	7.689	4.0983	4.4462	-0.4455	2.5442	2.9381
D03-OF-R1	-0.1756	-6.8713	-9.1017	-10.5388	-3.3481	-1.5286	-5.3496	-6.2977	-6.7017	0.2016	-1.9067	-1.1468	-8.6004	1.4858	-5.1688	-3.5724	-7.8846	3.3244	-3.2558	1.0495	4.5476	1.5334	6e-04	-2.5643	4.1765	3.1295	4.8507	3.7391	0.397	4.9028	0.0773	3.5934	2.5634	-0.2953	4.555	1.3184	5.79	1.0505	4.767	2.9818	-3.1818	-0.9305	1.4811	-6.3107	5.7101	0.3543	-6.6846	2.3662	1.636	4.2039	4.7501	6.9895	0.4574	4.8895	7.962	-2.2186	2.7991
D08-OF-R2	0.6109	-7.269	-8.9889	-13.1202	-3.4602	-1.6242	-6.4162	-5.8089	-6.4504	2.8472	2.1639	-0.9052	-7.5353	2.9186	-5.223	-2.9565	-7.8718	2.5979	-3.4044	-1.7839	5.1198	3.5668	1.4843	-1.9468	5.0285	2.8722	5.0812	3.5708	1.9111	5.8122	1.6961	4.7943	2.1067	0.8289	7.0781	2.4954	7.4459	3.817	4.1337	3.8906	-0.4006	1.2394	-1.8188	-6.8466	-7.493	2.0601	-6.6614	-6.6025	2.5392	2.5424	3.7209	9.1835	-3.1095	6.7115	-2.0448	4.0088	3.8641
PCO-B3-R2	-6.9073	-6.7002	10.6742	6.7975	14.3034	12.8153	15.8411	1.61	0.7791	-2.5531	-6.8441	-3.0872	-4.0954	-2.5047	13.4973	14.6232	14.2251	2.979	13.2235	13.7824	2.3235	-5.7716	0.076	-2.8949	-3.0664	-4.2914	-0.084	-4.5674	-5.8271	-3.5708	-2.1698	-1.4124	-3.1406	-4.8407	-0.2608	-5.7362	-2.5212	-3.8732	0.1507	0.2079	-4.1336	-2.9607	-3.148	-4.4067	-2.8329	-6.6904	-2.0353	-4.5114	-0.0899	-0.7257	-2.8947	-0.5671	-5.297	-2.2947	-1.235	-4.8762	-2.4894
D08-OH-R2	1.6494	-7.0817	-8.7581	-11.484	-3.3846	-1.8043	-6.3802	-5.8811	-6.4824	3.1566	2.1014	-0.9318	-7.4847	3.503	-5.3753	-2.9573	-7.9907	2.2281	-3.4191	-2.0479	5.1181	3.3517	1.3867	-1.9778	5.2743	2.7032	4.881	3.5841	1.3332	5.5886	1.1668	4.3693	2.4295	1.0891	6.6283	1.8655	6.9431	3.2196	4.1868	4.3778	-0.5366	0.7597	-1.6379	-6.8644	-6.3833	2.6277	-6.3333	-6.061	2.8738	2.0636	3.0676	9.0464	-3.3875	6.5671	-2.0194	3.8377	3.6855
D08-ZH-R2	2.3906	-6.4669	-8.379	-10.9532	-3.3025	-1.6204	-6.3893	-5.2385	-5.841	3.3452	2.2509	-0.6142	-7.3805	3.7421	-5.6234	-2.9605	-7.8969	1.3547	-3.4401	-1.8985	5.1282	2.8291	1.3726	-2.019	4.9583	2.2477	4.6442	2.6575	0.4966	5.1151	1.8041	4.3889	2.5813	1.3197	6.24	1.509	6.8966	2.7642	3.8801	4.3139	-0.3699	0.2386	-1.6467	-6.9739	-7.5882	3.3754	-6.0774	-6.4272	3.2397	1.4085	2.4351	9.4575	-2.9711	6.7977	-1.4714	4.3132	4.0534
D10-OF-R2	-3.3366	-6.5732	-8.6469	-9.7457	-3.4969	-2.554	-6.5198	-6.9153	-5.8009	-8.8152	-8.0387	-2.0964	-9.3029	3.4957	-4.4544	-2.1804	-6.0788	2.7006	0.217	-1.6292	5.34	3.9207	-0.799	-0.9538	6.3517	5.3688	4.0299	4.5487	2.5846	5.7721	4.519	4.7226	3.2538	-0.9726	5.8818	-0.5226	1.1036	1.4153	4.9875	5.5364	4.4286	-1.1146	-1.3617	-9.4513	5.6771	3.9622	-6.3007	-5.7247	2.8248	2.6063	6.6448	9.9221	-0.3023	4.683	-0.0679	2.9562	4.3018
D07-ZR-R2	-2.4388	-2.4645	-8.7812	-11.4456	-3.8139	-3.1921	-7.2025	-6.0513	5.5853	1.8585	1.8331	-3.7845	1.1451	2.8861	-5.9005	-3.3783	-7.7124	0.1906	-2.8359	-2.5451	4.7887	1.6305	2.0285	-2.4783	2.3356	4.2939	5.2144	2.934	1.5501	5.2285	0.9853	4.9287	3.7759	1.8527	6.837	3.8691	6.1202	3.4877	5.7722	3.4782	-3.4793	2.8031	-1.895	-7.5762	-5.8572	-2.4796	-5.8481	-5.6493	2.9266	3.5788	-3.697	7.9882	-1.6327	5.8147	-2.0675	2.3971	4.0886
D05-OH-R3	1.0584	0.8911	-5.8794	-9.44	-2.0689	-2.8496	-6.2218	-6.4519	-5.6427	4.2407	0.961	3.4373	-8.0933	5.7883	-5.5294	-3.1573	-7.4382	0.6639	-3.5534	-2.6481	6.567	1.6312	1.2379	-2.9536	3.4572	0.1631	2.5356	1.8387	1.4116	3.3299	2.4928	4.168	2.6336	-0.1526	4.0046	0.6492	5.6627	1.3828	4.2883	2.8556	-3.6057	-1.6544	-2.5112	-6.1525	-5.6848	-6.3209	1.9053	1.9633	0.5346	4.0974	2.4916	8.6184	-1.6152	4.9703	-0.9697	1.9147	6.7485
D03-OH-R2	0.9591	-6.0361	-9.8142	-9.9351	-3.1443	-1.4829	-5.0103	-6.2284	-7.0145	0.7387	-1.7944	-0.9816	-8.2686	1.499	-5.71	-3.6777	-7.9602	2.5116	-2.7812	0.1718	5.3161	1.1913	0.2576	-2.3782	3.7694	2.7466	4.9049	2.5589	-0.8393	3.9298	0.1663	3.4091	3.3177	0.8111	4.0009	1.4402	6.6872	1.3321	5.3993	3.9612	-2.9521	-1.1586	0.7057	-6.513	4.4213	0.5415	-6.7895	1.7679	2.3976	3.6351	3.9229	6.9621	0.9776	5.0539	8.3469	-2.0697	2.7273
PCO-B2-R2	-4.0389	-4.0497	8.4403	5.422	13.5826	12.0959	15.1574	0.8375	0.6115	-3.0019	-4.463	-4.0642	-3.9406	-2.534	12.0367	12.9202	12.4847	1.8215	11.7959	12.7504	1.2718	-5.0214	-0.6553	-4.0922	-2.3706	-2.5599	-0.1067	-3.9437	-5.2406	-1.1501	-3.1633	-1.2858	-2.234	-2.1542	0.1144	-3.001	-0.761	-3.4873	-0.0248	-0.2855	-4.8996	-3.1997	-3.3133	-5.7067	-4.0471	-4.5844	-4.3644	-5.3954	-0.9098	-1.0643	-3.7343	2.0829	-7.5968	-0.2171	-1.9111	-3.1841	-1.668
D02-ZH-R3	3.0442	3.0227	-6.945	-9.4277	-4.2152	-5.7546	-7.4512	-6.7412	-4.2588	-5.9574	0.4479	-3.2457	-8.3481	2.6305	-5.4494	-3.3312	-7.1049	2.4308	1.0494	-2.4696	5.1847	1.7436	2.2205	-1.0421	4.3969	2.7357	5.4029	2.7153	1.2108	6.2969	0.8942	4.4642	4.086	4.7394	6.394	3.847	5.0218	3.4369	3.7995	5.8523	-2.9404	0.8447	-2.2352	-7.7564	-8.2163	2.0029	-6.7939	-6.3466	4.3805	4.2627	1.1085	8.6673	-0.4656	3.8573	-0.9033	2.0499	3.158
D06-OH-R3	-0.4209	-13.6714	-5.5314	-9.5296	-2.4167	-2.9137	-5.7694	-5.8035	-3.5398	-2.2939	-7.5986	-3.8953	-7.9683	4.137	-3.7561	-2.2853	-6.88	2.5774	-2.8648	-2.5258	5.3183	3.5236	0.8908	-1.0446	3.7256	2.8142	6.7817	4.8717	3.3693	6.1506	2.7565	6.1095	3.9483	1.8968	7.5972	2.291	8.4685	2.7645	4.6054	5.3958	-3.1799	2.192	-1.4443	-6.7355	-7.6442	-5.6719	-5.1431	4.5422	3.374	7.1372	4.7734	9.5412	-4.0059	6.5556	-1.5718	-2.5285	0.5252
D07-ZF-R2	-2.5086	-2.5255	-8.2988	-11.1757	-3.6019	-2.9904	-6.3577	-5.7522	5.6089	1.9444	2.1606	-3.8305	1.5829	2.7889	-5.9955	-3.3927	-7.7679	0.5142	-2.2115	-2.4798	4.5055	1.7655	2.0747	-2.6284	2.1384	4.2287	4.7903	3.0656	1.2702	5.0013	1.0324	4.922	3.6948	1.8401	6.3732	3.5329	6.8556	3.126	5.6613	3.5727	-3.5875	2.1803	-2.2616	-7.1483	-6.4901	-2.6185	-5.9853	-5.858	2.7106	3.6102	-3.7228	8.0586	-1.8057	5.9198	-2.3166	2.6868	4.0938
D03-NF-R1	0.8089	-7.1632	-9.3946	-10.4604	-3.4657	-1.4925	-6.6646	-5.8093	-6.2758	-3.1531	-0.8219	-0.3262	-8.1447	1.9022	-4.7556	-3.4213	-7.785	3.53	-3.1086	1.691	4.7763	1.7844	-0.0708	-2.2541	4.5089	3.5047	5.419	4.2507	0.915	5.4125	0.2837	3.8137	1.3173	-0.6558	4.6781	1.8944	6.6451	1.6101	5.4009	3.3702	-3.1591	-0.3634	1.9002	-5.7639	6.9112	0.3022	-6.2471	3.0399	1.6131	3.692	5.0538	5.1429	-0.5175	3.2033	6.0557	-4.066	0.9085
D02-NF-R2	2.1956	2.1727	-7.2969	-9.8265	-3.922	-5.0892	-6.6853	-6.6647	-3.8132	-6.227	0.6066	-3.3183	-8.5944	2.5378	-5.3907	-3.116	-7.1552	3.6932	2.1295	-2.3702	5.5262	2.1036	1.3485	-1.0843	5.3295	2.8456	5.5369	2.639	1.9595	5.7595	1.1016	5.02	3.25	3.5822	6.2551	3.7134	6.1118	3.2623	3.7757	5.351	-3.7097	1.761	-2.1457	-7.5466	-8.1281	2.1017	-6.6053	-6.1235	4.3204	4.1778	1.0793	8.3431	-0.9758	2.9274	-1.3582	1.9207	2.7087
D05-OF-R2	-0.2802	-0.3816	-6.8597	-9.0739	-2.302	-3.7704	-6.7511	-6.1902	-5.3116	3.5347	0.553	2.6508	-8.0648	5.3118	-5.4998	-3.43	-8.3412	2.2824	-3.3807	-2.9839	5.551	2.1068	0.8236	-2.4591	4.1889	1.548	3.565	2.9807	3.0616	5.1673	2.3582	3.3857	1.7383	-1.1751	4.7617	1.6251	5.8266	1.6464	3.4994	2.4834	-3.921	-0.9317	-2.159	-6.4145	-6.1389	-6.3307	3.3838	3.5622	-0.0042	5.9733	3.7911	7.8609	-2.4368	4.1692	-1.686	1.1408	5.7467
D02-ZR-R1	2.7158	2.6936	-6.9549	-9.1028	-4.2056	-5.6477	-7.278	-6.7723	-4.2228	-6.3226	0.2274	-3.1484	-8.5884	2.3616	-5.7078	-3.2058	-7.1782	2.1546	1.462	-2.5248	5.2721	1.7322	1.8096	-1.0251	4.7537	2.9812	5.496	2.9793	1.3294	6.3413	1.0079	4.4236	3.8891	4.4472	6.3902	4.0684	5.2791	3.5856	3.753	5.5985	-3.0335	1.1269	-2.0908	-7.6338	-7.8913	2.3158	-6.6751	-6.2234	4.3564	4.0705	1.1186	8.6554	-0.7439	3.4911	-0.9433	2.0999	3.1331
D03-ZF-R2	-0.1504	-7.4073	-9.7951	-11.1259	-3.7135	-1.3861	-5.5697	-6.2992	-6.8795	-0.7426	-2.63	-0.6873	-8.4299	2.0126	-5.2829	-3.6917	-8.1806	3.4655	-3.229	0.734	4.4853	1.5592	-0.1145	-2.4419	3.8475	3.3288	4.7793	3.4657	0.5122	5.4313	0.1598	3.5669	3.2175	0.8226	4.6821	1.6133	6.0372	1.3872	4.968	3.4128	-3.1122	-0.5386	1.4069	-6.1194	5.8869	1.0837	-6.6244	3.6402	2.035	4.3	4.8637	6.2707	-0.0392	4.2633	7.6222	-2.6884	2.0178
D01-ZH-R3	-1.573	-9.6699	-8.7067	-8.1731	-3.2244	-2.9252	-7.0868	-5.4924	-4.1892	-5.3558	2.0669	3.1982	-7.3597	3.0376	0.9614	-2.9529	-7.7387	1.0418	-3.9073	-1.7349	5.2602	2.5966	1.9951	-1.8862	5.3397	2.9366	4.6454	2.6111	0.7136	4.6969	1.3545	4.7209	3.3691	0.8097	6.676	2.3435	7.7847	3.5283	5.3585	5.1811	1.1601	-2.5938	-0.81	-6.9946	-7.3526	-6.5819	-5.8551	3.7711	1.7363	2.2705	-2.768	8.3999	0.6016	7.0303	-1.7525	3.5092	5.9781
D02-ZH-R1	3.5013	3.4801	-6.7541	-8.8217	-4.0482	-5.571	-6.5618	-6.8002	-4.332	-5.7457	0.9649	-2.8462	-8.4667	2.6121	-5.4655	-3.1812	-6.8125	1.3728	0.0736	-2.2601	5.3412	1.4098	2.5999	-1.1163	3.8903	2.3522	5.427	2.3587	0.2814	5.6666	0.9679	4.4085	4.5089	5.1112	5.932	3.6121	4.7581	3.2475	3.8957	6.2489	-2.5832	0.152	-2.3271	-7.4014	-8.5823	2.5021	-7.223	-6.5071	4.7548	3.433	0.3322	9.0389	-0.2469	4.0699	-0.5783	2.4693	3.4576
D05-ZR-R3	1.4113	1.2402	-6.9489	-10.0826	-2.5081	-3.0105	-6.7641	-6.753	-5.9796	3.7439	0.5684	3.4033	-7.8591	5.0036	-5.9414	-3.3792	-8.1656	1.207	-3.8343	-2.9385	5.7617	1.4133	0.5447	-2.5941	3.5543	1.4492	3.2463	2.5875	2.429	5.0003	2.4772	3.3699	2.4793	-0.3254	4.5342	1.5329	4.882	1.6898	3.6592	2.5432	-4.0722	-1.5405	-2.6022	-6.7346	-5.3393	-6.4475	3.55	4.6568	0.4159	5.2556	3.1394	8.1369	-2.0029	4.5282	-1.399	1.5546	6.2532
D05-OR-R2	0.0668	-0.1151	-6.4155	-8.5947	-2.278	-3.4668	-6.6417	-6.2001	-5.3974	3.4213	0.4947	2.8406	-7.5489	5.0252	-5.5893	-3.2375	-7.7667	1.7511	-3.5708	-2.8611	5.6273	1.9214	0.6657	-2.4715	4.0322	1.5065	3.3648	3.0996	2.9894	5.0022	2.1834	3.9066	2.0249	-0.7966	4.8119	1.5867	6.1038	1.688	3.8975	2.4698	-3.9147	-1.137	-2.2782	-6.7213	-6.3547	-6.5551	2.7327	2.9699	0.1763	5.6643	3.6525	7.7529	-2.6261	4.1868	-1.8295	1.0154	5.7359
D06-OH-R2	0.0802	-12.9199	-7.7431	-9.4887	-2.3025	-2.737	-5.4816	-5.7698	-3.8238	-1.8901	-7.8797	-3.7568	-8.0488	4.1883	-3.9205	-2.2992	-7.0097	2.5725	-2.8489	-2.4526	5.3106	3.6293	0.8645	-1.1355	3.8246	2.7505	6.6245	4.6565	3.0768	5.933	2.9034	6.2033	4.0678	2.0193	7.6084	2.1803	8.7011	2.6783	4.5651	5.4882	-3.2392	2.0588	-1.405	-6.9698	-7.3913	-5.5672	-5.1533	4.4179	3.3948	6.797	4.5535	9.8085	-3.7403	6.8925	-1.3957	-2.2636	0.7839
D06-ZF-R3	-0.6236	-13.7335	-8.0226	-9.6314	-2.6766	-3.3951	-5.903	-6.0345	-2.8371	-3.059	-7.5622	-4.4243	-8.2214	3.4991	-3.3589	-2.2338	-6.4985	3.5074	-2.52	-2.347	5.3869	4.1906	0.463	-0.6584	4.1885	3.6983	7.1398	5.3524	4.0549	7.0172	2.7769	6.5622	3.5216	1.6971	7.7401	2.7332	8.6049	2.9057	4.711	4.7501	-3.3468	3.0503	-1.3151	-6.4726	-7.6752	-5.7538	-5.1394	5.0578	3.695	7.6992	5.2629	8.7816	-4.6333	5.6805	-2.2558	-3.2195	-0.1755
D03-OR-R3	0.1874	-7.0864	-9.5328	-11.3342	-3.6032	-1.8285	-5.5596	-6.3164	-6.5305	-0.3282	-1.814	-0.4398	-8.2508	1.9257	-5.2506	-3.6794	-7.9417	3.3298	-3.1926	1.1234	4.6127	1.4169	0.0936	-2.3744	4.2146	3.3142	4.9933	3.4542	0.5555	5.0166	-0.0575	3.7463	3.2038	0.7644	4.7302	1.1736	4.8889	1.0057	4.85	3.4952	-3.1352	-0.7085	1.5733	-6.4198	4.9848	0.5775	-6.8909	1.569	2.2016	4.0908	4.8058	6.8554	0.6054	4.7032	7.9527	-2.2446	2.5038
D08-OR-R2	1.0324	-7.2074	-9.0095	-10.868	-3.2	-1.531	-6.5462	-5.8366	-6.4007	3.2225	2.3382	-0.9602	-7.7836	3.6521	-5.4287	-3.1834	-7.9025	2.3585	-3.5802	-2.1306	4.9975	3.6831	1.6611	-2.1181	4.5434	2.6063	4.816	3.2283	1.3638	5.5762	1.3912	4.2811	2.6304	1.2817	6.7292	2.2828	7.1297	3.6971	4.1372	4.5594	-0.6504	0.6386	-1.7401	-6.9442	-7.8539	2.1525	-6.5163	-6.1579	2.7355	2.5424	3.8155	9.0905	-3.3245	6.8446	-1.8793	3.9031	3.8317
D09-NF-R1	-2.1045	-9.832	-9.1493	-10.7226	2.1281	0.2195	-7.4841	-7.1525	-6.4734	3.4091	1.825	-5.255	-6.0271	2.3488	-5.9052	-3.5709	-7.4982	0.7353	-4.3973	-2.1654	4.6974	2.9191	-1.3544	-2.7385	3.7842	2.9841	4.7914	3.9675	2.9638	4.693	0.4442	4.6929	2.0352	-2.4946	4.4856	2.9229	7.1165	2.7003	3.7123	3.4911	-3.1376	3.0682	-2.7145	2.3527	-4.5215	0.1232	-5.6257	3.3017	2.9106	5.3895	3.4385	6.971	3.3581	3.232	-1.2187	2.0235	2.3067
D09-OH-R1	-1.0075	-9.1391	-9.0718	-10.5179	2.1469	0.2726	-7.1564	-6.9705	-5.5542	3.8831	2.0122	-4.5123	-4.5214	2.2544	-6.003	-3.6031	-7.3653	-0.1478	-4.5772	-2.3256	4.8779	2.3421	-1.2336	-2.9812	3.0109	2.4401	4.2936	3.4937	2.2788	4.3762	0.2419	4.7961	2.256	-2.4063	4.4838	2.1129	6.9248	1.9575	3.9615	4.0812	-3.003	2.7237	-2.8158	1.6297	-5.2067	0.2896	-6.2494	2.508	2.4872	4.6398	2.3085	7.6573	4.0066	4.6686	-0.4864	2.6253	2.8133
D07-OR-R2	-2.4425	-2.4809	-7.9672	-11.2343	-3.9639	-3.0949	-6.1955	-6.478	6.4	2.9455	2.2206	-3.2031	2.3108	2.7251	-5.9085	-3.508	-8.1896	0.3227	-2.4127	-2.4991	5.445	0.9355	2.3774	-2.5672	2.6207	4.0564	5.3123	2.6107	0.8605	4.7177	0.8615	4.3396	3.2508	1.6157	5.9616	3.7326	5.5963	3.372	6.0975	3.5822	-3.0198	3.2204	-1.7678	-7.9576	-6.9502	-4.022	-6.7634	-6.6569	2.8979	3.206	-3.7058	8.4648	-1.2478	6.4557	-2.1537	3.2982	4.5766
NCO-B2-R3	1.4043	1.4153	-3.0014	-4.5149	-0.2458	-2.2506	1.4129	2.5708	-2.2679	-4.4803	-0.9644	-4.8188	-4.5437	0.7559	-1.1574	0.0163	-0.7547	0.8113	0.3572	-0.6276	3.2328	0.0586	1.0651	-2.0012	3.2535	0.5735	3.2043	-0.1355	-0.3992	3.3601	-0.819	2.8493	2.5351	3.7815	3.6501	1.6056	4.1711	1.0486	1.9936	3.9799	-3.0281	-0.7235	-3.5119	-4.7701	-4.7244	-0.6813	-4.6403	-4.7553	2.3069	1.5091	-0.3818	6.7166	-2.0872	2.7866	-2.2521	0.3486	1.7641
D06-ZH-R1	1.6477	-13.9993	-8.2431	-9.7425	-2.1465	-2.0557	-5.7635	-4.8456	-4.9838	-1.1614	-7.3834	-3.3324	-7.0054	5.2722	-4.6109	-2.4662	-7.3012	0.7922	-2.7421	-2.3814	5.4187	3.2643	1.3183	-1.3872	4.0452	1.6561	5.8862	3.074	0.8831	4.719	3.6298	5.8475	5.2429	3.1474	6.401	1.1467	8.3734	2.6936	4.2951	6.626	-3.5755	-0.2251	-0.6103	-5.8213	-7.0676	-5.1494	-4.4159	6.2013	3.8999	5.2614	3.0719	10.2816	-3.0654	7.8354	-0.0973	-1.6997	1.3474
D05-ZF-R3	-0.0504	-0.2066	-6.65	-9.2336	-2.3335	-2.7732	-6.7106	-6.419	-5.6757	3.3511	0.619	3.0872	-8.098	5.4546	-5.6821	-3.4799	-8.0693	2.1069	-3.6482	-2.8999	5.534	1.9074	0.8762	-2.4911	3.4005	1.6566	3.3902	2.654	2.7037	5.3418	2.3254	3.2295	2.3155	-0.5051	4.7497	1.7662	5.76	1.9055	3.7465	2.6094	-3.8087	-1.4898	-2.7637	-6.2992	-5.8416	-6.3545	3.424	4.0153	0.3679	5.7919	3.3517	7.5446	-2.5955	4.2363	-1.7718	1.0291	5.5992
