crAss-like viruses	Guerin_crAss_Delta	Saccharomyces	Cryptococcus	Pseudomonas	Escherichia	Salmonella	Bradyrhizobium	Azospirillum	Sutterella	Bilophila	Akkermansia	unclassified Lentisphaeria	Firmicutes: environmental samples	Staphylococcus	Bacillus	Listeria	Streptococcus	Lactobacillus	Enterococcus	Clostridium	Butyricicoccus	Clostridiales: environmental samples	Butyrivibrio	Roseburia	Coprococcus	unclassified Lachnospiraceae	Dorea	Anaerostipes	Blautia	Lachnoclostridium	Eubacterium	Oscillibacter	unclassified Oscillospiraceae	Ruminococcus	Gemmiger	Faecalibacterium	Subdoligranulum	unclassified Ruminococcaceae	unclassified Clostridiales (miscellaneous)	unclassified Clostridia	Coprobacillus	unclassified Erysipelotrichaceae	Mitsuokella	Megamonas	Phascolarctobacterium	Megasphaera	Dialister	unclassified Firmicutes sensu stricto (miscellaneous)	Bifidobacterium	Collinsella	Bacteroides	unclassified Bacteroidaceae	Alistipes	Prevotella	Odoribacter	Parabacteroides
D02-NF-R3	2.2704	2.2463	-7.2268	-9.9171	-3.8178	-5.0661	-7.035	-6.8099	-3.9402	-6.4463	0.8767	-3.243	-8.72	2.6253	-5.3219	-3.0986	-7.1356	3.5416	2.0637	-2.3029	5.4919	2.206	1.436	-1.0957	5.3076	2.7387	5.4992	2.5711	1.8942	5.6834	1.1261	5.0117	3.3697	3.7944	6.245	3.735	6.1605	3.3058	3.7845	5.4191	-3.5661	1.7411	-2.179	-7.5293	-8.6429	2.1342	-6.7911	-6.0712	4.3286	4.1383	1.1166	8.4181	-0.942	3.0988	-1.315	2.0319	2.8021
D08-ZR-R2	2.0113	-7.3667	-8.1422	-11.1914	-3.7937	-2.136	-6.6898	-5.6115	-7.0753	2.825	1.8985	-1.058	-7.843	3.3224	-5.4211	-2.8853	-7.6263	2.2906	-3.2229	-2.2371	4.8856	3.1526	0.9326	-1.7785	4.9872	3.248	5.1768	3.9526	2.4466	6.3596	1.3934	4.8082	1.9832	0.818	7.0376	2.4324	6.3018	3.7175	4.2559	4.0354	-0.7379	1.597	-1.751	-7.0517	-7.6499	3.1675	-6.5512	-6.5115	2.8028	2.8082	3.8939	8.734	-3.7038	5.9631	-2.0476	3.5411	3.3031
D02-OH-R2	2.427	2.4057	-6.7954	-9.2096	-3.9061	-5.1656	-6.5498	-6.7282	-4.1396	-6.575	0.3004	-3.1945	-7.9749	2.3304	-5.0174	-2.9605	-7.256	3.5288	1.7252	-2.3888	5.3954	1.5127	1.8508	-1.1922	4.8289	2.6625	5.24	2.456	1.2623	6.0413	0.99	4.55	3.6799	4.3543	5.9373	3.4395	6.2655	2.9944	3.8265	5.3255	-3.0847	0.8263	-2.2838	-7.3197	-8.2274	1.7953	-6.7536	-6.2506	4.4421	3.4891	0.3648	8.7998	-0.3415	3.6898	-0.8274	2.1873	3.2173
D09-ZR-R1	-0.0862	-8.6084	-6.1636	-11.4093	2.0305	0.4278	-6.6453	-6.0033	-5.483	4.3918	2.4917	-4.1219	-3.9445	2.1635	-6.1918	-3.7562	-7.7401	-1.2455	-4.6325	-2.4729	4.7152	2.206	-1.4725	-3.3719	3.2602	1.4386	3.5912	2.0061	0.43	3.7632	0.9763	4.0924	2.8091	-2.392	3.8554	1.9748	6.431	1.8218	3.0025	3.7702	-2.8273	1.0875	-3.6778	3.1799	-4.7406	0.9743	-5.0007	3.0904	1.6156	4.2333	1.7155	8.2243	4.5016	5.0239	0.139	3.0416	3.5112
D07-ZH-R3	-2.5774	-2.6027	-8.6411	-11.1583	-3.7217	-3.5796	-7.019	-6.037	5.4474	1.7588	1.5786	-4.0107	1.1958	3.048	-5.6294	-3.3121	-7.5438	0.6933	-2.4912	-2.5075	5.0257	1.6233	1.9634	-2.4176	2.4913	4.6208	5.3283	3.2506	1.8336	5.3986	0.9555	4.8855	3.6179	1.6598	6.8887	3.7305	6.4136	3.3357	5.7658	3.7893	-3.4737	3.1099	-1.6727	-7.3875	-6.4332	-2.7503	-6.0708	-5.933	2.9709	3.9562	-3.7459	7.5659	-1.9782	5.5892	-2.687	2.1738	3.7159
D05-ZF-R2	0.0457	-0.1072	-5.6501	-9.5999	-2.6094	-1.4891	-6.5319	-6.182	-5.9775	3.5686	0.7914	3.2981	-7.818	5.2525	-5.7961	-3.4325	-8.4501	2.3186	-3.5289	-2.9795	5.6598	1.7317	0.7019	-2.619	2.8771	1.4039	3.266	2.5797	2.3034	5.1734	2.2336	3.2598	2.0743	-0.6679	4.5726	1.4736	5.3024	1.5202	3.6412	2.5367	-3.9084	-1.8908	-3.0024	-6.4566	-5.7566	-6.4332	3.9471	4.0577	0.2336	5.6729	3.1349	8.0535	-1.9994	4.3521	-1.1771	1.5092	5.5162
D06-ZH-R3	0.9901	-12.8766	-8.8883	-9.35	-2.3779	-2.6479	-5.9495	-4.2505	-4.2154	-1.7666	-6.8451	-3.7317	-7.8447	4.8025	-4.262	-2.6311	-7.3197	1.3443	-2.9212	-2.6113	5.2169	3.4741	1.0528	-1.474	3.5496	2.2361	6.092	4.0198	2.368	5.5142	2.9196	5.7269	4.8448	2.7528	7.01	1.9984	8.2585	2.9479	4.2965	6.1	-3.5982	1.1806	-0.926	-6.1391	-7.6341	-5.3984	-5.0251	5.6773	3.5508	6.9229	4.7739	9.7894	-3.5985	7.3682	-1.3273	-2.092	0.9233
D09-ZF-R1	-1.079	-9.449	-8.762	-10.8576	1.6066	-0.268	-7.315	-7.0328	-6.1776	3.5491	1.8235	-4.9053	-4.9419	2.1783	-5.8668	-3.522	-7.5894	0.7324	-4.507	-2.4803	4.5107	2.5167	-1.3553	-2.9226	2.8791	2.7579	4.3045	3.7908	2.6372	4.8394	0.3874	4.5412	2.0727	-2.559	4.4507	2.7099	6.7621	2.4848	3.4786	3.3982	-3.1721	2.4331	-3.1411	3.2466	-4.9598	0.2192	-4.9669	2.8153	2.9539	5.5315	2.8409	7.3849	3.8004	3.9183	-0.6677	2.4061	2.5357
D03-NF-R3	-0.0663	-7.2931	-9.8143	-10.3343	-3.6047	-1.8813	-5.8338	-6.2977	-6.7295	-0.6956	-1.7821	-0.8091	-8.4118	1.8343	-5.0328	-3.6058	-8.3115	3.2736	-3.2068	1.2475	4.7966	1.3303	-0.115	-2.273	4.4007	3.5712	5.2308	3.8918	0.7826	5.2585	0.288	3.83	2.719	0.1207	4.6355	1.6576	6.3725	1.3975	4.9577	3.4224	-3.0655	-0.3026	1.7288	-6.2674	6.2991	0.6421	-6.8017	3.1012	1.9194	3.7914	4.9282	6.1185	-0.1877	3.5907	7.3038	-3.347	1.6286
D08-OH-R1	2.2692	-6.5576	-8.8874	-10.5249	-3.1112	-1.2215	-5.8104	-5.8529	-6.5474	3.3525	2.395	-0.5231	-7.6632	3.8945	-5.3953	-2.8503	-7.6786	1.1919	-3.6102	-1.4886	5.2354	2.8784	1.6194	-2.1583	5.1317	2.2103	4.4598	2.3045	-0.2124	4.2261	1.5342	3.9034	2.728	1.4022	6.544	0.7297	7.7595	2.2627	4.1249	4.9752	-0.2957	0.5596	-1.4227	-6.9674	-7.3426	2.7292	-6.1024	-5.7703	3.1751	1.3833	1.8282	9.5761	-2.7877	7.1097	-1.5048	4.5748	4.2185
