Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
PCO-B4-R3	3.1298	4.9475	8.7304	-8.1709	-10.5526	8.6634	-2.4148	-4.3328
D10-NF-R2	-2.4161	-4.62	0.535	-4.4036	-10.0736	7.8794	5.1162	7.9827
D02-ZH-R2	-2.2004	-4.4483	1.5792	-4.1812	-8.3821	7.7233	2.7299	7.1797
PCO-B4-R2	3.2217	-0.3279	9.3101	-6.4965	-9.6259	8.6659	-0.9595	-3.7879
D06-NF-R2	-2.6341	-4.6894	-0.4214	-3.897	-8.729	8.1018	5.1972	7.0718
D10-ZR-R2	-2.1906	-4.7298	0.645	-3.145	-10.6088	7.8669	3.3683	8.794
D01-OF-R2	-3.0891	-5.2965	1.3716	0.9564	-9.3904	7.1239	1.8201	6.504
D04-OF-R2	-2.9335	-5.1879	-1.302	-2.0261	-0.2925	5.3344	2.4108	3.9967
D10-ZR-R1	-2.538	-4.9399	0.5136	-3.5704	-10.0138	7.7081	4.6718	8.1686
PCO-B1-R1	1.9998	-0.817	9.8608	-6.0694	-9.0886	8.2954	-0.4683	-3.7127
D04-ZH-R2	-2.8424	-5.2205	-1.423	-1.7207	-0.7346	5.6004	2.3476	3.9933
D02-ZF-R3	-2.3771	-4.5974	1.0476	-4.6417	-7.8748	8.1396	3.3869	6.9168
D06-NF-R3	-2.6013	-4.7075	-0.4413	-3.9541	-8.7158	8.1316	5.2895	6.9991
D01-OH-R2	-3.038	-5.1133	1.5504	0.2813	-8.8137	7.3135	1.0047	6.8151
D07-OF-R1	-3.6172	-5.9194	3.1014	-6.3425	-1.5689	6.9288	1.8004	5.6175
D04-ZF-R1	-3.0289	-5.3631	-1.2312	-1.8481	-0.9765	5.7609	2.8622	3.8247
D07-ZF-R3	-3.5046	-5.8828	3.0576	-6.308	-1.6998	7.066	1.5983	5.6733
D07-OH-R3	-3.8124	-5.9768	3.3622	-6.1201	-1.4359	6.8509	1.4036	5.7286
D10-ZH-R1	-2.1667	-4.6543	1.2624	-3.2492	-10.0064	7.726	2.3985	8.6898
D07-OF-R3	-3.7333	-6.0005	3.0166	-5.7811	-1.6573	6.9215	1.6814	5.5526
D05-OH-R2	-2.571	-5.0491	1.3442	0.2072	-8.6363	5.9092	2.8033	5.9925
D05-ZH-R3	-2.6261	-5.1542	1.4196	0.442	-8.6943	5.8708	2.7512	5.991
D06-ZR-R1	-2.6273	-4.7604	-0.4545	-3.7789	-8.6712	7.7954	5.6511	6.8458
D09-ZF-R3	-3.3776	-5.8738	2.966	-6.5077	-2.05	6.3038	2.6774	5.8619
D06-OR-R3	-2.7862	-4.9603	-0.1233	-4.1991	-8.0336	7.8919	4.9233	7.2873
D06-NF-R1	-2.5826	-4.5188	-0.5251	-3.8165	-8.86	8.2004	5.4304	6.6722
D02-OH-R3	-2.4621	-4.4874	1.5301	-4.2421	-8.0049	7.819	2.0257	7.8216
D01-ZH-R1	-3.0831	-5.2582	1.4175	0.5529	-8.9555	7.2363	1.6639	6.4263
PCO-B3-R3	3.3168	4.7627	8.0629	-7.9408	-11.8015	8.533	-2.432	-2.501
D01-OH-R1	-2.956	-5.1272	1.9514	-0.5069	-8.9161	7.4815	0.8669	7.2063
D07-ZF-R1	-3.5977	-5.8491	3.0872	-6.0895	-1.2772	6.7506	1.2739	5.7017
D05-ZR-R2	-2.8215	-5.3003	1.265	0.4094	-8.6133	5.9409	3.4513	5.6685
D03-ZF-R3	-2.8736	-4.9107	0.2511	-2.1533	-8.3933	7.3546	3.8504	6.8747
D03-ZF-R1	-2.9768	-4.9952	0.4306	-1.3576	-8.7253	7.05	3.6891	6.8852
