feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
unclassified.Desulfovibrionaceae	Temperature	Room Temp	0.000901246807236876	0.000490719392538616	90	76	0.0700812338141815	0.176454535139279
Parasutterella	Temperature	Room Temp	0.00671205289068001	0.00369068026844371	90	64	0.0728033853986306	0.181686324623131
Clostridioides	Temperature	Hot	-0.0133416522493138	0.00735933068434193	90	90	0.0736961836522331	0.182301085876577
Anaerostipes	Temperature	Room Temp	-0.127179659829394	0.0704209930351472	90	90	0.0747774805919151	0.183367387190609
Eisenbergiella	Temperature	Room Temp	-0.00664214834148945	0.00372178469525675	90	90	0.0782034965888285	0.190115396879738
unclassified.Coriobacteriaceae	Temperature	Room Temp	-0.0184312604035038	0.010430328833392	90	90	0.0811258525649386	0.193877037485701
Enterobacter	Temperature	Room Temp	0.00163640879726518	0.000925481423417992	90	90	0.0809426202068746	0.193877037485701
Ruminococcus	Temperature	Room Temp	-0.689479516026543	0.39544323483923	90	90	0.0851757419631568	0.196881633062379
Phascolarctobacterium	Temperature	Room Temp	0.0335844845225866	0.0191536239547258	90	88	0.0834572433503628	0.196881633062379
Agathobaculum	Temperature	Room Temp	0.00143622505197477	0.000821448142922216	90	90	0.0843282095651543	0.196881633062379
Sarcina	Temperature	Hot	-0.00186837348803018	0.00106936467160667	90	90	0.0845419053019112	0.196881633062379
Ruminococcus	Temperature	Hot	-0.687822073745487	0.39544323483923	90	90	0.0859145933081128	0.19697492124299
Clostridioides	Temperature	Room Temp	-0.0126246979111653	0.00735933068434193	90	90	0.0902294821662025	0.203852322426368
Eisenbergiella	Temperature	Hot	-0.0063674233620468	0.00372178469525675	90	90	0.0910829525734834	0.203852322426368
unclassified.Porphyromonadaceae	Temperature	Hot	-0.00110132496746142	0.000643530031527454	90	90	0.0909848683895075	0.203852322426368
Catabacter	Temperature	Room Temp	0.000935804366003343	0.000550397134901097	90	90	0.0930711321485601	0.206661883983417
Paraprevotella	Temperature	Room Temp	-0.00717523673305623	0.00424469154362715	90	90	0.0949438553069739	0.207551683694315
unclassified.Christensenellaceae	Temperature	Room Temp	0.00230749781514196	0.00136265270829433	90	90	0.0943722478726279	0.207551683694315
unclassified.Clostridiaceae	Temperature	Hot	0.0324086092933546	0.0194366451060296	90	90	0.0994458685012983	0.215721037825893
Blautia	Temperature	Room Temp	-0.677077596091336	0.409423507226851	90	90	0.102200893986038	0.218087909584965
Pseudomonas	Temperature	Hot	0.0612032489278583	0.0370312970289335	90	90	0.102402936581159	0.218087909584965
Guerin_crAss_Delta	Temperature	Room Temp	0.0115225928989403	0.00698117257023869	90	45	0.102857063740427	0.218087909584965
Akkermansia	Temperature	Room Temp	0.042398807413078	0.0257918068081746	90	90	0.104224639477502	0.219338420392953
Coprococcus	Temperature	Hot	-0.340799663723916	0.214530168523978	90	90	0.116199405671287	0.240942885288993
