Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D10-OF-R2	-2.7142	-4.7112	0.4751	-3.3655	-10.4736	7.7894	4.9664	8.0336
D07-ZR-R2	-3.7062	-5.9251	3.1318	-5.6225	-1.6184	6.624	1.155	5.9615
D05-OH-R3	-2.5599	-5.0352	1.7126	0.5163	-8.6111	5.64	1.8536	6.4837
D03-OH-R2	-2.844	-4.738	1.1635	-2.5394	-8.6648	7.0757	3.2212	7.3257
PCO-B2-R2	1.6664	-1.3293	10.0473	-6.2981	-9.0257	8.5274	-0.6398	-2.9482
D02-ZH-R3	-2.3945	-4.4157	1.4787	-4.0826	-8.4591	7.7401	2.9434	7.1896
D06-OH-R3	-2.5738	-4.7083	-0.1083	-4.4335	-8.6547	7.9977	5.1252	7.3558
D07-ZF-R2	-3.8494	-6.0465	3.107	-5.6001	-1.2556	6.5372	1.1072	6.0003
D03-NF-R1	-2.3667	-4.5049	0.2259	-1.7799	-8.912	7.7672	4.1404	5.4299
D02-NF-R2	-2.3802	-4.4612	1.3456	-4.0197	-7.9851	7.7552	2.8979	6.8474
D05-OF-R2	-2.8507	-4.9812	1.2222	-0.1279	-8.7336	6.0389	3.6257	5.8067
D02-ZR-R1	-2.4291	-4.349	1.3731	-4.0287	-8.3388	7.7898	2.8086	7.1741
D03-ZF-R2	-2.9369	-4.7305	0.5015	-2.1938	-8.8113	7.3762	4.1212	6.6737
D01-ZH-R3	-3.1146	-5.1513	1.4281	0.742	-8.8789	7.2042	0.9497	6.8209
D02-ZH-R1	-2.2766	-4.2041	1.8318	-3.8336	-8.6303	7.593	2.0413	7.4786
D05-ZR-R3	-2.8458	-5.2536	1.4068	0.6436	-8.957	5.8884	2.9489	6.1688
D05-OR-R2	-2.8048	-4.9461	1.2084	0.0747	-8.7521	6.0406	3.4092	5.7701
D06-OH-R2	-2.5743	-4.5722	0.133	-4.6079	-8.766	7.9879	4.7929	7.6066
D06-ZF-R3	-2.4843	-4.5723	-0.162	-4.3095	-9.3322	8.4646	5.7147	6.681
D03-OR-R3	-2.877	-4.974	0.6101	-2.0401	-8.7922	7.0754	3.9618	7.0361
D08-OR-R2	-3.0521	-4.9935	1.7895	-2.0335	-8.8771	7.1773	2.6382	7.3512
D09-NF-R1	-3.2063	-5.6813	3.1695	-6.5186	-3.6751	6.8577	3.7158	5.3383
D09-OH-R1	-3.2738	-5.6343	2.9758	-6.2719	-2.3029	6.2439	2.5754	5.6877
D07-OR-R2	-3.7894	-6.0696	3.5401	-5.534	-0.8211	6.0182	0.5271	6.1288
NCO-B2-R3	-1.7496	-3.568	3.0121	-5.4829	-5.787	6.365	1.2132	5.9974
D06-ZH-R1	-2.4394	-4.6272	0.4567	-4.5081	-8.1525	7.7465	3.3355	8.1885
D05-ZF-R3	-2.8698	-5.1048	1.2484	0.3681	-8.8449	6.1325	3.4548	5.6158
D09-ZH-R1	-3.3225	-5.839	3.2127	-6.2012	-2.1533	6.0878	2.266	5.9495
D01-OR-R1	-3.2332	-5.2806	1.4604	1.1663	-9.0104	6.7492	1.3091	6.8392
D06-OF-R2	-2.8457	-4.9676	1.0616	-4.9974	-8.8918	7.5954	4.8666	8.1788
D10-OH-R3	-2.4918	-4.6859	0.9082	-2.8085	-11.3247	7.6605	4.3117	8.4304
D08-NF-R3	-2.7441	-4.6702	1.4416	-2.599	-8.948	7.6391	3.3748	6.5058
D03-ZR-R2	-3.1364	-5.0519	0.6347	-1.9745	-8.4397	6.8878	4.1175	6.9625
