Saccharomyces cerevisiae	Cryptococcus neoformans	Acinetobacter baumannii	Pseudomonas aeruginosa	Escherichia coli	Salmonella enterica	Azospirillum sp. 51_20	Sutterella wadsworthensis	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:103	Staphylococcus aureus	Bacillus subtilis	Listeria monocytogenes	Streptococcus thermophilus	Lactobacillus fermentum	Enterococcus faecalis	uncultured Clostridium sp.	Clostridium sp. CAG:138	Clostridium sp. CAG:217	Clostridium sp. CAG:354	Clostridium sp. CAG:356	Clostridium sp. 28_12	Clostridiaceae bacterium	uncultured Clostridiales bacterium	Butyrivibrio crossotus	Roseburia intestinalis	Roseburia faecis	Roseburia inulinivorans	Roseburia sp. CAG:50	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	Coprococcus sp. CAG:131	Coprococcus sp.	Coprococcus sp. AF16-22	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	Anaerostipes hadrus	[Ruminococcus] gnavus	[Ruminococcus] torques	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Blautia sp. AF19-1	Blautia sp. BIOML-A1	Fusicatenibacter saccharivorans	[Eubacterium] eligens	Eubacterium ramulus	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	Eubacterium sp. CAG:86	Eubacterium sp.	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus callidus	Ruminococcus lactaris	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp. AM28-13	Gemmiger formicilis	Faecalibacterium prausnitzii	Faecalibacterium sp. CAG:82-related_59_9	Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Subdoligranulum sp. 60_17	Ruminococcaceae bacterium	Clostridiales bacterium	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Coprobacillus sp. AF21-8LB	Erysipelotrichaceae bacterium	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Phascolarctobacterium faecium	Megasphaera massiliensis	Dialister invisus CAG:218	Dialister sp. Marseille-P5638	Firmicutes bacterium CAG:65_45_313	Firmicutes bacterium AF22-6AC	Bifidobacterium adolescentis	Bifidobacterium animalis	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Collinsella aerofaciens	Collinsella stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides plebeius	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides faecis	Bacteroides mediterraneensis	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. UNK.MGS-14	Bacteroides sp. NMBE5	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes finegoldii CAG:68	Alistipes putredinis CAG:67	Alistipes sp.	Alistipes sp. 3BBH6	Prevotella copri	Prevotella sp.	Prevotella sp. AM23-5	Odoribacter splanchnicus	Barnesiella intestinihominis	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis
D07-OR-R2	-9.6937	-10.6655	-2.4089	-4.528	-0.3916	-2.2469	7.6476	-9.6292	-1.6849	3.5615	-4.2696	0.7028	-0.2586	-7.2097	-6.6422	0.9356	-4.706	-1.4896	4.0035	-5.0224	-7.7366	-6.9278	-1.9219	-5.1773	3.2825	3.964	-2.9191	-1.1108	-0.2584	-0.9898	0.8413	2.6286	2.1985	2.1687	2.5994	2.5687	2.51	1.9652	0.3197	6.6739	4.4355	2.7047	3.2943	1.1556	2.86	2.5664	3.6106	4.8736	3.4472	1.2035	4.3116	4.5468	1.2374	-5.0475	-6.2557	1.8124	3.0887	3.8404	-3.6068	-5.3885	2.4234	3.5809	1.4799	3.7275	6.3065	5.3855	6.698	1.4893	2.2211	1.153	1.327	3.5438	7.4173	3.4911	-1.6369	-0.583	3.8591	-3.691	-6.5636	-12.5803	-12.5219	-7.4147	-7.3817	-12.5176	-8.5025	-3.141	-2.6233	4.2657	-3.8814	-2.9618	1.8382	-3.0829	-7.5244	3.2565	8.1651	8.7968	-2.0152	2.6727	-0.6543	5.5244	-1.9567	4.4058	0.0207	-7.9683	4.6106	4.2135	3.3579	0.3348	-2.7313	2.888	-6.453	0.646	-2.3268	0.5417	0.0069	-2.8602	0.609	6.5877	2.8022	5.2616	4.0547	0.867	2.5142	2.7794	3.1082	5.9324	-3.6541	-2.4049	-8.346	4.5816	3.9627	3.4793	6.489	-4.0725
NCO-B2-R3	-3.0618	-2.7545	-3.1371	3.7563	-1.1582	3.8776	-0.6566	-2.8202	-2.9746	-3.2543	-3.0666	1.5042	-3.091	-3.0065	1.218	2.4248	-0.0267	-0.2501	3.9056	-2.0598	-3.0241	-3.1579	-3.0797	-2.8275	2.776	3.1754	-3.0221	3.9291	3.3182	0.604	-2.728	-3.2511	0.8937	1.3318	-3.1782	-3.1838	-2.9493	-3.1962	-3.0684	-9e-04	5.0555	-1.0745	2.6838	2.2712	2.783	1.9969	2.6098	3.2748	-1.0834	3.6287	-0.2327	-1.5321	-2.1877	-2.9779	-2.7004	-0.2642	-0.8518	3.8541	4.1903	4.3448	3.7814	-2.2141	-2.986	4.5767	-1.9721	3.6159	5.7629	1.5865	-1.5205	-3.0691	-1.3687	2.1526	3.5733	5.3358	3.6474	-1.9878	-0.9903	-2.9204	-2.9466	-2.8705	-2.6443	-1.3564	-2.8864	-2.8754	-2.9135	3.4562	3.8236	-2.0064	2.965	-2.9704	-2.7829	0.9042	-2.1333	3.3806	3.8126	6.1265	-3.1222	6.1013	6.3184	3.917	-3.1495	3.5003	-0.2346	2.481	1.8593	-0.5302	2.4449	-2.9545	-1.3815	2.1637	5.1738	3.8546	-2.1546	-2.9676	-2.9212	-3.05	-0.51	-3.0504	-0.7692	-1.5201	4.4199	-2.1383	0.0148	-2.8895	-1.0458	-2.9743	-2.8701	-2.9458	-3.0113	1.9158	-2.8892	4.8779	3.2509	-2.8174
D06-ZH-R1	-5.8246	-10.7392	-2.821	-2.7475	-0.0071	-2.4859	-7.6694	-2.0288	-2.822	-6.8144	1.1002	6.4224	1.6048	-5.2318	-5.7717	1.1861	-6.0024	-2.1355	4.9046	-5.1386	-6.3068	-10.4763	-10.6847	-11.6966	3.6332	2.6678	-1.4865	1.4535	1.081	3.9189	-5.0882	-1.6717	2.0292	-0.2711	-8.5271	-3.0064	-4.6734	-4.4006	-4.2106	6.3055	5.9652	3.6513	3.0483	2.3545	4.616	3.9581	2.6546	3.511	3.4065	0.127	3.5541	4.6019	-1.5933	-11.6553	-6.8191	5.7082	2.5714	5.8472	-2.9227	-3.7287	3.1324	2.3995	4.5273	4.9871	4.4929	2.6161	9.1308	-0.1272	3.5411	5.087	4.8721	0.8962	4.1076	7.6157	4.0912	0.8675	-5.2884	-3.7466	-8.4872	-8.0638	-12.2647	-10.4001	-7.8063	5.9255	-4.5396	1.536	0.6651	5.1163	2.6767	2.421	5.1207	3.3883	-6.1161	5.7274	8.8724	9.87	9.2243	8.6402	1.0751	6.5084	-2.5435	3.3641	1.5277	-7.0014	1.3042	6.3756	2.2871	3.0187	-5.2534	-3.5059	-6.7822	1.6372	2.2076	2.1409	-2.5019	-0.7679	-1.6517	8.1436	0.7099	6.0565	2.1346	-0.1618	-2.3921	5.0144	4.6137	7.336	-3.1653	-2.971	-9.2565	-1.4744	-10.664	5.0392	2.7787	-2.3118
D05-ZF-R3	-5.234	-10.3531	-3.895	0.1532	2.0387	-3.3814	-11.1974	5.0892	4.6441	-5.2987	6.9376	-4.6916	1.3448	-5.9579	-5.5636	3.2732	-6.7282	-1.304	3.5356	-3.8242	-4.2736	-2.6423	5.5578	5.5957	2.8881	3.0072	-2.7705	3.0209	3.395	0.9901	-4.5025	-1.653	2.6213	1.958	-7.882	-5.9347	-1.8353	-3.7326	-6.535	2.8567	4.5546	3.9257	5.6764	2.1075	1.0636	3.4824	5.7129	5.465	4.9587	-1.0215	5.963	1.4677	-1.3514	-11.273	2.5801	-5.7496	1.5293	3.352	-3.7652	-2.9745	-3.551	2.889	1.0761	4.3871	1.5644	3.9334	6.9458	-0.7921	0.6442	4.2004	4.3521	1.9706	5.0334	2.8997	-3.7443	1.1485	-2.9857	-3.6359	-4.9077	-5.7772	-13.1689	-10.4001	5.0828	4.4988	-5.4368	-2.4101	-2.4106	6.1152	-0.3406	4.6313	6.7909	3.1566	-1.0333	5.3241	6.3967	8.2465	-1.6534	6.9369	6.0689	1.2482	-3.8239	-1.3027	-2.0431	-8.3636	-1.8576	2.8234	3.2537	-1.0257	-4.8678	-7.2638	-6.3734	0.6458	1.2775	5.1672	-1.3573	-0.4739	-0.4174	-1.2725	1.0546	1.2654	3.6041	-0.1315	0.8137	-2.8454	0.0726	-1.7116	-2.6826	-3.0728	-6.3652	2.3985	2.7877	7.9885	6.6472	-1.2616
D09-ZH-R1	-4.543	-11.7697	3.8625	5.317	4.3508	-5.1258	-9.2783	5.2551	-3.3654	-2.7719	-4.5037	1.8989	-0.3691	-6.4513	-6.5634	-4.2622	-7.5868	-3.5081	3.6164	-4.8813	-5.1582	4.1556	-12.0095	-12.909	3.8322	0.2148	-3.2635	0.0643	3.1695	-0.8464	-0.7904	-2.8363	1.3394	2.1662	-7.5423	-4.5101	-4.2795	-4.8222	-3.9922	4.6598	3.4317	3.3819	3.6545	0.0896	3.56	2.7523	2.5729	3.8086	0.6179	1.6242	1.3617	0.831	-0.16	-9.5066	2.3749	3.4935	2.4775	3.1525	-5.7601	-5.8578	-4.2425	3.1055	0.1097	3.3434	0.4755	3.3474	7.9626	3.9652	3.8425	2.4214	3.0355	1.5835	4.5834	4.7675	-0.4744	0.4133	1.7981	-4.2928	-3.9002	-9.4506	-12.2869	1.5806	-8.7847	-12.5444	4.1271	-3.6276	-4.01	5.1493	1.8592	-1.7715	3.349	2.4398	-6.6434	3.598	6.7945	4.9539	-0.2943	6.0959	0.0697	1.1974	-0.7399	4.3424	4.364	-2.4301	3.1661	6.3132	3.1109	5.502	5.2692	1.7454	-2.325	2.5261	5.0509	-2.4004	1.0885	-0.5507	5.926	4.0283	3.4239	3.5612	0.4723	2.8738	3.3586	1.2498	1.6576	1.7458	-2.3369	-2.4884	-5.2401	3.9122	0.4398	5.4861	2.7495	-2.3603
D01-OR-R1	-5.4309	-10.5377	-1.8074	-3.6252	0.1406	-4.0946	-8.1736	-7.6844	5.2561	-6.7516	-0.0624	2.8076	0.1623	-6.6382	-7.3765	-0.6954	-6.2674	-1.1725	5.3757	-4.8458	2.9864	-8.0523	-6.6623	-7.2641	5.0069	4.2507	-2.1383	4.4142	4.9402	2.9375	1.2598	-0.7407	1.7602	2.4841	-11.7648	-1.8314	-0.4017	-2.5212	-3.171	5.1795	5.4175	3.9277	3.4788	0.7598	3.7486	3.5566	4.5557	4.5727	2.7373	-2.259	4.6074	4.2344	1.3142	-6.8534	-4.3215	0.8881	3.8706	1.9959	-3.748	-4.815	-4.0474	2.099	6.5475	5.956	3.9403	4.0291	7.6755	-1.074	1.2675	3.3509	3.1838	1.8457	7.078	5.8076	5.2773	0.6071	-4.7065	-3.4496	-8.6277	-9.0963	-12.7436	-6.1503	-9.0347	2.7816	-8.779	0.9684	0.2834	-3.4392	-0.8884	-5.6268	4.3197	-3.2202	-4.4679	5.7153	4.5991	2.4508	-0.1014	6.8209	-0.6302	7.4393	-2.2886	7.1538	0.7706	-4.4079	5.6486	3.7342	8.2482	0.6921	-2.9638	3.3391	-5.6105	-0.6222	-2.1405	-4.0287	-4.1391	-4.9126	2.7728	7.1098	1.5025	8.2022	1.4897	0.4892	-0.534	2.6861	5.5041	6.4773	-3.6774	-3.5168	-6.197	5.1799	1.4797	7.5259	3.4567	-3.3024
D06-OF-R2	-8.6148	-10.6613	-1.7776	-2.1598	-0.1068	-3.0909	-5.664	-1.8015	-4.4056	-7.0205	-0.3137	2.6225	2.389	-4.8719	-5.4263	3.8292	-6.7457	-2.2098	4.3179	-5.9173	-7.6105	-6.6489	-11.6019	-9.3711	2.8639	1.1923	-2.0055	1.7202	2.8329	3.4733	-4.8998	-1.5568	3.2621	0.521	-8.6547	-2.5753	-4.4645	-4.6527	-4.5965	7.211	5.9623	4.8897	4.971	3.4221	5.7943	4.9626	4.8775	3.4504	5.0365	0.6887	5.2878	4.5535	-0.7696	-11.8825	-7.542	5.5121	2.8187	3.324	-4.4747	-5.4186	3.7018	3.5449	3.9915	5.4871	3.9777	3.4299	8.7094	-0.1512	3.156	5.4557	5.1714	1.6434	4.1606	4.8326	0.3325	-0.701	-3.3907	-3.4642	-10.658	-10.5087	-11.7243	-9.0594	-9.3046	3.5202	-5.3724	-0.9109	-1.6788	6.6706	4.3473	4.1429	6.6237	4.9357	-4.8123	5.3135	8.7346	10.0478	9.1989	8.787	0.9879	6.2305	-2.7004	3.0289	1.5061	-7.6652	1.248	6.5465	2.3159	2.9171	-4.4604	-3.5904	-6.2043	1.7683	2.1516	2.3282	-2.3228	-0.4732	-1.2601	7.5407	0.5417	5.8026	1.6844	-0.5744	-2.8785	4.4534	4.0294	7.1032	-3.2415	-3.1603	-9.3486	-1.3879	-8.6109	4.6515	2.6314	-2.042
D10-OH-R3	-4.5489	-8.364	0.5222	-4.4999	0.9543	-2.9799	-9.9236	-10.1198	-0.2267	-9.2542	-2.2874	-5.8772	1.7616	-5.0049	-4.4983	2.8758	-2.1477	-1.7744	3.9539	-6.9654	-8.3028	-12.1761	-12.1105	-8.371	5.5674	0.8851	-2.0442	7.1242	-0.2748	4e-04	4.726	-2.1278	5.3787	5.6979	-5.4374	-3.2416	-3.2199	-2.0365	-4.8537	2.3904	4.8248	1.5787	5.0038	6.1432	5.1581	4.2678	6.1367	6.0942	-1.49	-0.059	1.1152	0.3756	4.5478	-12.1827	-5.9483	-4.5114	-1.2236	1.5598	-3.9807	-5.381	-6.735	0.0385	-12.2341	4.5889	-6.0971	1.6226	2.0963	-3.4952	-5.2943	-5.0793	-4.7835	-1.1285	6.4373	5.2442	-5.2309	5.8898	-8.3115	-2.8564	5.2809	4.1224	6.4361	5.9877	-5.7606	-11.1332	-8.4825	-3.3047	-7.0083	-1.8216	-11.2086	-5.7009	2.8966	6.5889	3.8195	3.1213	8.5442	10.0843	0.1633	8.2679	1.6294	7.2474	6.9666	7.7339	4.7369	3.5268	6.7545	7.9596	4.6584	6.5171	-0.1682	6.1576	6.0476	5.149	-1.5541	3.4334	3.3104	5.524	1.6815	5.3983	1.9151	4.4474	2.8446	-1.2215	2.1538	1.8462	1.7124	-2.5414	-4.106	-0.4968	-8.2347	4.3506	5.3262	6.4199	4.7924	1.3186
D08-NF-R3	-4.6733	-11.9577	-2.5166	-3.3898	0.4972	-2.9018	-8.9027	-7.7467	-0.6987	-6.4048	-0.4743	3.9759	1.0583	-5.3978	-6.4587	-2.3103	-3.3172	-1.2779	4.3847	-4.5458	-6.9604	-8.4435	-11.4274	-11.9287	4.0298	2.9067	-1.3276	6.2866	-0.6965	1.108	-3.9317	-1.3093	3.8671	2.7636	-8.4664	-0.2584	-6.4423	-4.8821	-5.0181	6.54	6.1372	4.924	5.4547	3.1495	5.4203	6.7699	5.4017	6.5412	3.3747	4.3454	4.7787	3.4456	-1.1597	-9.9904	-5.8379	2.2368	4.1291	2.5775	-4.8523	-4.7369	4.2913	4.06	6.6906	6.7854	4.6122	4.612	8.6456	0.195	2.6955	3.7071	2.8087	5.697	6.1149	5.4197	1.6056	-0.5092	-2.534	-2.8087	-7.1869	-10.4967	-12.971	4.2494	-8.102	-13.076	-7.9223	3.8446	2.8795	3.3901	2.2172	-1.6414	3.9236	5.0589	-3.4026	4.14	6.537	5.6167	7.7984	5.2147	7.4673	5.0787	-1.0619	3.9027	-0.949	-7.6522	-0.004	4.5819	2.801	1.9015	-3.2198	-3.5471	-10.3406	-2.0495	3.127	-3.9085	8.1829	-2.4648	-2.0652	5.2983	4.4938	5.4711	2.1514	-1.0452	4.021	1.3152	2.1483	-0.3966	-2.7509	-4.8113	-10.6885	4.3106	-3.8884	5.6292	3.909	-2.5673
D03-ZR-R2	-10.8566	-11.8886	0.5137	-4.4329	-0.0027	-4.9509	-9.7933	-0.0353	0.2512	-7.2067	-3.1533	0.3741	0.1824	-7.8771	-7.7166	-2.1144	-4.9067	-3.5027	3.4912	0.2119	3.5203	-5.9863	-13.7753	-11.3167	2.8658	1.576	-2.7851	1.1991	2.0481	2.4974	-0.0331	-0.4924	0.7382	2.7666	-1.6971	-0.5347	-1.1861	-0.9069	-1.8747	5.0839	3.9731	2.6238	1.1645	0.2139	3.5949	2.6295	2.7697	3.5494	2.7852	0.8801	2.6814	0.7723	0.5389	3.438	-6.4968	-1.8358	1.5517	4.2107	-3.5652	-3.6631	0.3813	2.7856	-2.7612	2.9493	-1.7681	2.7145	5.8413	0.6602	-0.7099	1.0851	1.3042	0.6535	6.2264	3.909	1.8961	-0.8661	-5.2646	1.4478	3.1031	1.8482	4.2589	2.6066	-9.2591	2.937	-7.8726	2.4492	1.6125	4.9585	-1.4479	-1.2693	-1.4696	5.2676	-4.7083	1.4617	4.5954	6.5383	-2.6624	2.6577	-0.8587	3.1885	3.078	-2.5815	-0.6012	-7.4749	-1.1713	3.4352	4.3716	3.1408	2.3587	-8.8646	-4.8455	-1.5301	0.9284	1.5816	-1.4658	4.5246	1.8269	3.5585	0.6964	4.1895	-0.1726	-3.2877	-0.5195	3.7358	3.3727	2.3581	8.0105	6.8906	1.6924	-1.6826	2.9592	1.0954	4.1099	-2.2472
D04-OH-R3	-4.8841	-8.0215	-0.2099	-3.3513	-1.0836	-2.9451	-5.6643	-1.9965	-4.2688	3.6461	-4.6172	0.6372	0.0756	-5.2708	-5.4166	-2.9478	-5.0155	-2.6438	3.6771	5.6795	2.9189	-5.2594	-3.4856	-5.0611	3.9501	4.8418	4.0475	2.4319	3.2102	3.8566	-2.8552	3.8912	3.7243	2.28	3.3357	4.034	3.4158	3.3623	3.7036	5.3513	4.7566	3.0196	3.0135	-0.2365	3.0018	1.709	1.675	3.6815	0.3201	-1.4509	1.1212	3.1271	0.1161	-7.8121	4.7447	2.028	4.073	5.8384	2.5055	2.4636	1.9567	-1.465	-4.5958	3.9115	-5.7278	2.2627	7.2765	3.8734	4.2675	2.8716	2.5902	0.216	6.2944	5.0211	2.9425	1.2956	-2.503	4.0704	-5.3934	-14.2104	-12.5615	-3.1645	-8.5413	-10.9821	-3.2131	1.0664	1.3093	6.378	-1.0532	2.3704	4.2639	1.6758	-5.5943	2.124	3.1236	2.4954	-1.2598	2.3496	-1.2334	2.9425	-3.3629	-2.4933	-1.7523	-13.0452	-0.9858	-0.823	4.0052	0.723	-4.8592	-4.8006	-6.9153	2.3204	-4.714	-3.5999	-6.2478	-4.4689	-0.9875	-3.2902	0.9665	0.7656	0.488	3.4614	0.3431	-4.8374	-2.6322	0.1378	6.0853	4.8854	4.7757	3.1885	1.3647	0.8321	-0.3668	3.6212
D04-NF-R2	-5.8346	-8.2512	-0.3613	-3.5324	-1.4066	-3.3415	-5.75	-2.4927	-4.6498	3.1107	-4.689	-0.2766	0.0651	-5.2237	-6.2291	-2.7613	-5.1621	-1.7499	3.9892	5.3634	1.5708	-6.5165	-4.8742	-6.1374	4.0552	4.1406	4.7683	2.5992	3.4851	4.4241	-2.3377	5.0315	4.1403	3.0864	4.5593	5.2509	4.5933	4.5612	4.9076	6.524	5.3839	4.198	4.2805	0.5613	4.083	2.8351	2.9264	4.7226	0.9618	-0.4794	2.3045	4.3659	1.2327	-7.3126	3.2328	1.9785	4.7744	5.2976	1.7564	1.7159	4.5468	-0.8318	-5.186	4.3267	-6.0212	2.8803	7.4024	4.0894	4.5007	2.7841	2.4542	0.7469	5.7981	4.8347	1.9696	0.7796	-1.7259	5.182	-5.4483	-12.8379	-13.3702	-3.4378	-8.079	-10.6349	-2.9615	1.2594	1.4308	7.1788	0.6854	3.4141	4.6066	2.7068	-4.7278	1.4838	2.4726	2.2684	-1.9026	1.7391	-1.8619	2.0448	-4.0221	-3.1459	-2.3981	-13.2465	-1.6571	-1.6875	4.2225	-0.0089	-5.5776	-5.1908	-7.6169	1.656	-5.1601	-3.7287	-7.0317	-4.9211	-1.8632	-4.0502	0.3542	0.0352	-0.3596	2.5662	-0.236	-5.0719	-3.3739	-0.6617	5.6067	4.0682	4.3228	2.8566	0.548	0.6991	-0.922	2.9689
D01-NF-R3	-4.9489	-10.4306	-1.8947	-3.3544	2.5473	-3.2934	-4.5914	-6.5119	6.4021	-6.2586	-0.0822	2.8621	1.3583	-6.8108	-6.0191	1.8019	-6.3107	-0.6295	4.6996	-4.7668	3.4177	-9.185	-7.8113	-7.5226	4.2746	3.5085	-2.1382	3.8688	4.8657	2.5544	0.6738	-0.4176	2.1083	3.0181	-10.3552	-1.8741	-0.0045	-1.8786	-3.2825	5.4527	5.6426	5.1112	4.6429	1.558	4.7719	4.9819	6.0348	5.7591	3.7959	-1.0395	5.6513	3.7032	0.8432	-6.5459	-3.8353	-0.3958	3.5048	1.8823	-3.8414	-4.8196	-3.5987	1.2873	6.2048	6.2729	3.5726	4.9078	8.612	-0.3757	2.2361	3.8892	3.6574	2.7235	7.6468	5.0873	5.3397	0.2554	-4.2827	-3.1881	-7.7878	-8.2858	-10.3664	-6.2379	-8.5183	3.6208	-7.2179	0.074	-0.7745	-1.8506	-1.4674	-4.4945	5.8766	-2.73	-3.5069	4.4043	3.705	1.581	-0.6592	4.839	-1.2451	6.3322	-3.6633	6.7069	-0.2158	-4.9965	5.1586	2.7607	5.6796	-0.4467	-4.8117	2.8322	-6.4467	-1.0558	-2.1877	-5.4206	-4.359	-5.7572	0.851	6.0153	0.5848	7.2805	0.5638	-0.4529	-1.5051	1.6159	4.4971	5.5359	-4.689	-4.2822	-7.0677	4.5566	0.8041	7.0574	2.7288	-3.8573
D07-ZR-R1	-8.3093	-9.456	-2.1123	-4.1796	-0.5654	-2.7871	7.234	-8.5575	-2.2028	2.8742	-4.1674	0.146	0.3728	-6.7215	-6.6845	0.4253	-4.6914	-2.8877	4.9585	-5.3791	-7.9575	-7.4322	-2.5989	-5.6996	3.7249	3.6925	-3.0153	-0.5654	-0.7505	-0.8949	0.6815	2.7083	2.1712	2.6494	2.6618	2.6524	2.6053	2.042	0.4014	5.9522	4.8085	3.679	3.8328	0.989	2.447	2.7676	3.7567	4.8593	3.6916	1.4026	4.511	5.6428	1.0704	-5.2922	-6.1148	2.2888	3.5202	4.6801	-3.3915	-5.2165	3.3538	4.4828	2.1034	3.91	7.0254	4.8895	8.2305	3.0394	3.729	2.261	2.4641	3.0157	7.1058	3.5405	-2.102	-0.2556	2.9564	-3.9863	-6.3091	-13.1164	-12.9512	-5.8055	-6.8832	-12.9867	-7.3932	-2.5262	-2.3185	3.782	-3.8344	-3.1086	2.5026	-3.1765	-8.1057	2.9887	7.9367	8.6288	-2.1611	2.1328	-0.8673	5.2505	-2.0311	3.9331	-0.1267	-8.4834	4.2631	3.9955	3.0631	-0.0497	-2.9206	2.4078	-7.454	0.4248	-2.4596	0.3854	-0.218	-3.0034	0.3806	6.2125	2.1399	4.6102	3.5312	0.3434	1.8511	2.3761	2.6686	5.2575	-3.8569	-2.4892	-9.7537	4.164	3.7207	3.3147	6.2857	-4.1946
D09-OR-R1	-3.7952	-12.3836	4.1725	5.5604	4.5068	-5.4307	-10.5507	5.445	-3.3025	-2.2973	-4.7951	2.3104	0.1823	-7.0678	-6.2618	-3.9213	-7.2192	-2.9079	3.1383	-6.2872	-6.0232	4.5318	-11.5295	-11.202	3.885	-0.0841	-3.2426	-0.1342	3.7512	-1.2343	-0.0294	-2.8047	0.933	2.6224	-8.0229	-4.3278	-4.3146	-4.5555	-4.2477	5.0054	3.2094	3.0157	4.0158	-0.0897	3.5731	2.7635	2.6926	3.8144	0.261	0.4995	0.9768	1.1144	0.4819	-10.8472	1.6655	3.5117	2.2281	2.0166	-6.1304	-6.1706	-4.0657	2.4198	0.4917	3.3467	0.9007	3.3656	7.5236	3.2724	3.8698	2.1977	2.7883	1.639	4.4361	4.8015	-0.0762	0.2133	2.6143	-4.4652	-4.8069	-8.8116	-13.3323	0.6132	-9.571	-13.3784	3.0327	-3.9617	-4.2432	5.3151	2.0674	-1.7381	3.0436	2.2582	-6.531	3.8279	7.0956	5.1269	-0.0763	6.3341	0.2579	1.4413	-0.5502	4.4923	4.5631	-2.1996	3.4045	6.414	3.325	5.7146	5.4724	1.9092	-2.0749	2.7918	5.2367	-2.0727	1.1249	-0.3372	6.1253	4.2032	3.7525	3.7946	0.6638	3.2666	3.6845	1.3671	1.8615	1.9819	-1.5677	-2.3184	-4.9695	4.1093	0.5125	5.6417	2.9412	-2.1744
D07-ZR-R3	-7.0379	-10.8023	-2.4286	-3.8815	-0.6754	-3.5008	6.7405	-7.8006	-2.6215	2.3182	-4.2992	0.1058	0.6157	-7.2622	-5.6744	1.9847	-5.0245	-3.5019	4.8202	-4.9926	-7.8347	-6.5471	-2.5251	-5.9301	3.3497	3.351	-2.8648	-0.6745	0.0369	-0.7946	1.6843	2.9283	3.134	3.5257	2.8626	2.8815	2.8217	2.277	0.6021	6.8858	5.1923	4.1439	4.6455	1.7916	3.3668	3.8025	4.9964	6.0276	4.0118	2.2509	4.8502	5.3617	2.0873	-4.3848	-5.9113	1.7325	3.6359	4.2789	-3.7501	-5.6793	3.8896	4.7653	2.4031	4.4378	7.3636	5.8585	7.4165	2.2764	2.8617	1.4304	1.6325	4.0251	7.1757	3.4091	-2.1014	-0.7376	4.0747	-3.6059	-6.1734	-12.1743	-12.981	-5.9008	-6.8795	-13.2031	-7.5769	-3.0038	-2.6568	5.004	-1.6662	-2.1822	3.5665	-3.0981	-7.6909	2.4175	7.4081	8.1287	-2.7703	1.7095	-1.3436	4.7124	-2.5004	3.3836	-0.6139	-10.3609	3.6982	3.4299	2.5967	-0.5716	-3.249	1.857	-7.439	-0.0879	-2.6876	-0.2001	-0.7111	-3.3831	-0.0785	5.7286	1.7368	4.1606	3.1186	-0.0462	1.4297	1.8654	2.2222	4.8305	-4.2784	-2.9938	-10.3043	3.4712	3.1792	2.7704	5.6998	-4.5952
