Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
C1,B1,Rep1,Plate3,standardB_100,000,NA,standardB_100,000_Rep1,false,Sample,16S,Unknown,SYBR,16.468279929752434,0.985856452090917,3.42844108252809,Amp,false,3,9,NA,NA
C10,B5,Rep2,Plate3,standardB_1,000,NA,standardB_1,000_Rep2,false,Sample,16S,Unknown,SYBR,9.388815211570488,0.995418465505552,3.47871222852531,Amp,false,3,5,NA,NA
C11,B6,Rep1,Plate3,D01_OH_R3,3-2-3,D01_OH_R3_Rep1,false,Sample,16S,Unknown,SYBR,11.830405910616058,0.92291063993241,3.4504178408395,Amp,false,3,6,NA,NA
C12,B6,Rep2,Plate3,D01_OH_R3,3-2-3,D01_OH_R3_Rep2,false,Sample,16S,Unknown,SYBR,11.894894719297785,0.926890584304213,3.45634864387555,Amp,false,3,6,NA,NA
C13,B7,Rep1,Plate3,D03_OR_R3,3-1-6,D03_OR_R3_Rep1,false,Sample,16S,Unknown,SYBR,12.861720399694878,0.921768255389402,3.44937956161416,Amp,false,3,7,NA,NA
C14,B7,Rep2,Plate3,D03_OR_R3,3-1-6,D03_OR_R3_Rep2,false,Sample,16S,Unknown,SYBR,12.640560034350496,0.832749180445441,3.48015793449337,Amp,false,3,7,NA,NA
C15,B8,Rep1,Plate3,D09_OH_R3,3-2-20,D09_OH_R3_Rep1,false,Sample,16S,Unknown,SYBR,9.384504575596932,0.728948327340679,3.49301512449311,Amp,false,3,5,NA,NA
C16,B8,Rep2,Plate3,D09_OH_R3,3-2-20,D09_OH_R3_Rep2,false,Sample,16S,Unknown,SYBR,9.65207798174604,0.771224859466895,3.46178579264075,Amp,false,3,5,NA,NA
C17,B9,Rep1,Plate3,standardB_10,000,000,NA,standardB_10,000,000_Rep1,false,Sample,16S,Unknown,SYBR,21.48858676639803,0.774932987680919,3.45880523662406,Amp,false,3,12,NA,NA
C18,B9,Rep2,Plate3,standardB_10,000,000,NA,standardB_10,000,000_Rep2,false,Sample,16S,Unknown,SYBR,22.00681132793749,0.81751796620189,3.46739200348239,Amp,false,3,12,NA,NA
