DNAExtractionGroup	DNAExtractionBatch	DNAExtractionDate	RNAeasyLot	RNAeasyKit	ExtractedBy	SampleID	TubePosition	RNAConcentration
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D07_OH_R2	10	low
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D06_OR_R2	11	11
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D04_OF_R2	12	16.6
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D07_NF_R2	13	174
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D03_OH_R2	14	low
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D10_OR_R2	15	low
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D01_ZF_R2	16	6.92
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	NCO_B1_R2	17	low
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D03_NF_R2	18	184
2	1	1-Sep-21	169017766	Kit 2	Dylan/Mai	D02_ZR_R2	19	15.9
2	2	2-Sep-21	169017766	Kit 3	Dylan	D03_OR_R2	1	13.3
2	2	2-Sep-21	169017766	Kit 3	Dylan	D03_ZR_R2	2	8.34
2	2	2-Sep-21	169017766	Kit 3	Dylan	D07_ZR_R2	3	16
2	2	2-Sep-21	169017766	Kit 3	Dylan	D06_ZF_R2	4	7.28
2	2	2-Sep-21	169017766	Kit 3	Dylan	D08_NF_R2	5	224
2	2	2-Sep-21	169017766	Kit 3	Dylan	D10_ZF_R2	6	5.26
2	2	2-Sep-21	169017766	Kit 3	Dylan	D02_ZF_R2	7	9.36
2	2	2-Sep-21	169017766	Kit 3	Dylan	D04_NF_R2	8	196
2	2	2-Sep-21	169017766	Kit 3	Dylan	D01_OF_R2	9	99.6
2	2	2-Sep-21	169017766	Kit 3	Dylan	NCO_B2_R2	10	low
2	2	2-Sep-21	169017766	Kit 3	Dylan	D05_ZH_R2	11	28.6
2	2	2-Sep-21	169017766	Kit 3	Dylan	D05_OF_R2	12	16.2
2	2	2-Sep-21	169017766	Kit 3	Dylan	D09_ZH_R2	13	38.2
2	2	2-Sep-21	169017766	Kit 3	Dylan	D01_ZH_R2	14	14.1
2	2	2-Sep-21	169017766	Kit 3	Dylan	D07_OR_R2	15	9.68
2	2	2-Sep-21	169017766	Kit 3	Dylan	PCO_B2_R2	16	low
2	2	2-Sep-21	169017766	Kit 3	Dylan	D09_OF_R2	17	8.08
2	3	2-Sep-21	169017766	Kit 3	Mai	D02_OF_R2	1	63.4
2	3	2-Sep-21	169017766	Kit 3	Mai	D10_ZH_R2	2	29.6
2	3	2-Sep-21	169017766	Kit 3	Mai	D10_OF_R2	3	20.4
2	3	2-Sep-21	169017766	Kit 3	Mai	D04_ZR_R2	4	19.1
2	3	2-Sep-21	169017766	Kit 3	Mai	D08_ZR_R2	5	20.6
2	3	2-Sep-21	169017766	Kit 3	Mai	PCO_B3_R2	6	low
2	3	2-Sep-21	169017766	Kit 3	Mai	NCO_B3_R2	7	low
2	3	2-Sep-21	169017766	Kit 3	Mai	D09_NF_R2	8	332
2	3	2-Sep-21	169017766	Kit 3	Mai	D03_ZF_R2	9	13
2	3	2-Sep-21	169017766	Kit 3	Mai	D06_ZH_R2	10	11.4
2	3	2-Sep-21	169017766	Kit 3	Mai	D02_ZH_R2	11	35.4
2	3	2-Sep-21	169017766	Kit 3	Mai	D08_OR_R2	12	20.6
2	3	2-Sep-21	169017766	Kit 3	Mai	D01_NF_R2	13	260
2	3	2-Sep-21	169017766	Kit 3	Mai	D05_NF_R2	14	197.6
2	3	2-Sep-21	169017766	Kit 3	Mai	D06_OF_R2	15	12.7
2	3	2-Sep-21	169017766	Kit 3	Mai	D04_OR_R2	16	5.3
