feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroidales..environmental.samples	Kit	Omnigene	0.00402961522746716	0.000945171220373938	210	209	3.12818386213208e-05	0.00020104732237523
Christensenella	Temperature	Hot	0.00128659348900681	0.000302095648785609	210	209	3.18604082898193e-05	0.00020249059490863
Collinsella	Kit	Zymo	-0.564415188325336	0.13317316650682	210	209	3.46702473882721e-05	0.000217927269297711
Holdemania	Kit	Omnigene	-0.0103317243127554	0.00244650114411279	210	209	3.68756550378382e-05	0.000226805104103693
Anaeromassilibacillus	Kit	Omnigene	-0.00645601587705553	0.00152810404466246	210	209	3.66078026499701e-05	0.000226805104103693
unclassified.Muribaculaceae	Kit	Zymo	0.00160796948695271	0.000381654748938935	210	209	3.8390726260155e-05	0.000233611653412858
Alistipes	Kit	Omnigene	1.21139557954241	0.28813023210274	210	209	3.97889502100286e-05	0.000237075828334754
Gordonibacter	Kit	Zymo	-0.0250143868707725	0.00594922126431196	210	209	3.97381027582778e-05	0.000237075828334754
Clostridium	Temperature	Hot	0.514212462488029	0.123308742571746	210	209	4.56883373585245e-05	0.000269419886279134
Fusicatenibacter	Temperature	Room Temp	-0.153908121704483	0.0370651034410274	210	209	4.90694556850565e-05	0.000286405394406656
unclassified.Lachnospiraceae	Temperature	Hot	-0.639851906856072	0.154192302263708	210	209	4.95987003550288e-05	0.000286570268717944
unclassified.Coriobacteriaceae	Kit	Zymo	-0.0639999128166117	0.0154446376068311	210	206	5.07812862585968e-05	0.000290468957399174
Collinsella	Kit	Omnigene	-0.55042788170984	0.13317316650682	210	209	5.29953777832441e-05	0.000300132238534808
Gemmiger	Kit	Omnigene	-0.167572147022069	0.040992889753006	210	209	6.34919631105735e-05	0.000356052969600471
Anaerostipes	Temperature	Room Temp	-0.18998732725849	0.0468499263208758	210	209	7.22354786859712e-05	0.000401152367071607
Butyricicoccus	Temperature	Hot	-0.0842298577391383	0.0208770811850604	210	209	7.83614411380371e-05	0.000422856078593936
Faecalicatena	Kit	Omnigene	-0.00606591235573235	0.00150302978747959	210	209	7.79838450414882e-05	0.000422856078593936
Bacteroidales..environmental.samples	Kit	Zymo	0.00381788191208504	0.000945171220373938	210	209	7.68981912142881e-05	0.000422856078593936
Pseudoflavonifractor	Temperature	Room Temp	0.0076659684600061	0.00190192728145133	210	209	7.95805481588595e-05	0.000425421248101567
unclassified.Coriobacteriaceae	Kit	Omnigene	-0.0603914800800871	0.0154446376068311	210	206	0.000127035417908988	0.000672817213369825
Faecalicatena	Kit	Zymo	-0.00584324942552217	0.00150302978747959	210	209	0.000138492661378104	0.000726768828516291
Clostridioides	Kit	Zymo	-0.0321538161804134	0.0083620792102081	210	209	0.000162780869846652	0.000846460523202589
Blautia	Temperature	Room Temp	-1.18979860927373	0.310231373847089	210	209	0.000169060856438931	0.000871196485433049
unclassified.Coriobacteriia	Kit	Zymo	-0.0124798165299603	0.00326015772851947	210	209	0.000173737446219707	0.000887301957479218
unclassified.Prevotellaceae	Kit	Zymo	0.0145763286757854	0.00382276561946861	210	209	0.00018381427823127	0.000930458116356517
unclassified.Firmicutes.sensu.stricto..miscellaneous.	Temperature	Hot	0.127622423192848	0.0335347093189851	210	209	0.000188970662753025	0.00094309914167424
unclassified.Eubacteriaceae	Kit	Omnigene	-0.0140713389464529	0.00369832731329238	210	209	0.000189609093168772	0.00094309914167424
unclassified.Prevotellaceae	Kit	Omnigene	0.01442063904916	0.00382276561946861	210	209	0.000214154949750845	0.00105600544187486
Haemophilus	Kit	Omnigene	0.019680131132194	0.00523566506283728	210	188	0.000225171625661165	0.00110083905878792
Firmicutes..environmental.samples	Kit	Zymo	-0.332105385498954	0.0886374885488389	210	209	0.000235522397314497	0.00114168484121943
unclassified.Firmicutes.sensu.stricto..miscellaneous.	Temperature	Room Temp	0.125213613263598	0.0335347093189851	210	209	0.000247102920019273	0.00118775521219348
Bacillus	Kit	Zymo	-0.00231716000254178	0.000627524057662439	210	209	0.000287806079579747	0.00137187564599679
Parabacteroides	Kit	Omnigene	1.07186584528255	0.291037198012742	210	209	0.000298162167102977	0.00138784935977722
Lachnotalea	Kit	Omnigene	-0.00524650868407414	0.0014243309414179	210	209	0.000297536112115728	0.00138784935977722
Erysipelotrichaceae..environmental.samples	Temperature	Hot	0.00364864969870708	0.000990762960096407	210	209	0.000298436138553493	0.00138784935977722
Alistipes	Kit	Zymo	1.05633643499456	0.28813023210274	210	209	0.000317012766793666	0.00146234921456433
crAss.like.viruses	Temperature	Room Temp	0.0419679414496097	0.011496454717333	210	189	0.000335666740356265	0.00153601100387027
Streptococcus	Kit	Zymo	-0.147249372744941	0.040448788983068	210	209	0.000348264360525691	0.00158100963667218
Flavonifractor	Temperature	Room Temp	0.0392459210974854	0.0108090861861566	210	209	0.000360575584372179	0.00162400971858966
unclassified.Bacteroidales..miscellaneous.	Kit	Zymo	0.017923185941461	0.00494681146131776	210	209	0.000370714137126456	0.00165662880028385
Lachnospiraceae..environmental.samples	Kit	Zymo	-0.0198105641681596	0.00547581511681266	210	209	0.000377966329722359	0.00167594372559062
unclassified.Sutterellaceae	Temperature	Room Temp	0.00619444498376452	0.00171903828214277	210	207	0.000398144652752445	0.00175183647211076
Anaerotruncus	Temperature	Hot	0.00492941701484844	0.0013846190801302	210	209	0.000465155314232365	0.00203105984535048
Lachnotalea	Kit	Zymo	-0.00504562370695266	0.0014243309414179	210	209	0.000495433898674763	0.00214688022759064
Eisenbergiella	Kit	Zymo	-0.0221808355372376	0.00628145454772649	210	209	0.00051573470259918	0.00221804699162956
Clostridioides	Kit	Omnigene	-0.0292351786781277	0.0083620792102081	210	209	0.000583750929238843	0.00248384629891156
unclassified.Bacteroidales..miscellaneous.	Kit	Omnigene	0.0172889230731337	0.00494681146131776	210	209	0.000586222465652203	0.00248384629891156
Neglecta	Kit	Omnigene	-0.0144736013661949	0.0041531045901639	210	209	0.000607136684558866	0.00255354546740935
Intestinibacter	Temperature	Hot	-0.00929753714848408	0.00267232490134408	210	119	0.000619671299922044	0.0025872407558789
Guerin_crAss_Delta	Temperature	Hot	0.0329979326067143	0.00953754123979329	210	106	0.000663277000223385	0.00274923510237519
Shinella	Temperature	Hot	-0.00381001591011353	0.00110217923660142	210	135	0.000670252873098494	0.00275816290224704
Parasutterella	Kit	Zymo	0.0128816070975624	0.00374410804942898	210	148	0.00070948288399016	0.00289874435458837
unclassified.Oscillospiraceae	Temperature	Room Temp	0.08862687157816	0.0258598868971464	210	209	0.00074308693535069	0.00301450870227372
Paraprevotella	Kit	Zymo	0.0162860350521179	0.00478400820869224	210	209	0.000804512282341745	0.00321804912936698
unclassified.Peptococcaceae	Kit	Zymo	0.00147878718007561	0.000434134068794702	210	209	0.000798899883309752	0.00321804912936698
Porphyromonas	Temperature	Hot	0.00290574443055555	0.000855561720089341	210	199	0.000826940079397978	0.00328478975983086
Phascolarctobacterium	Temperature	Hot	0.0784030500157037	0.02310009205404	210	207	0.000833358114610744	0.00328745407970583
Enterorhabdus	Temperature	Hot	-0.0066749116345287	0.00197588866326415	210	188	0.000880148408679541	0.00344825266962122
Selenomonas	Kit	Omnigene	-0.00166004589526461	0.00049216248131595	210	209	0.000896058438868065	0.00348670358525533
unclassified.Oscillospiraceae	Kit	Zymo	0.112005782316634	0.0333849704291518	210	209	0.000952973441760804	0.00368311357221067
Eubacterium	Kit	Zymo	-0.340030359381582	0.101412743506149	210	209	0.000959640681637961	0.00368398973085177
Collinsella	Temperature	Hot	-0.342335082540411	0.103155491208524	210	209	0.00107841827166291	0.0041123683426079
Coriobacteriaceae..environmental.samples	Kit	Omnigene	-0.00574546020489241	0.00174094212410632	210	209	0.00114775793517169	0.00434779827098149
Atopobium	Kit	Omnigene	-0.00182908661501544	0.00055526500866162	210	209	0.00117169907414634	0.00440928862112965
unclassified.Christensenellaceae	Temperature	Hot	0.00294642698598078	0.000895637091429194	210	209	0.00118888203363744	0.00444470930222625
Guerin_crAss_Alpha	Temperature	Hot	0.0254547605060617	0.00775692132108209	210	104	0.00122212329456909	0.00453931509411376
unclassified.Porphyromonadaceae	Kit	Omnigene	0.00199742383626825	0.000614728983902722	210	209	0.00136154514268791	0.00502454078462893
Carnobacterium	Kit	Omnigene	-0.0100419222319671	0.00309842592038674	210	209	0.00139971229771106	0.00513227842494055
Lactococcus	Kit	Zymo	-0.00248713790701188	0.000770510761760414	210	209	0.00146182072250839	0.00532586912913886
Odoribacter	Kit	Omnigene	0.0904012612231702	0.0282890395794606	210	209	0.00162637883480793	0.00588790312348189
