Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Chlamydiae	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D06-OF-R3	-1.6001	-2.7924	1.5219	-5.1156	-5.2318	-6.6143	8.0808	3.7107	8.041
D06-OR-R1	-0.7019	-1.2059	1.2146	-2.8667	-7.5692	-6.8268	6.6731	3.8769	7.4058
D06-OR-R2	-0.4656	-0.3464	1.5157	-5.694	-1.4523	-8.2564	5.6492	2.5132	6.5366
D06-OR-R3	0.1908	-2.2858	1.1556	-4.145	-7.1352	-6.5972	7.1655	3.8435	7.8077
D06-ZF-R1	-0.9443	-2.6167	1.5659	-3.9527	-8.942	-5.6542	8.6991	4.2886	7.5563
D06-ZF-R2	-0.2456	-2.3314	1.3546	-4.0157	-7.9291	-5.9139	8.4603	3.8311	6.7897
D06-ZF-R3	-1.2305	-3.7896	1.1252	-3.0782	-5.9522	-6.4061	8.6497	3.3038	7.3781
D06-ZH-R1	-0.6691	-1.0915	2.584	-2.4437	-7.5824	-8.8073	6.7127	1.8053	9.492
D06-ZH-R2	0.7468	-0.3279	2.4895	-4.8497	-4.7441	-9.6219	6.2273	1.3479	8.7322
D06-ZH-R3	0.0093	1.0443	2.3596	-4.7455	-6.9149	-8.5937	6.2433	2.1338	8.4637
D06-ZR-R1	-0.8622	-2.0411	1.9238	-4.2485	-9.3256	-5.9783	7.8509	4.2446	8.4365
D06-ZR-R2	-1.1201	-2.3875	1.1645	-4.9321	-5.113	-6.3401	7.6108	3.8328	7.2848
D06-ZR-R3	-0.8333	-1.8905	2.0668	-4.1869	-9.6471	-5.5607	7.7182	3.9171	8.4164
D07-NF-R1	-1.3847	-2.4198	3.7511	-5.2986	-8.1403	-0.8092	6.6752	1.578	6.0484
D07-NF-R2	-0.7851	-2.4832	3.0524	-5.5491	-5.0542	-2.2577	6.2977	1.1719	5.6072
D07-NF-R3	-0.7068	-3.1236	3.5632	-5.1567	-6.6945	-2.5334	6.8861	1.3291	6.4367
D07-OF-R1	-2.042	-4.7496	6.1374	-5.8429	-6.4423	1.1703	5.6242	0.3088	5.836
D07-OF-R2	-1.3915	-4.0226	5.6723	-5.488	-9.0709	0.9234	6.4253	1.3924	5.5597
D07-OF-R3	-1.9592	-2.8066	5.0861	-6.4386	-3.8064	-0.1911	5.0139	-0.1382	5.24
D07-OR-R1	-0.0488	-0.1908	3.4959	-7.1836	-7.9694	-0.9881	5.4529	2.7608	4.671
D07-OR-R2	0.2523	-0.7943	2.3937	-5.8364	-4.6186	-1.4903	4.9319	1.1159	4.0458
D07-OR-R3	-0.4326	0.5146	2.3601	-6.0506	-5.8985	-1.3132	4.551	1.5287	4.7405
D07-ZF-R1	-2.0001	-4.6052	6.2924	-5.4159	-9.5249	1.5135	6.8127	0.9622	5.9654
D07-ZF-R2	-2.1471	-4.4414	6.5028	-6.2717	-7.0763	1.0718	6.6974	0.7277	4.9369
D07-ZF-R3	-1.7858	-5.0691	5.9547	-6.0549	-6.9419	0.6302	6.9428	0.6592	5.6647
D07-ZH-R1	-1.3518	-2.0717	5.9411	-7.1133	-7.5898	0.5139	4.969	0.5586	6.144
D07-ZH-R2	-0.5641	-2.3918	5.1658	-7.1184	-5.2016	0.248	4.7096	-0.4397	5.5922
D07-ZH-R3	-0.861	-3.3644	5.7019	-6.5062	-6.3262	0.7419	5.1148	-1.1483	6.6475
D07-ZR-R1	-0.9673	-5.1814	8.2218	-6.5251	-11.5907	2.8214	6.0379	0.698	6.4853
D07-ZR-R2	-1.2605	-3.9104	6.7139	-6.2614	-8.7504	1.1249	6.4166	0.3033	5.6239
D07-ZR-R3	-1.0884	-4.8507	7.4405	-7.1509	-8.4141	2.0163	6.4458	-0.1368	5.7382
D08-NF-R1	-0.2254	-0.7623	2.6126	-5.0012	-4.1054	-7.2877	6.9863	2.776	5.007
D08-NF-R2	-0.5209	-1.2748	3.9846	-4.2821	-6.4204	-7.1923	7.4821	2.7685	5.4554
D08-NF-R3	0.4708	-1.8259	3.4583	-3.9077	-7.2864	-6.967	7.571	2.5371	5.9497
D08-OF-R1	-0.7351	-2.5981	2.6811	-3.794	-7.6964	-6.5973	7.7455	2.7892	8.205
D08-OF-R2	-1.2192	-2.3107	2.5629	-4.6291	-3.9252	-7.6639	7.1023	2.0979	7.985
D08-OF-R3	-0.3563	-2.8018	3.1266	-3.867	-8.7047	-7.0282	8.0554	3.4831	8.093
D08-OR-R1	-0.0097	0.0191	4.1241	-4.6867	-7.52	-7.3259	6.2945	2.8163	6.2883
D08-OR-R2	-0.186	0.1128	3.059	-5.2698	-2.1721	-7.8859	4.9353	2.0143	5.3925
D08-OR-R3	0.6795	2.248	3.8022	-4.2494	-6.6209	-10.4544	5.1882	3.1295	6.2772
D08-ZF-R1	-1.0021	-2.9224	3.1513	-3.5015	-7.8042	-7.1581	8.1569	2.9461	8.1339
D08-ZF-R2	-1.0261	-2.7652	2.6359	-3.529	-6.9589	-6.5605	8.1888	2.7564	7.2586
D08-ZF-R3	-1.3398	-1.8637	3.011	-3.8958	-6.9402	-7.1407	7.2945	1.8444	9.0303
D08-ZH-R1	0.0421	0.4294	3.8614	-4.5867	-7.2646	-8.7702	5.6583	2.6345	7.9957
D08-ZH-R2	1.4773	-0.2078	3.4502	-4.4397	-2.9465	-10.8622	4.8893	1.1794	7.4601
D08-ZH-R3	-1.1386	-1.2209	4.1325	-3.6363	-4.543	-9.1956	6.3072	0.6196	8.6752
D08-ZR-R1	-1.3252	-3.2888	4.0675	-3.3687	-6.9531	-6.9019	7.6704	2.2885	7.8113
D08-ZR-R2	-0.8188	-3.0762	4.7869	-3.5877	-5.764	-7.6184	6.8458	0.9582	8.2743
D08-ZR-R3	-1.3645	-2.37	3.2463	-3.9282	-5.3325	-7.3988	6.7762	1.9942	8.3773
D09-NF-R1	-1.7915	-3.0375	3.0441	-5.3966	-6.8592	-0.8863	6.7717	2.6372	5.5182
D09-NF-R2	-1.0565	-2.928	2.9979	-5.3904	-7.2494	-0.9635	6.7769	2.5724	5.2407
D09-NF-R3	-0.0511	-2.3052	1.947	-5.8076	-4.2668	-2.2098	6.4126	1.7001	4.5807
D09-OF-R1	-2.0603	-3.9528	5.0035	-5.8576	-5.9971	-0.3515	5.529	1.3822	6.3045
D09-OF-R2	-2.3164	-3.202	4.746	-6.7099	-5.9892	-0.6614	5.5699	2.4728	6.0902
