uncultured human fecal virus	Pepper mild mottle virus	Tobacco mild green mosaic virus	Tomato mosaic virus	Paprika mild mottle virus	Tomato brown rugose fruit virus	Malassezia globosa	Malassezia restricta	Azospirillum sp. 51_20	Pelomonas saccharophila	Sutterella wadsworthensis	Sutterella parvirubra	Proteobacteria bacterium CAG:139	Desulfovibrio piger	Bilophila wadsworthia	Bilophila sp. 4_1_30	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Firmicutes bacterium CAG:103	Firmicutes bacterium CAG:114	Firmicutes bacterium CAG:137	Firmicutes bacterium CAG:240	Firmicutes bacterium CAG:424	Weissella jogaejeotgali	Clostridium phoceensis	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. CAG:343	Clostridium sp. 44_14	Clostridium sp. OM05-6BH	Clostridium sp. BIOML-A1	Clostridiaceae bacterium	Butyricicoccus sp. N15.MGS-46	Butyricicoccus sp. AM42-5AC	Butyricicoccus sp. BIOML-A1	uncultured Clostridiales bacterium	Roseburia intestinalis	Roseburia inulinivorans	Roseburia sp. AM16-25	Coprococcus catus	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	uncultured Lachnospiraceae bacterium	Blautia obeum	uncultured Blautia sp.	[Clostridium] bolteae	Murimonas intestini	Eubacterium ventriosum	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	Eubacterium sp. CAG:86	uncultured Oscillibacter sp.	Oscillibacter sp. 57_20	Oscillibacter sp. CAG:241_62_21	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus bromii	uncultured Ruminococcus sp.	Ruminococcus sp. CAG:403	Ruminococcus sp.	Ruminococcus sp. Marseille-P328	Ruminococcus sp. AM28-13	Ruminococcus sp. TF12-19AC	Gemmiger formicilis	Faecalibacterium prausnitzii	uncultured Faecalibacterium sp.	Faecalibacterium sp. CAG:82-related_59_9	Faecalibacterium sp. BIOML-A1	Anaerotruncus colihominis	Subdoligranulum sp. CAG:314	Subdoligranulum sp. 60_17	[Eubacterium] siraeum	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA1417	Ruminococcaceae bacterium UBA1691	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Anaeromassilibacillus sp. Marseille-P3371	Neglecta timonensis	Clostridiales bacterium	Clostridiales bacterium UBA5901	Clostridiales bacterium UBA5909	Clostridiales bacterium UBA738	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Intestinimonas butyriciproducens	Clostridia bacterium	Candidatus Borkfalkia ceftriaxoniphila	Megamonas funiformis	Megamonas sp. Calf98-2	Megasphaera massiliensis	Dialister sp.	Peptoniphilus coxii	Firmicutes bacterium CAG:110_56_8	Firmicutes bacterium CAG:129_59_24	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Cutibacterium acnes	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Collinsella bouchesdurhonensis	Collinsella sp. UBA6357	Parolsenella catena	Enterorhabdus caecimuris	Eggerthellales bacterium	Coriobacteriia bacterium	Bacteroides fragilis	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides plebeius	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides xylanisolvens	Bacteroides oleiciplenus	Bacteroides sartorii	Bacteroides mediterraneensis	Bacteroides sp. CAG:144	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes sp. CAG:157	Alistipes finegoldii CAG:68	Alistipes sp.	Alistipes sp. 56_11	Alistipes sp. 3BBH6	Alistipes sp. 5CBH24	Rikenellaceae bacterium	Prevotella copri	Prevotella sp. CAG:520	Prevotella sp.	Prevotella sp. AM23-5	uncultured Prevotellaceae bacterium	Paraprevotella clara	Odoribacter splanchnicus	Butyricimonas virosa	Butyricimonas paravirosa	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis	Methanococcus voltae
D05-ZR-R3	-6.657	-10.1493	-10.204	-8.2281	-10.023	-3.5446	-5.6906	-1.5163	1.1492	-0.9108	10.1272	-3.1779	-0.957	4.7842	4.233	-1.0181	3.517	-3.173	11.0863	6.7398	-3.2521	5.9153	-2.4174	-3.5046	-1.7395	-7.1416	4.7731	-3.8533	1.3853	-1.648	-7.0933	-7.4261	-4.3635	-6.7019	1.9486	2.1745	-3.4427	1.5514	7.3025	-0.3613	1.567	-3.0221	2.1947	-1.5388	4.3192	-0.2595	4.901	-0.3511	1.3571	1.5055	1.6194	2.21	-10.105	6.4582	-5.5276	1.9199	3.4454	-0.2899	5.6784	-2.4979	4.0429	-4.3266	6.192	0.1675	3.0576	-0.0709	0.6377	-5.968	5.7441	6.0782	1.2886	0.7188	1.3462	1.7479	-4.6588	0.7075	-0.9974	7.8495	6.1243	-0.0864	-1.6652	4.1794	5.8105	7.5716	7.1628	1.7835	-2.6607	-2.0185	-0.4001	0.1428	0.6311	1.5564	7.1935	-9.9378	-10.3399	7.5236	6.3114	-6.1893	-0.9819	3.2092	1.7453	-3.356	0.3934	3.6101	-3.4224	1.0417	1.5464	-2.1197	3.0847	5.396	-3.7206	0.6052	-3.0166	-2.7162	0.3953	4.3518	3.8829	5.3517	-0.0958	5.0737	7.7906	-1.4513	-2.3389	-1.4352	-10.3202	2.1995	1.1609	-0.313	0.7693	-4.3728	-3.8542	-6.3091	-5.6115	1.0689	-4.7984	-3.132	-0.1739	1.2506	4.1008	0.8363	6.1971	3.8347	6.4867	3.7329	2.7418	6.9654	-1.9768	-0.1158	4.78	-4.3652	-9.3344	-4.3856	-6.8384	1.1737	-6.2582	2.4672	-6.2233	-7.4985	5.2975	7.5339	0.8247	-8.6901
D06-NF-R1	1.4753	-2.577	1.5743	3.7816	-9.0529	2.4221	-2.789	1.8669	-5.3655	0.4759	-0.9161	-1.6343	-3.0677	-4.2093	-3.446	-5.8429	-2.9051	-4.3824	5.2177	-0.0719	6.5537	7.3308	-2.4201	-6.1862	-3.9848	1.5906	5.8143	-2.1727	2.6466	-1.8115	-9.0739	-3.1397	0.5826	-3.331	2.4422	2.9734	0.7781	4.5867	6.5415	-1.4398	5.7709	-3.5249	5.2673	3.5404	6.1132	2.1562	3.348	3.5158	2.7229	0.982	-2.2209	5.2513	-8.9266	-5.7199	3.8434	5.2639	2.5982	-1.3609	6.5072	-1.089	-0.9092	-3.35	5.2665	5.933	3.3394	-0.9131	-0.9454	-4.19	6.0002	10.7373	6.3125	3.4564	6.1546	6.2932	0.4823	2.4729	-4.1517	6.5165	-0.2653	4.3707	-3.4857	5.6044	0.9048	0.5801	7.8812	-1.2207	-3.7852	-3.5193	4.6162	0.488	5.9291	-0.0665	-0.6253	-7.9055	-8.8981	-4.115	3.8874	-9.1932	5.257	3.8222	9.9435	1.8781	6.8822	10.0299	0.5174	4.014	6.9071	-1.505	-0.694	1.9069	7.6568	-2.3526	-6.0657	-2.7674	-1.9609	1.4664	3.4363	4.8497	8.5281	2.4573	-0.3797	2.0715	-0.5527	-2.401	-8.9134	-0.6464	-1.2872	-1.1137	0.071	-4.8836	-6.8011	-5.4951	-8.9286	0.0807	-4.852	-4.5757	-5.114	7.113	0.1812	2.3026	-4.0569	-1.9777	-5.1416	-3.6932	3.2198	-3.4284	4.4688	-1.9738	-0.2315	-5.8756	-8.951	-3.2553	-9.0212	-0.614	-4.7523	-2.3255	-4.8123	-9.2017	-2.6183	-2.993	-6.4609	1.0522
D06-NF-R2	3.9192	0.3037	3.397	6.0718	-3.6607	1.9213	-0.2935	4.7518	-0.0483	2.5751	-0.7109	-2.8065	-5.4709	-3.5321	-4.4415	-4.3819	-2.6555	-4.0128	5.2066	-0.6149	6.7745	6.386	-2.6638	-4.3897	-4.0505	2.1345	5.3145	-1.911	2.279	-2.7673	-6.8448	-4.3313	-2.488	-3.4553	1.7673	3.2357	0.8668	4.6561	5.6356	-1.8992	6.3869	-4.0508	5.6633	2.5459	6.7162	1.5836	3.848	3.826	2.7315	1.0345	-1.8482	4.9389	-4.6422	-5.4704	3.6251	5.3989	2.2749	-1.4321	6.2425	-1.9376	-1.7509	-5.0091	5.5516	6.6601	4.4036	-1.5883	-2.0886	-5.9059	5.3088	9.9422	5.6287	2.6694	4.9806	6.1493	-7.0112	1.8484	-3.4264	6.1546	-1.6823	3.824	-3.5258	5.4413	1.3157	0.0675	8.0117	-1.1599	-5.4442	-2.8752	4.84	-0.3833	6.6068	-0.5167	-1.9585	-5.9845	-4.9754	-5.4555	1.5974	-4.9228	5.8465	3.6851	5.556	1.056	1.4282	7.5067	2.1439	1.7456	4.6365	-2.6212	-2.4282	-0.4453	4.8451	-2.7477	-6.9489	-2.7613	-1.6055	1.812	3.6369	4.0827	7.8161	2.3185	-0.5881	2.8703	-1.6879	-0.9447	-7.0905	-1.5951	-2.5564	-0.4965	0.0579	-3.0925	-5.3351	-7.1604	-7.1367	1.91	-7.0335	-3.4869	-4.1418	7.3994	-0.2263	1.8621	-2.692	-1.8053	-6.0223	-4.4387	3.6804	-6.8849	3.8603	-2.017	-0.8524	-0.7627	-6.8156	-1.7246	-5.0159	-1.2512	-4.769	-4.401	-1.9108	-6.8318	-3.1563	-3.4283	-5.4212	0.0374
D06-NF-R3	4.4613	0.8977	4.0404	6.6064	-6.2128	0.617	-2.4224	1.2997	-5.0548	2.424	-0.1262	-1.6836	-6.6726	-3.8074	-8.012	-8.1607	-3.8908	-3.9754	5.9504	0.552	7.2939	7.0988	-2.9543	-6.196	-2.7006	-2.5999	6.7208	-0.9303	3.2977	-5.165	-8.1714	-3.01	-0.0905	-3.4733	2.6945	3.7823	1.9728	5.2319	6.9033	-2.1025	6.9235	-3.5619	6.2819	2.8302	6.5087	2.2135	3.9582	3.4867	4.1625	1.2949	-2.5649	5.508	-8.2403	-8.2289	3.9995	6.7266	3.5454	-0.0362	7.56	-0.3409	-0.3988	-3.729	5.9227	7.1777	4.1071	-0.6664	-0.5559	-8.2563	5.7198	10.8781	6.6031	3.9832	6.1293	6.9762	-6.4874	2.7579	-3.2664	6.9491	-0.2744	5.2775	-3.6137	6.8145	1.6211	1.0597	8.8586	-0.6135	-3.0767	-2.7636	5.2289	1.7425	7.5287	0.4292	-0.8476	-8.1698	-8.2525	-5.8483	3.5217	-8.3249	6.433	5.0518	6.0884	-1.7994	2.0994	8.3543	-0.7439	2.7335	5.5064	-1.8953	-2.3784	0.5384	5.8907	-3.4128	-8.3126	-2.5402	-0.8672	3.4228	4.5041	5.3142	8.5515	3.2979	-0.6593	4.3205	0.3076	-1.3809	-8.196	-2.8364	-3.506	-0.4731	0.2226	-5.2107	-5.5673	-8.2352	-8.1512	0.8565	-7.2261	-4.8812	-3.9101	9.5868	1.1452	3.4797	-2.6814	-0.2173	-7.9269	-3.8533	5.8898	-6.1698	5.4527	-0.9142	1.2962	-8.0123	-4.2395	-4.9134	-8.1775	0.2553	-6.4884	-7.2748	-1.0969	-8.3162	-1.5637	-1.8505	-8.1493	-7.171
D06-OF-R1	5.2807	2.411	0.0418	-3.357	-4.9404	4.3687	1.9072	6.4429	-3.2008	5.3122	2.9166	-6.9296	1.7735	-7.0597	3.3973	-2.3503	4.6342	-5.3045	1.0684	0.3548	4.2074	3.4502	-0.1235	-6.991	-7.1744	6.4299	2.9003	0.134	-6.6904	2.3852	-7.2371	-6.7317	0.987	-6.8801	2.3313	-4.5874	-6.8301	0.3641	2.4424	2.2912	3.0586	-0.4888	1.7252	4.0179	5.4705	3.7843	0.5966	3.4693	3.1757	0.0655	-4.2941	0.8674	-3.7773	-3.1622	0.3062	2.3346	3.321	-2.1984	3.6777	-2.0829	-1.1916	1.2549	5.1739	-6.7665	2.9363	2.1705	1.5834	-5.9121	3.3976	8.0842	2.9422	-0.5018	2.6211	-1.3734	2.2248	-1.3824	-2.3695	6.5439	0.5716	-5.2099	-6.9263	4.4454	0.1792	-5.9427	4.9824	0.6664	-5.4966	-7.2879	4.9376	-1.1817	0.7358	1.8041	1.219	-6.0201	1.1369	-2.2926	2.9621	-3.7818	-3.6172	0.6201	1.0208	3.0937	0.8235	5.3279	4.8912	-1.5592	-0.4	-6.917	-6.1824	-2.7569	-2.6321	0.1859	2.5488	0.734	-1.8048	3.1995	4.4342	4.607	6.7468	4.2814	0.6808	4.2008	5.0123	0.772	-6.8075	3.4494	3.7344	3.9246	-1.6751	-2.5232	-5.4839	0.1119	-5.9085	0.1934	-3.7671	-3.9222	1.2571	7.5097	1.8292	4.6803	-4.3744	0.2399	-5.8994	-0.7252	4.3586	-1.8431	5.2292	-1.912	2.8828	2.5171	-6.7225	1.4168	-6.8325	-0.3459	-1.6532	1.0553	-5.0437	-7.0396	1.312	-0.9032	-4.3487	4.4711
D06-OF-R2	0.736	-3.3445	0.3747	0.6935	-7.1659	-2.507	-4.9002	1.5244	-5.11	0.1786	1.6422	0.8601	-2.8343	-5.0738	-5.4614	-5.848	-2.971	-5.7127	3.312	-1.6836	7.2803	3.8465	-4.1573	-6.223	-3.2377	-1.6617	4.496	-2.6664	2.3856	-4.4595	-9.0188	-2.4093	1.0604	-4.0249	1.8046	1.6599	-0.51	3.1669	4.5015	-2.1314	5.851	-3.3804	3.1269	3.8358	5.5723	2.8996	2.8949	4.1424	1.1415	-0.4456	-2.5823	4.2655	-9.1738	-8.9922	5.1042	3.2997	1.359	-2.4928	6.1861	-3.2782	-2.0258	-4.9907	5.4803	2.5816	5.0171	-1.0715	4.133	-9.2326	5.5483	10.69	5.848	3.546	4.8187	3.8731	-4.4338	2.6038	-4.0051	5.4407	-1.0725	3.7621	-3.7635	6.0847	-0.3196	-0.9998	8.5451	-1.4482	-4.4193	-2.3415	5.209	-1.7564	4.1392	0.073	-1.8329	-8.1824	-7.365	-6.0599	4.5786	-9.0325	3.2114	3.7354	4.9902	-1.5775	2.3734	7.1328	-0.9801	1.7368	4.2652	-3.627	-1.5363	-0.4899	3.2506	-2.0584	-4.6694	-5.034	1.2793	3.5926	6.1432	8.6432	11.6057	7.1418	1.1827	5.1701	0.4321	1.2147	-5.013	0.6974	0.7833	1.0281	3.481	-1.496	-2.3664	-3.1403	-2.8662	2.5092	-1.6882	-0.7948	0.0181	9.7668	2.7268	3.0044	-2.484	-0.1084	-4.6695	-2.9383	5.9467	-6.0184	5.8069	-0.4136	1.0187	-3.3701	-6.5791	-0.535	-7.6524	0.6528	-2.7689	-3.1485	-0.3848	-7.2322	0.7626	-0.7573	-4.7156	-7.5538
D06-OF-R3	3.3875	-0.4028	3.5037	5.8577	-5.0802	0.9354	-3.9687	1.1812	-7.8621	-2.2283	1.7931	0.8208	-2.6048	-4.5943	-6.7748	-7.8626	-2.6017	-5.9941	4.0983	-0.8849	8.2645	5.1607	-3.4523	-6.1517	-3.8948	-2.8526	5.0772	-1.3849	2.9292	-5.3349	-10.3797	-3.8329	0.7409	-3.3012	2.1913	1.2969	-0.5403	3.2108	5.633	-2.2384	6.0277	-3.762	3.1944	2.544	6.2547	1.7486	3.2193	3.5554	2.0809	0.0854	-2.6399	4.8561	-10.1753	-7.6264	5.1108	4.8198	2.6812	-1.6939	7.4275	-1.9211	-0.9155	-5.8038	4.9797	4.0796	3.9764	-2.4257	2.2101	-10.0553	5.2323	10.5978	5.7017	3.0107	5.2684	5.6285	-4.404	1.7632	-3.7989	5.9959	-0.9413	4.8431	-3.5539	5.3269	0.8586	-0.1805	9.3032	-0.7979	-3.4441	-1.1571	6.1291	-0.0198	6.0317	0.9713	-0.789	-10.2719	-10.2548	-4.7702	3.7616	-6.9223	4.8524	4.484	4.6753	-2.802	1.3184	6.5996	-1.8698	1.7774	4.2195	-2.7468	-2.3306	-0.8317	3.9379	-1.7928	-6.1617	-3.5134	0.9848	4.1445	5.7057	7.4128	10.4702	6.3851	1.2553	4.73	0.2229	0.695	-5.83	-0.0407	-0.5635	0.8503	2.3265	-3.0018	-3.5562	-5.5005	-4.6673	3.1606	-3.5991	-2.0867	-2.1796	10.0907	3.6201	3.8808	-2.6399	0.0592	-5.9307	-2.1807	5.7211	-5.7891	7.1871	-0.3861	1.6706	-4.9478	-6.9334	-1.4211	-8.1313	0.1013	-4.5409	-4.1176	-0.7797	-10.0116	0.1815	-1.7543	-5.1409	-7.7508
D06-OR-R1	5.3741	1.8769	4.7498	2.0568	-2.6031	-1.7488	-1.2078	2.9753	-6.9197	1.4499	0.5882	-0.4762	-2.6785	-5.3195	-0.4137	-3.7829	0.8143	-4.8794	4.6452	-0.7665	7.6027	4.1896	-2.8388	-7.7458	-6.1416	3.0023	5.0191	-3.0339	0.3781	-0.7591	-8.1653	-4.545	1.5483	-5.2875	1.2724	2.3373	0.4788	3.4456	5.0157	-1.2934	3.1511	-4.3164	3.3662	1.6976	5.1137	0.9993	2.2284	1.8663	1.9856	-0.732	-4.6263	2.0579	-9.7875	-9.7126	0.7749	4.2727	2.5788	-0.8322	6.6368	-2.4968	-1.2316	-3.2381	3.5048	2.1913	2.1844	-0.7746	-0.8344	-3.4134	4.1246	7.3673	3.0668	1.2488	2.4581	2.6644	-2.471	1.9572	-8.686	5.4108	-0.6785	3.0413	-8.1151	4.8737	-0.7015	0.1731	8.4001	-1.5697	-2.5288	-2.4256	5.4844	-1.7361	3.883	-2.0956	-2.4797	-6.1586	-6.2547	-7.0331	1.9973	-3.8686	2.8479	4.6313	5.3464	0.9777	3.9148	7.0803	0.6202	1.1175	3.7489	-3.2946	-2.2074	-1.0446	3.2566	-2.667	-1.2441	-2.9844	-0.7681	4.9653	6.8876	6.7482	9.0076	5.4606	-0.4397	5.1903	1.4011	-1.0993	-3.7721	0.6087	0.3738	0.7898	0.8088	-3.3448	-4.7424	-1.6808	-6.104	1.8724	-5.7726	-1.3643	-2.7543	9.2504	1.9399	5.2063	-2.3659	0.5992	-3.2725	-1.1026	5.725	-2.4172	6.8117	-0.3032	2.7598	-3.2583	-7.491	-2.3971	-7.4863	1.293	-5.0447	-2.9771	-0.9356	-9.7647	0.2091	-2.5874	-5.6436	0.7053
D06-OR-R2	6.2253	2.6436	5.6532	4.5339	-1.7906	1.8872	0.0124	5.0429	-1.659	2.7126	0.6244	-0.7551	-5.0571	-5.6945	-4.8856	-5.9332	-3.6561	-5.8827	4.1255	-0.4141	6.9389	4.0358	-2.7184	-5.8782	-4.2673	2.6609	4.6553	-3.0841	-0.3954	-3.6271	-5.6905	-4.269	2.5137	-5.0106	0.3904	2.1332	0.2576	3.3879	4.3101	-4.253	3.8904	-5.9034	3.0692	2.2839	5.6437	0.7677	1.683	2.0478	1.2414	-0.5491	-4.3128	2.5263	-4.961	-4.6851	2.2367	3.5738	1.9023	-1.9205	6.0065	-2.3518	-2.0822	-5.8476	3.5285	1.7012	2.5749	-5.8274	1.1116	-5.9627	3.8952	7.0972	2.326	0.5683	2.1023	2.0399	-2.1436	1.2148	-5.9037	5.0718	-0.7871	2.4954	-5.8325	4.6947	-1.6207	-0.4966	7.7585	-1.283	-2.5951	-2.5037	4.8303	-2.1987	3.5543	-2.6094	-5.7705	-6.0825	-3.8411	-5.9823	2.7492	-4.4718	2.4144	4.0985	3.3673	1.0636	1.2692	5.8246	2.033	1.1078	3.4939	-3.5588	-1.6093	-2.0757	3.5986	-3.8519	-5.7239	-4.434	0.4896	4.4012	6.6079	6.8144	8.8686	5.4878	0.3545	4.754	0.2736	-0.0497	-2.8625	0.3232	-0.066	0.4741	1.6779	-2.3141	-5.7793	-3.6173	-2.6189	2.5267	-2.9405	-1.5198	-3.0068	9.2585	1.5309	5.1839	-1.0183	1.4695	-5.8331	0.0259	5.6637	-3.94	6.7471	0.2867	2.5399	-0.1992	-5.797	-1.0431	-5.9113	1.2536	-5.8615	-4.3155	-0.3257	-5.9694	-0.2693	-2.8013	-3.5251	0.0705
D06-OR-R3	7.5425	4.1548	5.6983	4.2514	-0.8745	-0.2379	-3.5677	0.1745	-3.9364	0.7031	0.7344	-0.1304	-4.7891	-3.6514	-5.4235	-9.7064	-1.7966	-5.2087	5.4444	-0.4535	8.033	6.0567	-3.5613	-6.4589	-4.0079	-4.6328	5.4495	-4.4431	1.0982	-5.7088	-8.0891	-3.5843	0.5744	-4.1297	1.5794	3.1608	1.6965	4.8837	5.5342	-4.167	5.2812	-4.1372	4.0876	2.1921	5.2097	1.9957	2.6886	3.3704	2.0529	0.219	-3.2655	3.5972	-9.6144	-8.0423	2.1747	4.6458	2.8678	-0.715	7.1216	-0.9873	-0.5897	-8.6807	3.9828	2.2414	2.362	-1.2437	-0.8395	-9.6598	5.1178	7.8152	3.3602	1.5151	2.7283	3.5158	-6.3237	2.8595	-5.4137	6.2863	-0.5043	3.5631	-3.7078	5.7356	-0.7391	1.0101	8.868	-1.1328	-2.2609	-1.5293	5.9685	-0.8554	4.6965	-0.3885	-3.4486	-10.0173	-9.5529	-4.7691	3.047	-6.3012	3.4255	5.0455	4.8487	-2.1165	1.9043	7.0705	-2.3597	2.4232	4.8934	-2.6698	-1.6668	0.1679	4.622	-2.5692	-5.4896	-3.6844	-0.1853	4.9167	7.1496	7.5672	9.3876	5.7528	-0.451	5.4327	0.4372	-0.3909	-2.9794	0.1172	-0.3992	0.092	1.5377	-2.9338	-3.8516	-5.3073	-4.4493	1.9048	-4.0695	-1.155	-2.8851	10.1923	2.3631	5.7556	-1.0617	1.3181	-5.1491	-1.264	6.6243	-5.1014	7.4079	0.222	3.1055	-3.1362	-5.9542	-2.6433	-6.2737	1.9229	-5.1078	-4.0425	0.1534	-9.5152	0.1811	-2.0848	-5.3622	-7.3019
D06-ZF-R1	2.2723	-1.5975	0.7687	2.6197	-7.0611	-2.8229	-4.3668	-0.4012	-6.5291	-1.7285	0.4429	-0.1245	-3.9391	-4.8889	-8.687	-6.8816	-1.6321	-4.9613	5.8352	-0.0519	8.6497	7.1921	-2.1211	-4.618	-2.9971	-0.8229	4.3998	-1.4965	1.4127	-4.2736	-10.1354	-2.2287	0.4847	-1.4169	2.7282	2.8181	0.528	4.5701	6.1737	-1.8459	4.3419	-3.2599	5.4151	4.3728	6.18	3.1599	3.2629	4.9	2.3183	2.008	-2.0908	3.3167	-10.2182	-10.3175	3.9977	4.3422	2.3258	-1.2256	7.0399	-1.1584	-1.0667	-4.3222	5.7889	4.6183	5.528	-0.5408	3.0927	-7.9504	6.225	11.1011	5.3095	3.2156	5.072	3.5057	-3.9006	2.6853	-3.3662	6.7359	-0.0148	5.6186	-2.8794	4.2814	2.1421	0.9113	9.6281	-0.884	-3.2139	-1.3062	6.5358	-0.9347	5.4232	-0.2082	0.0033	-10.206	-7.1216	-5.44	3.8264	-6.3029	5.6529	4.9668	4.4613	-1.7075	3.4238	6.9566	-1.7553	2.1801	4.7712	-1.9871	-1.1169	0.0453	4.1526	-2.3727	-5.2885	-2.9339	0.0389	3.3187	5.6269	5.7824	9.4767	5.7876	-0.8543	4.5793	-0.3359	-0.7146	-6.4297	0.1396	-1.7615	-0.6419	0.9069	-4.5331	-5.8419	-9.3362	-6.061	1.5025	-5.8108	-2.361	-3.3719	8.7602	4.0795	3.6629	-2.3963	-0.4984	-5.9073	-3.2364	5.0503	-4.6098	5.5788	-1.2179	1.2094	-5.3434	-7.9875	-1.9605	-9.2956	-0.2875	-5.6769	-4.331	-0.4189	-6.3816	-0.5774	-2.3578	-6.9271	-1.0509
D06-ZF-R2	2.0068	-1.9799	0.4689	2.3963	-8.8933	-2.704	-4.8244	0.1987	-6.5335	-0.9913	0.0633	-0.8913	-4.8289	-5.1801	-6.6877	-6.7054	-2.0002	-4.7389	5.8577	0.344	9.0195	7.3565	-2.1157	-4.4019	-2.7043	-3.2978	4.5033	-1.1431	1.3448	-3.7818	-6.7554	-0.9034	0.448	-1.2425	2.7126	3.0746	0.5502	4.5353	6.4329	-1.9554	4.6162	-3.4157	5.3796	4.9966	6.5547	3.2552	3.5165	4.3937	2.5242	2.1356	-1.2227	3.3822	-9.9739	-7.1447	3.6851	4.5376	2.4968	-1.0897	7.2255	-1.0243	-0.8473	-4.4395	6.0708	4.6954	4.8491	0.1115	3.1221	-8.9652	6.012	10.9914	5.7659	3.3127	5.2375	3.7537	-4.5021	2.6304	-3.2196	6.9115	0.3323	5.7843	-2.4432	4.4787	2.0826	1.1232	9.8831	-0.5118	-2.6111	-0.4389	6.9121	-0.4362	5.626	0.076	-0.2914	-9.9601	-8.4139	-4.8769	4.117	-5.1247	6.0794	5.2255	4.6343	-2.1074	2.2423	6.7457	-2.795	2.1953	4.823	-1.9588	-1.138	-0.0291	4.3608	-2.2923	-5.4868	-3.1381	0.4841	3.3175	5.4713	5.6045	9.0898	4.9684	-0.737	4.4937	-0.5475	-0.793	-5.9875	-0.4287	-1.1821	0.1031	0.4233	-4.5679	-6.3709	-6.776	-5.6532	1.5192	-5.0293	-2.0779	-3.4764	8.5443	4.4135	3.6716	-2.558	-0.554	-7.2681	-3.3243	4.9456	-4.8069	5.524	-1.0957	1.0994	-5.7938	-7.7135	-2.2157	-9.1096	0.0958	-5.5585	-4.5457	-1.1264	-9.7165	-0.5873	-2.3253	-6.8807	-10.0017
D06-ZF-R3	1.3892	-2.4919	-0.7744	0.2257	-8.6822	-4.0327	-6.8802	-4.0546	-6.2922	-3.7129	0.6895	0.1905	-3.6353	-5.0964	-6.6906	-6.3494	-1.166	-5.9208	5.3551	-0.239	7.9907	6.2217	-2.8206	-4.9817	-2.2463	-8.2627	3.7379	-2.4986	0.4565	-3.7106	-7.375	-0.6525	3.6391	-0.0982	2.8387	3.5943	1.0049	4.905	5.8327	-0.0563	5.2192	-2.3878	5.2431	5.851	7.4448	4.7607	3.6266	5.6843	2.2558	1.8587	-1.487	5.6848	-8.6152	-5.5147	5.5329	2.9967	1.4108	-1.6584	6.0216	-1.4465	-1.7966	-4.1621	7.3463	3.7728	6.8729	1.1897	5.9621	-8.2677	5.8541	11.3467	6.3447	3.419	5.4309	2.5237	-3.7091	2.8601	-3.2688	6.6791	0.3707	6.3058	-1.9849	4.8035	1.4442	0.8379	9.3354	-1.1907	-3.346	-1.0096	5.9283	-1.1684	3.6043	-0.0648	-0.4515	-9.2388	-9.8959	-5.7406	5.4506	-7.2401	4.6071	3.9085	4.1445	-3.0042	2.0438	6.1055	-6.0467	1.6898	4.2703	-3.2158	-0.9094	-0.4353	4.1837	-2.4074	-4.3936	-4.1514	0.472	3.6885	6.2885	6.8425	10.0018	6.4685	-0.5084	4.7484	-0.3934	0.1707	-6.6762	0.1668	-0.5077	-0.0513	1.4383	-3.4816	-4.2664	-5.8563	-4.6964	1.3685	-4.1238	-2.1524	-2.2631	8.6728	4.8008	3.9344	-2.7717	-0.5571	-6.6585	-3.117	5.2236	-5.0842	5.7344	-1.126	1.5625	-4.7208	-8.1787	-2.1394	-7.9459	0.3205	-4.7089	-4.1773	-0.5518	-10.174	-0.3957	-1.6615	-6.0722	-10.2545
