Donor,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Relative Abundance: Firmicutes,Relative Abundance: Bacteroidetes,Relative Abundance: Actinobacteria,Relative Abundance: Other Bacteria,Relative Abundance: Viruses,Relative Abundance: Fungi,Relative Abundance: Unclassified,Richness 0.01%,Richness 0.001%,Richness 0.0001%,Richness 0.00001%,Richness Any%,Shannon Entropy,Inv Simpson
D08-OH-R3,D08,OH,R3,5.00268E+11,4.498924406,5.16,0.362564009,0.520386491,0.005925309,0.010521554,0.004335664,0.00042532,0.061207287,80,211,810,2120,2737,2.19621549,3.842810664
D08-ZR-R1,D08,ZR,R1,41973237978,4.392608486,10.5,0.330297503,0.558993261,0.007750438,0.009405425,0.008677657,0.000427421,0.051413972,80,195,749,2170,2748,2.17486239,3.355788839
D08-ZF-R2,D08,ZF,R2,11102220513,4.592336452,7.02,0.558571019,0.30697169,0.01965121,0.00653994,0.003815036,0.00063875,0.080485363,82,235,910,2233,2626,2.72591511,7.093949819
D08-ZF-R3,D08,ZF,R3,1.34964E+11,4.565327478,5.76,0.553606218,0.331013242,0.019605482,0.006659534,0.003970377,0.000555208,0.061785959,82,227,900,2443,2891,2.706835538,6.850472889
D02-NF-R3,D02,NF,R3,2.88098E+12,4.629363285,143.2,0.566221965,0.298218471,0.019778278,0.007286166,0.007077115,0.000704808,0.068426051,89,233,908,2229,2604,2.83428907,6.880238565
D08-ZR-R2,D08,ZR,R2,4603234502,4.494109887,3.18,0.514226497,0.353257626,0.019883376,0.008669169,0.005020652,0.000587378,0.071565465,82,223,871,2363,2757,2.659599687,5.964151226
D02-OH-R2,D02,OH,R2,9640464557,4.620559328,62,0.504207438,0.363537275,0.011782395,0.006420238,0.007360966,0.000752739,0.069676233,86,234,917,2345,2703,2.607890938,5.046528762
D09-ZR-R1,D09,ZR,R1,636191139.6,4.538273372,3.18,0.34954435,0.451560704,0.024004247,0.04469563,0.001904876,0.000852664,0.095372157,101,264,973,2275,2851,2.678424216,5.182283766
D07-ZH-R3,D07,ZH,R3,81982351710,4.658952281,11.1,0.598964675,0.251169871,0.015219269,0.047842167,0.000360049,0.000659132,0.055517596,87,256,957,2458,2761,3.000389313,11.13629464
D05-ZF-R2,D05,ZF,R2,8579378074,4.700174949,4.52,0.402005125,0.358055499,0.057097511,0.025374584,0.001786501,0.001121511,0.109540637,102,354,1139,2362,2700,2.890931224,7.001210152
D06-ZH-R3,D06,ZH,R3,2838172274,4.454676768,2.16,0.441371436,0.393935249,0.060417648,0.002418945,0.001423476,0.000438006,0.053465654,76,216,840,2312,2695,2.45575233,5.174563141
D09-ZF-R1,D09,ZF,R1,6043267054,4.644170606,5.64,0.51839463,0.276225442,0.062995912,0.030513081,0.001096852,0.000850854,0.084702636,94,263,1030,2485,3036,3.023890561,9.241872321
D03-NF-R3,D03,NF,R3,2.54971E+12,4.658635121,27,0.594917956,0.26757075,0.052331228,0.004646784,0.001874943,0.000690353,0.059899597,94,259,962,2392,2854,3.033640644,11.65434705
D08-OH-R1,D08,OH,R1,3.7185E+12,4.497571683,100,0.356883601,0.525223916,0.005576918,0.010095422,0.00486901,0.000456665,0.060892248,80,211,842,2267,2794,2.160189372,3.745610881
