Donor,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Relative Abundance: Firmicutes,Relative Abundance: Bacteroidetes,Relative Abundance: Actinobacteria,Relative Abundance: Other Bacteria,Relative Abundance: Viruses,Relative Abundance: Fungi,Relative Abundance: Unclassified,Richness 0.01%,Richness 0.001%,Richness 0.0001%,Richness 0.00001%,Richness Any%,Shannon Entropy,Inv Simpson
D10-OR-R3,D10,OR,R3,2.87734E+12,4.57702505,83.2,0.380711199,0.47617542,0.040720194,0.002313973,6.49E-05,0.000395766,0.046474848,74,188,697,1953,2760,2.111888631,2.863171627
D06-OR-R2,D06,OR,R2,5.08058E+11,4.499601986,66.4,0.381849989,0.477815803,0.036422024,0.002449988,0.000678639,0.00040511,0.048443459,75,195,776,2230,2612,2.111404767,3.505967474
D08-NF-R2,D08,NF,R2,2.13888E+11,4.594574891,112,0.504415554,0.368253538,0.019772103,0.010083265,0.003065816,0.000622812,0.064110892,80,250,962,2550,2846,2.582329104,5.581679749
D02-OH-R1,D02,OH,R1,3.2605E+12,4.626937316,80.2,0.529898954,0.340832332,0.014528479,0.006016508,0.006627961,0.000757517,0.069330974,88,229,912,2293,2955,2.683578796,5.617968566
D01-OH-R3,D01,OH,R3,1.73589E+12,4.597646345,4.64,0.573065357,0.309482491,0.010074181,0.014111088,0.000316143,0.00057495,0.059207919,95,247,873,2345,2925,2.88400119,9.553245005
D04-ZF-R2,D04,ZF,R2,92820843310,4.523547664,6.84,0.608921556,0.15812326,0.082999509,0.016459791,5.00E-05,0.001741199,0.118143378,100,342,1397,2677,2979,3.349789819,16.50192867
D07-OH-R1,D07,OH,R1,2.09583E+13,4.702310717,132.8,0.647081094,0.217231179,0.013810245,0.039453182,0.000253808,0.000615333,0.05271875,85,244,912,2391,2763,2.994666883,11.36694507
D02-ZF-R1,D02,ZF,R1,3.21364E+11,4.562874176,19,0.506540211,0.375419224,0.012684408,0.005873899,0.008108082,0.000580163,0.062456246,82,212,789,2175,2980,2.569696666,4.92404239
D05-OF-R1,D05,OF,R1,3.65919E+12,4.704237739,84.8,0.379746149,0.385047159,0.060968094,0.02184609,0.001691401,0.001116299,0.102966122,96,344,1167,2340,2948,2.838962686,6.742653079
D08-OF-R1,D08,OF,R1,1.38018E+12,4.519247448,90.2,0.49662609,0.385487814,0.020669371,0.008627614,0.00166156,0.000549228,0.057013595,81,233,890,2475,3085,2.580763267,5.7939739
D05-NF-R3,D05,NF,R3,8.70532E+11,4.701943864,129.2,0.490603275,0.201268287,0.076251619,0.024129372,0.001727081,0.001506988,0.166464705,121,474,1360,2463,2742,3.20953181,11.56049323
D08-ZH-R1,D08,ZH,R1,1476039593,4.436075189,1.8,0.413635656,0.44015069,0.019873277,0.010097887,0.009327297,0.000589392,0.074592191,85,238,896,2408,2763,2.517151361,4.77709885
D10-ZF-R3,D10,ZF,R3,1.35675E+11,4.586261252,7.24,0.508594356,0.340489646,0.052940152,0.002808057,8.98E-05,0.000474101,0.051983862,76,221,797,1848,2292,2.54736126,4.72019444
D10-OR-R1,D10,OR,R1,9.15912E+11,4.567861069,33.2,0.367478056,0.486953105,0.038807896,0.002155226,8.28E-05,0.000394386,0.048310411,74,189,704,1944,2555,2.073978139,2.75395983
D10-NF-R2,D10,NF,R2,2.92112E+11,4.585483447,7.16,0.399846686,0.429529168,0.058899175,0.00289774,0.000145855,0.000452986,0.057395723,77,213,809,1992,2372,2.366931223,3.731985307
D02-ZH-R2,D02,ZH,R2,67772707292,4.478611876,3.2,0.511578749,0.350986338,0.016059664,0.008288988,0.015568811,0.00076699,0.06951424,92,237,884,2351,2704,2.691411085,5.416268206
D06-NF-R2,D06,NF,R2,1.11563E+12,4.674687443,12.8,0.555000842,0.271784416,0.074108025,0.002056125,0.000793043,0.000473236,0.054672494,75,219,839,2436,2436,2.469734091,5.890724001
D10-ZR-R2,D10,ZR,R2,21569428170,4.605292386,4.8,0.303585942,0.577246429,0.013432152,0.002502711,0.000194642,0.000406771,0.045640257,67,176,632,1617,2112,1.739117659,2.172956066
D01-OF-R2,D01,OF,R2,1.9396E+12,4.466311003,88.2,0.525559331,0.34198137,0.013306141,0.018962831,0.000250868,0.000638518,0.061761982,99,251,940,2132,2571,2.958827121,9.756211046
D04-OF-R2,D04,OF,R2,5.68732E+11,4.571838654,23.2,0.537120428,0.212511738,0.070796305,0.022472724,4.89E-05,0.00249403,0.138669879,110,376,1549,2838,3046,3.434204061,18.41428387
D10-ZR-R1,D10,ZR,R1,12327014240,4.58005881,3.8,0.358518736,0.493317448,0.043702244,0.002955097,0.000214623,0.000424523,0.050124071,72,193,708,2098,2496,2.082423171,2.824844389
D04-ZH-R2,D04,ZH,R2,15732729375,4.487576318,3.8,0.583835137,0.191651319,0.061246398,0.017961419,6.39E-05,0.002402765,0.129060794,110,361,1472,2825,2987,3.346353588,16.00209568
D02-ZF-R3,D02,ZF,R3,97476062359,4.582844955,12.4,0.612202997,0.262290633,0.022708262,0.005230386,0.006596088,0.000607697,0.066083231,88,226,820,2328,2706,2.848711535,7.773781179
D06-NF-R3,D06,NF,R3,1.49583E+13,4.651189802,13.4,0.565488805,0.25794074,0.078857823,0.002048207,0.000649973,0.00047202,0.056059558,76,219,865,2352,2848,2.532560476,6.341791834
D01-OH-R2,D01,OH,R2,5.72792E+12,4.58728675,39.6,0.518063057,0.366727695,0.006533236,0.01502065,0.000347858,0.000575646,0.056455345,90,233,849,2410,2779,2.731460043,8.019411193
D07-OF-R1,D07,OF,R1,5.99097E+12,4.672669815,85.8,0.6109369,0.246188211,0.017468216,0.045740053,0.000222992,0.000580107,0.048546865,83,238,907,2363,3041,2.997084165,11.036443
D04-ZF-R1,D04,ZF,R1,3.03401E+11,4.513663048,10.2,0.606219488,0.158407929,0.081293676,0.015572119,5.45E-05,0.001965104,0.122854654,105,351,1455,2849,3021,3.352544397,16.62196188
D07-ZF-R3,D07,ZF,R3,29395784760,4.691816564,13.2,0.625206683,0.238098003,0.014130826,0.041334271,0.000322466,0.000579186,0.050191559,86,247,908,2357,2712,2.987353348,10.91537472
D07-OH-R3,D07,OH,R3,1.32041E+12,4.720510421,150.8,0.579541268,0.2661906,0.013283876,0.054325242,0.000144147,0.00049595,0.052037034,83,241,913,2195,2605,2.876699642,9.695305669
D10-ZH-R1,D10,ZH,R1,13307605766,4.598279186,3.84,0.295860167,0.577079524,0.007367708,0.003897154,0.000177887,0.000435433,0.056092356,66,185,697,1788,2231,1.827752362,2.326796603
D07-OF-R3,D07,OF,R3,4.78058E+11,4.692436771,8.88,0.620606966,0.240290971,0.016420604,0.044085837,0.000201757,0.000552365,0.046839283,84,247,894,2343,2699,2.975204605,10.73061547
D05-OH-R2,D05,OH,R2,1.13441E+12,4.763346223,50.4,0.367991477,0.389867541,0.042735613,0.023617887,0.002281131,0.00138817,0.124184926,102,393,1244,2420,2716,2.853696066,7.007426342
D05-ZH-R3,D05,ZH,R3,637639310.2,4.745907915,7.2,0.365229023,0.396978575,0.042024241,0.026130539,0.005251792,0.001364775,0.122351266,99,367,1217,2359,2823,2.883941465,7.088140878
D06-ZR-R1,D06,ZR,R1,57594440390,4.378510703,8.84,0.512284858,0.265234352,0.115890489,0.00236621,0.001082551,0.000530606,0.065886635,82,241,949,2314,2810,2.766550319,8.141270737
D09-ZF-R3,D09,ZF,R3,16666109117,4.657003824,5.3,0.458427556,0.337484495,0.037115121,0.047369751,0.001462994,0.000793327,0.090376024,96,257,944,2113,2722,2.879300563,7.264620661
D06-OR-R3,D06,OR,R3,2.66354E+12,4.554841571,116,0.505609297,0.332512575,0.064589492,0.002457621,0.000446541,0.000443598,0.050560991,78,218,822,2274,2628,2.521921111,5.693864744
D06-NF-R1,D06,NF,R1,4.94437E+12,4.66671385,140.8,0.607641188,0.210678084,0.089079004,0.002006558,0.000296514,0.000507437,0.055639196,75,222,854,2305,2894,2.619115757,7.194507336
D02-OH-R3,D02,OH,R3,1.7615E+12,4.629270717,89.6,0.434466403,0.435274061,0.007833754,0.006472646,0.008398032,0.000497527,0.066144786,83,220,831,2024,2438,2.37635729,3.851548102
D01-ZH-R1,D01,ZH,R1,620478221.6,4.575243355,5,0.557290381,0.317868734,0.011710181,0.016709972,0.000370507,0.000626811,0.062302161,97,248,945,2484,2777,2.907702653,9.409518823
D01-OH-R1,D01,OH,R1,3.62715E+12,4.624399073,60,0.489634969,0.404591922,0.004996787,0.013734781,0.000364267,0.000514777,0.050870878,88,222,760,2225,2976,2.614651353,7.041320931
D07-ZF-R1,D07,ZF,R1,1.68353E+11,4.678020614,16.2,0.573357403,0.277114793,0.012876667,0.048593001,0.000382674,0.000624921,0.056000474,85,248,954,2478,3144,2.979237723,10.33433091
D05-ZR-R2,D05,ZR,R2,65073159497,4.613541429,6.42,0.40145587,0.332413609,0.07148721,0.025376507,0.002477716,0.001234819,0.122969434,104,380,1248,2379,2710,3.057880279,9.134073471
D03-ZF-R3,D03,ZF,R3,104320603,4.533465525,14.3,0.506744643,0.363328847,0.04466141,0.004932182,0.002000537,0.000627614,0.058287603,86,249,902,2311,2891,2.900138316,8.643618311
D03-ZF-R1,D03,ZF,R1,43504252671,4.421716852,9.16,0.451388557,0.402683082,0.043937613,0.006612146,0.002943393,0.000623448,0.069636806,89,265,1047,2404,2837,2.904985176,8.570846367
D04-OF-R3,D04,OF,R3,5.54076E+11,4.546271575,18,0.612701456,0.134433999,0.101992891,0.014043652,4.59E-05,0.001875004,0.11926615,103,349,1448,2783,2971,3.368964761,17.36454708
D04-OR-R1,D04,OR,R1,6.28745E+11,4.585208526,79.8,0.657431901,0.102801863,0.091361441,0.012535916,5.17E-05,0.00206905,0.119974824,108,355,1456,2756,2956,3.361844729,17.2509984
D05-OR-R1,D05,OR,R1,3.47363E+12,4.783278466,60,0.328521469,0.464984566,0.038830049,0.027533696,0.002634308,0.001044954,0.083090985,93,293,1090,2348,2815,2.648048503,5.814606385
D02-OR-R3,D02,OR,R3,2.02971E+12,4.620859581,112,0.515263171,0.357904668,0.015352279,0.006078287,0.00534763,0.000731423,0.063592066,86,226,865,2264,2802,2.647967826,5.288453857
D06-ZH-R2,D06,ZH,R2,1446504722,4.379712931,1.74,0.42390639,0.39368006,0.073362966,0.002832429,0.001725553,0.000468785,0.056883307,78,222,890,2212,2595,2.535392928,5.391587323
D04-ZR-R2,D04,ZR,R2,1.11734E+11,4.514551069,5.4,0.613208871,0.159979502,0.065678177,0.01697657,5.58E-05,0.002146255,0.128734409,105,362,1483,2763,2957,3.394709632,17.41138268
D03-OF-R3,D03,OF,R3,206011050.3,4.460795142,31.2,0.428478556,0.44064905,0.039068109,0.005190672,0.00183674,0.000628881,0.060991369,84,245,914,2251,2622,2.737007782,6.970867179
D01-ZH-R2,D01,ZH,R2,17492890919,4.569371389,4.88,0.580478962,0.294259357,0.008841233,0.014734871,0.000585571,0.000686984,0.068871735,96,260,1007,2398,2909,2.997003985,10.73165996
D10-ZR-R3,D10,ZR,R3,6739670317,4.590310546,2.1,0.394500453,0.464627999,0.036434627,0.003021807,0.000142346,0.000432088,0.052331806,77,202,739,2073,2437,2.172832673,3.029518214
D05-OR-R3,D05,OR,R3,2.40128E+12,4.735249285,82.2,0.433547745,0.324526976,0.068610711,0.020550151,0.001888599,0.001193922,0.106099667,101,344,1187,2390,2862,3.009355204,9.053015961
D05-ZH-R1,D05,ZH,R1,73390845880,4.669754354,10.1,0.374402017,0.370874555,0.053826283,0.028199412,0.004172622,0.00133949,0.125500284,101,376,1297,2529,3008,2.975263563,7.804270034
D03-OR-R1,D03,OR,R1,3.491E+11,4.295434664,24,0.324567456,0.537458282,0.030707603,0.007295566,0.002526937,0.000675038,0.072806078,86,258,1001,2386,2929,2.530950809,4.987538743
D04-OH-R2,D04,OH,R2,2.77337E+13,4.725269168,52.4,0.637243214,0.136484766,0.049349712,0.015294059,8.44E-05,0.002730117,0.143973323,109,410,1589,2866,2866,3.347449644,16.41557213
D09-OF-R1,D09,OF,R1,2.62487E+12,4.50761654,62.2,0.353622444,0.441714806,0.033799044,0.043720739,0.001166093,0.000922166,0.092929801,96,268,1001,2338,2968,2.764604428,5.516009323
D08-ZF-R1,D08,ZF,R1,2.28838E+11,4.54165128,14.2,0.452383225,0.44127358,0.013100623,0.008337679,0.00448294,0.000483023,0.049780255,79,206,795,2191,2767,2.413051635,4.586266821
D01-OF-R1,D01,OF,R1,4.61554E+12,4.523915222,93.8,0.565428272,0.310657176,0.01400571,0.0140854,0.000209621,0.000639486,0.06135856,96,254,970,2484,3076,2.958075787,10.11770983
D03-OH-R1,D03,OH,R1,2.00917E+12,4.465382506,38.8,0.434815503,0.434974619,0.044440955,0.005785561,0.001663512,0.000664865,0.058000422,86,240,882,2388,2988,2.720977406,6.487628925
D10-ZH-R3,D10,ZH,R3,9506763903,4.6049781,2.88,0.295901998,0.579146439,0.01044322,0.004138714,0.000183209,0.000452266,0.05406706,67,181,698,1915,2530,1.828690668,2.326754421
D01-ZF-R2,D01,ZF,R2,1.0082E+11,4.68778945,9.92,0.680957571,0.204548693,0.013918135,0.01104225,0.000311553,0.000670519,0.063324689,96,255,944,2525,2819,3.069455297,12.18494171
D04-NF-R1,D04,NF,R1,8.51472E+11,4.61876433,104,0.681418943,0.081686225,0.093672368,0.012618963,4.61E-05,0.001658516,0.116315008,103,333,1357,2790,3099,3.302011227,15.94630326
D06-OF-R3,D06,OF,R3,6.51394E+12,4.576688685,7.12,0.520090584,0.303952822,0.079003969,0.00211071,0.000343117,0.000443118,0.050506508,74,217,834,2044,2505,2.529046366,6.14958861
D09-OH-R2,D09,OH,R2,2.30945E+12,4.741217287,8.12,0.501312643,0.307252443,0.036404802,0.041951565,0.000907751,0.00076241,0.084094118,91,268,1007,2329,2702,2.82433669,7.193449697
D08-OF-R3,D08,OF,R3,5.87851E+12,4.482312388,5.22,0.429316101,0.455939866,0.016564156,0.008884113,0.001423974,0.000519445,0.053377826,80,224,867,2432,2981,2.395348881,4.574413684
D04-OR-R3,D04,OR,R3,1.86634E+12,4.589590303,45.4,0.658305703,0.096274403,0.097394827,0.01241705,5.00E-05,0.002049466,0.119745683,108,355,1450,2776,2981,3.364303935,17.20632193
D10-OF-R3,D10,OF,R3,9.90666E+11,4.582507137,55.4,0.374938504,0.47890009,0.043510607,0.002138523,5.11E-05,0.00039159,0.044903078,71,191,674,2007,2400,2.092507722,2.860960721
D06-ZF-R1,D06,ZF,R1,96723764175,4.480728782,8.5,0.466771451,0.354813569,0.078448887,0.002189665,0.001108092,0.00045852,0.055023388,79,217,816,2323,2958,2.451010504,5.470308483
D05-ZF-R1,D05,ZF,R1,1.98129E+11,4.674732211,15.4,0.457519913,0.293499203,0.068988409,0.020957138,0.001870024,0.001164468,0.117975656,104,372,1202,2486,2976,3.100231765,10.42302876
D06-OF-R1,D06,OF,R1,3.76172E+12,4.490133158,37.2,0.332120993,0.526767734,0.042709698,0.003030244,0.000466872,0.000380702,0.039238295,70,172,676,2104,2880,1.915323543,2.877838466
D03-ZR-R1,D03,ZR,R1,18270398176,4.363712801,3.3,0.412434605,0.44455484,0.044417863,0.005984355,0.004797985,0.000522513,0.065176598,87,238,912,2370,3005,2.768653733,7.834665659
D09-ZR-R3,D09,ZR,R3,4778970266,4.624150211,2.64,0.423339654,0.375180857,0.036688489,0.044364784,0.001793787,0.000812748,0.089813113,99,256,944,2299,2683,2.852420732,6.591177617
D01-ZF-R3,D01,ZF,R3,45141313239,4.537551392,10.3,0.474740667,0.407181262,0.005422603,0.018161281,0.00061577,0.000515968,0.056991184,86,225,809,2263,2812,2.683705507,7.363170931
D03-ZH-R3,D03,ZH,R3,1.34186E+11,4.386005407,12.9,0.410868443,0.458426036,0.042708454,0.005296107,0.002903944,0.000555036,0.060050663,84,233,862,2364,2906,2.668883693,5.93814318
D07-OH-R2,D07,OH,R2,5.02982E+12,4.706214056,66.6,0.608733371,0.244892018,0.015823969,0.046790125,0.000302078,0.000609942,0.051462718,84,245,927,2313,2707,2.970162501,10.94275253
D09-NF-R2,D09,NF,R2,3.25706E+12,4.74316757,134,0.569514938,0.220222242,0.058361448,0.041030632,0.000949482,0.000807846,0.083520047,94,272,1019,2507,2803,3.073128374,9.855914868
