sample	tax.level	method	value
XT_D05-NFlex-R1-B	class	simpson	0.631
XT_D08-NFlex-R1-B	class	simpson	0.543
XT_D02-NFlex-R1-B	class	simpson	0.523
XT_D07-NFlex-R1-B	class	simpson	0.483
XT_D09-NFlex-R1-B	class	simpson	0.586
XT_D03-NFlex-R1-C	class	simpson	0.622
XT_D01-NFlex-R1-A	class	simpson	0.493
XT_D04-NFlex-R1-C	class	simpson	0.427
XT_D10-NFlex-R1-A	class	simpson	0.587
XT_D06-NFlex-R1-B	class	simpson	0.541
XT_D03-NFlex-R1-B	class	simpson	0.626
XT_D10-NFlex-R1-B	class	simpson	0.589
XT_D09-NFlex-R1-C	class	simpson	0.586
XT_D02-NFlex-R1-A	class	simpson	0.522
XT_D09-NFlex-R1-A	class	simpson	0.585
XT_D04-NFlex-R1-B	class	simpson	0.433
XT_D08-NFlex-R1-A	class	simpson	0.543
XT_D06-NFlex-R1-C	class	simpson	0.542
XT_D02-NFlex-R1-C	class	simpson	0.523
XT_D01-NFlex-R1-C	class	simpson	0.496
XT_D07-NFlex-R1-A	class	simpson	0.482
XT_D03-NFlex-R1-A	class	simpson	0.625
XT_D01-NFlex-R1-B	class	simpson	0.496
Flex_D10-NF-R1	class	simpson	0.606
Flex_D07-NF-R1	class	simpson	0.487
Flex_D08-NF-R1	class	simpson	0.549
Flex_D05-NF-R1	class	simpson	0.631
Flex_D02-NF-R1	class	simpson	0.533
Flex_D03-NF-R1	class	simpson	0.59
Flex_D09-NF-R1	class	simpson	0.58
Flex_D01-NF-R1	class	simpson	0.48
Flex_D06-NF-R1	class	simpson	0.541
Flex_D04-NF-R1	class	simpson	0.456
XT_D04-NFlex-R1-A	order	shannon	0.989
XT_D06-NFlex-R1-A	order	shannon	1.013
XT_D08-NFlex-R1-C	order	shannon	0.971
XT_D07-NFlex-R1-C	order	shannon	0.93
XT_D10-NFlex-R1-C	order	shannon	1.123
XT_D05-NFlex-R1-C	order	shannon	1.343
XT_D05-NFlex-R1-A	order	shannon	1.349
XT_D05-NFlex-R1-B	order	shannon	1.345
XT_D08-NFlex-R1-B	order	shannon	0.969
XT_D02-NFlex-R1-B	order	shannon	0.926
XT_D07-NFlex-R1-B	order	shannon	0.929
XT_D09-NFlex-R1-B	order	shannon	1.298
XT_D03-NFlex-R1-C	order	shannon	1.331
XT_D01-NFlex-R1-A	order	shannon	1.005
