Sutterella	Akkermansia	Firmicutes: environmental samples	Streptococcus	Clostridium	Butyricicoccus	Butyrivibrio	Roseburia	Coprococcus	unclassified Lachnospiraceae	Dorea	Anaerostipes	Blautia	Lachnoclostridium	Eubacterium	Oscillibacter	unclassified Oscillospiraceae	Ruminococcus	Gemmiger	Faecalibacterium	Subdoligranulum	unclassified Ruminococcaceae	unclassified Clostridiales (miscellaneous)	unclassified Clostridia	Coprobacillus	unclassified Erysipelotrichaceae	Mitsuokella	Megamonas	Megasphaera	Dialister	unclassified Firmicutes sensu stricto (miscellaneous)	Bifidobacterium	Collinsella	Bacteroides	unclassified Bacteroidaceae	Alistipes	Prevotella	Odoribacter	Parabacteroides
XT_D02-NFlex-R1-C	-7.928	-4.263	0.5068	-0.4281	3.6688	-0.0913	-2.5463	3.8121	0.5721	3.9631	0.9375	-0.6103	3.7119	-0.5765	3.129	2.3163	3.1303	4.475	2.2047	5.1226	1.6431	2.535	4.5508	-4.521	-1.325	-4.0508	-8.567	-9.6549	-8.3175	-6.6953	3.3201	0.522	-1.45	7.8943	-1.2731	2.4286	-1.6682	1.2371	2.2849
XT_D01-NFlex-R1-C	-7.5814	2.4116	1.3753	1.5638	2.7483	-0.0287	-3.7397	3.0984	1.5463	3.0496	2.1305	-0.2556	3.4527	-0.1878	2.646	0.8873	-1.8947	4.974	0.7628	5.6167	0.9671	3.7578	3.0551	-1.8925	-3.9252	-3.2846	-8.6367	-8.4005	-8.0248	0.9305	-0.9029	1.4732	-4.5228	5.289	-2.9351	4.1593	-4.1124	0.7313	3.699
XT_D07-NFlex-R1-A	-0.4063	-5.8645	1.7307	0.7939	2.3328	0.2172	-3.5745	1.0732	3.4108	4.5276	1.3924	0.4283	3.6123	-0.3234	3.3065	1.9605	0.0878	5.9155	1.6563	5.4404	1.2245	4.1581	2.4504	-5.1636	1.8697	-3.0636	-8.8708	-8.4665	-7.5553	-7.8715	0.8919	2.5858	-5.0604	6.1072	-3.1881	3.7543	-4.2244	0.37	2.335
XT_D03-NFlex-R1-A	-3.424	-2.5679	-0.2268	1.3977	2.9377	-0.3048	-4.0502	2.4961	1.559	3.442	1.9886	-1.5011	3.0161	-1.4713	1.6137	0.0694	-2.2926	2.5266	-0.4973	4.6267	-0.8922	3.1845	1.4685	-5.1353	-3.2178	-0.7239	-8.0417	4.6478	-8.2857	0.6388	-0.2197	1.0967	2.4288	4.0042	-1.9164	2.2534	5.1072	-5.2921	-0.4429
XT_D01-NFlex-R1-B	-6.9765	2.4256	1.3578	1.5495	2.7258	-0.0106	-3.7494	3.0868	1.5428	3.035	2.1215	-0.317	3.4373	-0.1877	2.6207	0.8904	-1.8954	4.9672	0.7474	5.6164	0.96	3.7592	3.0371	-1.8887	-3.949	-3.4003	-7.8956	-9.4786	-7.8907	0.9297	-0.9276	1.4701	-4.561	5.2855	-2.9087	4.1604	-4.1125	0.7298	3.6937
Flex_D10-NF-R1	-10.8361	-4.665	1.9707	-0.2945	3.2393	2.2893	-2.9642	4.5325	3.6331	2.1954	2.618	1.2456	4.0729	2.2458	3.4125	0.1663	-3.3378	4.1753	-2.4612	-0.9286	-0.2258	3.1177	3.3798	1.98	-2.4939	-3.2634	-10.3994	3.5586	-8.4745	-8.0806	1.3188	0.2056	4.8103	7.3023	-3.3057	1.6733	-2.4471	-0.004	1.0385
Flex_D07-NF-R1	-1.3015	-6.146	1.7656	0.8038	2.5112	0.1926	-3.6934	1.022	3.1089	4.3857	1.7587	1.1647	3.9602	-0.4013	2.8988	1.1781	-0.5014	5.1169	2.1854	5.1052	1.8433	4.2919	2.2558	-5.1375	3.0911	-2.2245	-9.2395	-8.0411	-7.6776	-7.815	1.019	3.4903	-4.6887	5.6284	-2.9663	3.3591	-4.6886	0.533	1.8523
Flex_D08-NF-R1	1.1789	-3.2692	1.6633	0.7111	3.0577	1.4264	-3.8858	2.9948	1.0471	3.168	1.6829	0.0764	3.939	-0.2757	2.5618	-0.0122	-1.4822	5.1165	0.69	5.4452	2.0181	2.3753	2.4126	-2.4499	-0.5808	-3.6947	-8.471	-9.6694	-8.1247	-8.2364	0.7341	1.4481	2.0635	6.8765	-5.6659	4.0134	-4.3285	1.8145	1.631
Flex_D05-NF-R1	1.8814	0.1283	3.5045	0.4311	3.2163	0.0334	-4.4337	2.1865	-0.8283	1.6076	0.4791	1.129	2.8361	0.7342	1.9191	0.0448	-2.7824	2.0791	-0.1111	4.3813	-0.0652	1.9476	0.811	-5.5724	-2.8981	-4.0431	-8.0616	-8.3458	1.7593	0.9363	-1.6826	3.5674	1.5456	5.6961	-4.6099	2.0094	-3.8262	-0.3621	2.7579
Flex_D02-NF-R1	-8.1532	-4.7336	0.6087	0.7528	3.7913	0.002	-2.4571	3.9058	0.7139	3.9667	0.9606	-0.0323	3.8355	-0.5594	3.31	2.2063	2.9304	4.5625	2.1883	4.6699	1.6719	2.4415	4.4279	-4.6364	-0.3335	-3.8324	-9.3373	-9.9363	-8.1842	-7.7703	3.1912	1.0356	-1.1887	7.5913	-1.6618	2.5228	-1.9802	1.2516	2.2582
Flex_D03-NF-R1	-5.11	-2.2764	-0.0475	1.5806	2.8272	-0.1644	-4.2019	2.5597	1.5555	3.4697	2.3015	-1.0334	3.4629	-1.6655	1.8645	-0.6327	-2.6044	2.7287	-0.0551	4.6959	-0.3393	3.4517	1.421	-5.11	-2.3126	-0.0487	-7.7171	4.962	-8.1913	1.09	-0.3359	1.743	3.1043	3.1936	-2.4668	1.254	4.1064	-6.0185	-1.0408
Flex_D09-NF-R1	1.3696	-7.2892	0.3085	-1.3036	2.6574	0.8796	-4.7824	1.7443	0.9446	2.7517	1.9276	0.9239	2.6529	-1.595	2.6532	-0.0043	-4.533	2.4462	0.8828	5.0768	0.6606	1.6728	1.4513	-5.1748	1.0292	-4.7559	0.312	-6.5555	-7.6686	1.2621	0.8704	3.3499	1.3992	4.9312	1.3184	1.192	-3.2576	-0.0162	0.2678
Flex_D01-NF-R1	-7.7515	2.8955	1.5047	1.472	2.7672	-0.0897	-3.8935	3.045	1.6457	2.9149	2.1977	0.0931	3.7263	-0.3558	2.0958	0.7585	-1.9536	4.845	1.2039	5.4554	1.3524	3.8828	2.9952	-1.9577	-3.4344	-2.8639	-8.5013	-8.7953	-8.1793	1.2609	-0.887	2.1705	-4.0145	4.7623	-3.5403	4.0546	-4.6187	0.4154	3.3215
Flex_D06-NF-R1	-4.7524	-6.7007	1.4849	-0.009	3.0427	1.6858	-3.114	2.1244	1.2343	4.6825	3.1607	1.5647	4.3826	0.8548	3.6882	1.1581	-1.0005	5.2433	0.0677	6.6816	0.2229	2.297	2.3964	-5.5351	0.335	-3.7888	-8.5564	-9.851	-7.2146	2.6136	1.0559	5.3853	2.982	6.873	-6.3395	3.0865	-4.175	-5.2843	-1.983
Flex_D04-NF-R1	-4.5956	-7.0013	0.5802	-3.8048	2.8491	-0.7327	1.6208	2.7168	4.2363	3.4049	1.1851	-0.3575	2.0979	-2.086	3.0548	1.8031	0.2709	2.6526	-1.2059	4.3764	-1.2882	2.2002	2.1672	-4.139	-2.4674	1.3074	0.7981	-8.3024	-5.8568	0.2186	0.8301	4.0968	0.6512	2.1453	-5.7292	-0.091	3.0469	-0.4942	-0.1587
