uncultured human fecal virus	Pepper mild mottle virus	Tobacco mild green mosaic virus	Paprika mild mottle virus	Tomato brown rugose fruit virus	Malassezia restricta	Acinetobacter baumannii	Pseudomonas aeruginosa	Escherichia coli	Azospirillum sp. 51_20	Sutterella wadsworthensis	Sutterella sp. AM18-8-1	Sutterella sp. AF15-45LB	Proteobacteria bacterium CAG:139	Bilophila wadsworthia	Bilophila sp. 4_1_30	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Firmicutes bacterium CAG:103	Firmicutes bacterium CAG:114	Firmicutes bacterium CAG:137	Firmicutes bacterium CAG:240	Staphylococcus aureus	Lactobacillus fermentum	Weissella jogaejeotgali	Clostridium phoceensis	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. L2-50	Clostridium sp. 44_14	Clostridium sp. OM05-6BH	Clostridium sp. OM08-29	Clostridium sp. BIOML-A1	Clostridiaceae bacterium	Butyricicoccus sp. N15.MGS-46	Butyricicoccus sp. AM42-5AC	Butyricicoccus sp. BIOML-A1	uncultured Clostridiales bacterium	Roseburia intestinalis	Roseburia hominis	Roseburia faecis	Roseburia inulinivorans	uncultured Roseburia sp.	Roseburia sp. CAG:45	Roseburia intestinalis CAG:13	Roseburia sp.	Roseburia sp. AM16-25	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	uncultured Coprococcus sp.	Coprococcus sp.	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	uncultured Lachnospiraceae bacterium	[Ruminococcus] gnavus	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	uncultured Oscillibacter sp.	Oscillibacter sp. 57_20	Oscillibacter sp. CAG:241_62_21	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus bromii	Ruminococcus callidus	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp.	Ruminococcus sp. Marseille-P328	Ruminococcus sp. AM28-13	Ruminococcus sp. TF12-19AC	Gemmiger formicilis	Faecalibacterium prausnitzii	uncultured Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Anaerotruncus colihominis	Subdoligranulum sp. CAG:314	Subdoligranulum sp. 60_17	[Eubacterium] siraeum	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Ruthenibacterium lactatiformans	Anaeromassilibacillus sp. Marseille-P3371	Neglecta timonensis	Clostridiales bacterium	Clostridiales bacterium UBA5901	Clostridiales bacterium UBA5909	Clostridiales bacterium UBA738	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Intestinimonas butyriciproducens	Intestinimonas massiliensis	Clostridia bacterium	Candidatus Borkfalkia ceftriaxoniphila	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Phascolarctobacterium sp. CAG:207	Megasphaera massiliensis	Firmicutes bacterium CAG:110_56_8	Firmicutes bacterium CAG:129_59_24	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Cutibacterium acnes	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Collinsella bouchesdurhonensis	Collinsella sp. UBA6357	Collinsella sp. AM10-26	Parolsenella catena	Eggerthella lenta	Enterorhabdus caecimuris	Coriobacteriia bacterium	Bacteroides fragilis	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides faecis	Bacteroides mediterraneensis	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides finegoldii CAG:203	Bacteroides sp.	Bacteroides sp. UNK.MGS-14	Bacteroides sp. HMSC068A09	Bacteroides sp. AF14-46	Bacteroides sp. AF15-23LB	Bacteroides sp. AF16-29	Bacteroides sp. AF36-11BH	Bacteroides sp. AF37-16AC	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroides sp. AM44-19	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes sp. CAG:157	Alistipes finegoldii CAG:68	Alistipes putredinis CAG:67	Alistipes sp.	Alistipes sp. 56_11	Alistipes sp. 56_sp_Nov_56_25	Alistipes sp. AF14-19	Alistipes sp. 3BBH6	Alistipes sp. 5CBH24	Rikenellaceae bacterium	Prevotella copri	Prevotella sp. CAG:520	Prevotella sp.	Prevotella sp. AM23-5	uncultured Prevotellaceae bacterium	Paraprevotella clara	Odoribacter splanchnicus	Butyricimonas virosa	Barnesiella intestinihominis	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis
D06-NF-R1	1.3088	-0.5246	1.3179	-9.5469	2.156	1.8038	-0.4171	1.3995	1.7264	-5.386	-1.0161	-6.488	-8.3296	-1.082	-2.8502	-6.1549	-1.8606	-4.6296	4.9605	-0.2987	6.8719	7.0914	-2.1459	-6.5259	1.8274	-5.0469	1.3574	5.8798	-2.3538	2.4235	-0.9615	-7.6659	-2.0827	1.8679	-7.792	-2.4786	3.9613	4.3219	1.6647	5.1412	7.5235	0.3403	3.4088	0.9001	5.9711	0.1298	-3.2454	-7.0041	4.2183	-3.4334	-2.3193	5.468	0.0857	1.1212	-3.6614	-8.3402	-9.209	5.2548	8.0195	4.3041	5.3191	4.9628	5.0457	4.704	5.9543	-9.2548	-5.7733	7.5703	2.3554	-1.4448	6.6254	-1.0756	-0.8512	-1.1057	2.9187	3.1641	6.722	4.5927	1.0414	1.5543	-1.1428	6.6202	11.2202	8.2129	8.1234	8.0557	6.2759	0.2174	3.3734	-3.4157	7.5297	-3.6768	5.6849	2.2875	0.7228	0.3775	8.536	-1.4819	-2.6734	-1.974	4.6086	1.6086	6.791	3.6788	-0.2309	-0.8764	-8.202	-8.3546	-9.1629	-9.2286	-3.7403	5.0473	4.3419	10.8029	1.7357	8.1508	10.3531	4.351	5.5791	7.7885	-1.741	-0.7956	1.6535	-9.3137	7.4178	4.4642	-2.5982	-2.1779	-0.5807	3.8621	7.6231	8.5438	8.5623	5.6748	0.5897	4.2096	-7.2828	1.7744	-9.2663	1.7428	4.5329	2.2454	-1.33	-4.2305	-2.7271	-9.162	-8.3415	1.5696	-8.1921	-9.1977	-9.1936	-9.1199	-9.2178	-9.3002	-8.3556	-0.073	-2.6793	-6.4423	-1.8808	7.8779	1.1178	5.248	-2.4326	-2.1415	-4.5816	-2.772	5.1282	3.9663	-2.8951	-9.5249	-7.0041	6.7989	-2.1002	0.4411	-6.1131	-9.2887	-3.0735	-9.0894	-0.6005	-4.5046	-0.2166	-4.8567	-9.3089	1.7696	1.652	-6.6776
D06-NF-R2	3.8588	2.1701	3.2142	-3.9025	1.7366	4.7844	1.0099	2.2846	3.5406	-0.2152	0.4649	-7.4279	-7.132	-5.6643	-4.5287	-4.6197	-1.9963	-4.1531	5.0296	-0.7935	7.3638	6.2358	-2.2653	-4.5713	3.4654	-7.0395	1.9926	5.5949	-2.023	2.1428	-1.5086	-7.3606	-4.6261	-0.6115	-7.2004	-2.0601	3.6802	4.7621	1.9693	5.3693	7.0611	0.4496	3.6743	1.3394	6.7299	-5.5563	-6.2429	-6.9818	4.8241	-4.2292	-2.1026	6.0347	0.2278	1.6371	-5.5826	-7.1229	-7.1793	4.519	8.8127	3.8816	5.9404	6.2209	5.8229	4.8456	6.2925	-4.8511	-5.5502	7.9743	2.1175	-1.46	6.5373	-1.8642	-1.5856	-5.233	2.7718	2.113	7.4929	6.1177	0.8911	0.9816	-6.2697	6.3137	10.7235	7.994	7.2099	7.2485	6.3105	-7.0873	3.1508	-2.1629	7.6132	-3.7187	5.7214	2.1682	1.2316	-0.0045	9.0066	-1.2848	-5.5467	-1.1145	5.0151	1.0268	7.8885	3.7844	-0.5835	-2.0993	-6.2121	-7.2405	-5.2337	-7.1892	-5.6256	5.7339	4.5226	6.3588	0.963	2.6015	7.732	5.3502	3.5316	5.6506	-2.7906	-2.5029	-0.5758	-7.0765	4.6816	3.61	-2.9244	-2.5083	-0.3004	4.2193	7.7847	7.722	7.8958	5.4996	0.3868	4.9825	-6.2962	0.3537	-7.365	0.7426	3.9432	0.4054	-4.6232	-2.3341	-7.2922	-7.2691	-7.3643	3.3966	-5.2092	-7.2113	-7.1071	-7.1079	-7.3407	-7.1152	-6.9265	-7.2292	-1.5099	-7.157	-4.4553	8.3089	0.8079	4.9452	-0.8141	-1.8973	-6.0747	-4.7169	6.0277	4.5848	-7.087	-7.1604	-7.2342	6.39	-2.1565	-0.0943	1.4047	-7.1897	-0.926	-5.1713	-0.8715	-4.9788	-4.5524	-1.9282	-7.1341	1.4384	1.3796	-5.549
D06-NF-R3	4.3348	2.8659	3.8205	-6.4398	0.4021	1.6438	0.3346	3.9027	3.1351	-5.1997	-0.2535	-8.3009	-8.294	-6.8433	-8.3037	-8.374	-2.068	-4.13	5.7307	0.357	7.7656	6.9032	-2.5557	-6.5475	3.3995	-7.4658	-2.4865	6.8481	-1.0676	3.1193	-5.4273	-6.3906	-1.9886	1.3134	-8.1695	-2.5498	4.2832	5.1768	2.8398	5.8273	7.9976	-0.0766	3.7633	1.974	7.1793	-8.4443	-8.3495	-8.1277	4.7744	-3.4585	-2.7847	6.5522	0.2896	0.874	-7.3576	-8.399	-8.4354	4.5913	8.5282	4.2486	6.0311	5.8343	5.1364	4.7703	7.4973	-8.5579	-8.4063	9.05	3.3368	-0.0898	7.736	-0.305	-0.3241	-1.055	3.9825	3.7055	7.5539	5.6211	1.5155	2.3029	-8.5197	6.5726	11.5882	8.9506	8.3014	8.2633	7.0249	-6.9069	3.9591	-2.5172	8.0839	-3.7618	6.9646	4.3127	1.4766	0.9185	9.597	-0.8179	-2.0762	-1.3214	5.282	2.8817	8.4965	5.033	0.3327	-1.0816	-8.3764	-8.4739	-8.4376	-8.2658	-6.0604	6.2715	5.7526	7.0657	-1.7883	3.4546	8.5748	3.0163	4.2135	6.3269	-2.1573	-2.4275	0.3109	-8.3221	5.6792	5.1563	-3.6212	-2.1154	0.3533	5.5218	8.3359	8.6717	8.5667	6.5179	0.1316	6.1605	-5.5943	1.9478	-8.1866	-0.7479	5.1869	-0.6502	0.1753	-5.4574	-8.2157	-8.2913	-8.2324	2.1064	-1.9763	-8.3146	-8.2414	-7.4876	-8.2427	-8.3212	-8.2256	-7.3232	-3.235	-5.5743	0.2684	10.4289	2.1	6.4007	-0.9859	-0.3417	-8.4088	-2.892	7.9859	6.7016	-6.4058	-5.5902	-5.8123	7.8043	-1.0211	1.8757	-8.3148	-4.515	-4.5579	-8.4703	0.4138	-6.7403	-7.2689	-1.2067	-8.3185	2.353	2.7046	-8.1797
D06-OF-R1	5.377	4.9068	-0.0181	-4.9161	4.3148	6.5069	2.2484	4.4433	6.1544	-3.315	2.8898	-6.9959	-6.9871	3.0079	3.4324	-2.3618	5.6248	-5.3248	1.0076	0.3139	4.6032	3.4139	0.2091	-7.0071	5.7659	-6.8172	6.412	2.9843	0.1163	-7.0707	2.8288	-7.0654	-6.8366	1.739	2.8664	-6.7317	3.5082	-4.6129	-7.0772	0.5039	2.9741	3.9386	3.1225	4.6627	3.2114	-7.0187	-6.8733	-6.9362	3.6042	-0.4458	0.5141	1.828	1.8375	2.8947	-7.055	-5.8363	-6.9344	4.967	6.1784	4.4608	1.1353	1.1243	4.337	5.9233	5.0785	-3.86	-3.1273	4.005	3.2838	-2.051	3.8744	-0.9418	0.1829	2.6075	-7.0993	5.8791	5.9538	3.6717	3.1922	3.1123	-5.9896	4.0071	8.4246	4.2151	4.0371	3.8696	-1.3413	2.177	-0.1314	-1.6141	7.1215	-7.0697	4.5748	-3.807	0.193	-6.0093	5.4032	0.6226	-5.4638	-7.0808	5.0003	-0.3768	1.2036	0.3982	1.8487	1.1796	-6.0408	-6.9905	1.7568	-7.0064	-2.3311	-3.7223	1.1742	1.6557	3.0947	1.8066	5.8422	7.8464	-0.5084	0.2691	-6.8776	-6.1326	-2.8217	-6.9181	-2.4919	1.3006	0.1357	1.3208	-1.1053	4.5502	7.2996	7.0813	6.8901	6.1507	1.218	5.399	-6.9996	6.6084	-7.1472	4.7617	2.4182	6.1885	-7.0475	-2.4664	1.6426	-6.0216	-7.0561	1.1842	-7.039	-6.8301	-6.9504	-6.8666	-6.8693	-6.9856	-7.0317	-3.8679	-4.0551	-7.0977	1.9597	8.5056	3.0209	7.671	-4.3236	0.248	-5.9441	0.4109	5.5887	5.3159	-1.0544	-0.512	-6.8151	7.6488	-1.8395	3.8178	3.562	-7.0111	1.6571	-6.943	-0.0389	-1.5925	3.2736	-4.7837	-6.8369	7.208	1.1446	-4.4645
D06-OF-R2	0.5508	-0.8753	0.0449	-7.5363	-2.8369	1.6135	1.9087	2.4682	1.2814	-5.5652	1.8961	-9.6227	-9.6082	-1.2995	-4.8709	-4.88	-2.5617	-5.6689	2.9644	-2.0037	7.5725	3.5194	-3.9769	-6.5802	2.0607	-7.5135	-1.9538	4.4123	-2.9705	2.053	-3.9454	-7.2349	-1.2749	2.0591	-6.9926	-3.4254	3.3734	2.9928	0.6916	3.6843	5.1986	-0.4695	1.4254	1.5985	5.8271	-1.5811	-9.4429	-3.3101	1.8463	-3.529	-4.0906	3.1142	-1.2081	1.1662	-4.3737	-5.0291	-9.4893	5.0327	6.8078	4.2582	4.0895	4.4083	5.3223	4.3094	3.7116	-9.6933	-9.6359	5.4618	1.0248	-2.7489	6.1663	-3.4491	-2.1424	-2.9319	3.1626	7.0144	6.5885	6.1312	0.6062	6.5629	-9.581	5.9997	10.966	7.4074	6.8527	6.6392	3.7323	-4.7447	3.3418	-3.5079	6.1892	-4.0644	6.0199	2.347	-0.6062	-1.2817	8.9694	-1.7745	-3.5454	-1.091	5.0713	-0.9217	4.7307	2.9376	-0.1697	-2.1938	-8.5819	-8.4176	-7.5462	-9.355	-6.4333	2.9134	4.2457	5.692	-1.8125	3.4983	7.3258	2.502	3.7586	5.3342	-3.9421	-1.7457	-0.8465	-9.3546	2.9153	4.8898	-2.4171	-4.6702	1.9432	5.0896	9.2548	11.2564	11.4387	9.1909	1.5942	6.443	0.8311	1.6357	-4.2633	2.1711	6.9006	3.1226	0.6404	-1.5732	-1.3977	-1.1538	-2.7584	3.2378	-1.5732	-9.4044	-9.3715	-8.4963	-9.5512	-8.0282	-9.4044	2.0181	0.2997	2.2491	1.1857	10.4321	3.5196	5.8627	-0.9314	-0.3615	-4.2512	-2.112	7.8924	6.5993	-6.3413	-3.4962	-7.2793	8.0587	-0.6515	1.626	-2.1556	-6.8754	-0.308	-7.9021	0.6245	-2.9326	-1.9277	-0.5328	-7.1968	3.4047	3.4333	-5.0594
D06-OF-R3	3.1257	1.3597	3.1559	-5.3699	0.579	1.0731	0.3146	0.1753	1.397	-8.2097	1.8189	-10.4767	-10.3481	-0.3622	-7.2301	-8.229	-2.4737	-6.2616	3.7505	-1.1973	8.6946	4.837	-3.1277	-4.5373	1.603	-8.2701	-3.0949	4.9739	-1.6899	2.5979	-4.7959	-4.5561	-2.7304	1.8123	-3.1415	-2.6523	3.5857	2.7472	0.4078	3.7941	6.2872	-0.5908	1.5513	1.5079	6.0472	-9.5679	-10.5137	-4.6932	2.4177	-3.8752	-3.3877	3.2339	-1.7524	2.4449	-4.1423	-5.3402	-8.9204	3.8067	7.7367	3.4698	4.7397	4.7168	4.7346	3.5753	4.8082	-10.1366	-7.9193	6.9049	2.3351	-1.9558	7.4126	-2.0373	-0.9723	-3.4556	1.3973	5.6974	6.1217	5.2603	-0.5682	4.9673	-10.7066	5.664	10.9885	7.5032	7.426	7.3304	5.4867	-4.711	2.47	-3.322	6.689	-3.8509	5.2518	2.8327	0.5672	-0.4725	9.7196	-1.1432	-2.5907	0.1297	5.9927	0.8308	6.5864	3.8938	0.7986	-1.1423	-10.4539	-10.2704	-10.5604	-10.5315	-4.9775	4.5704	5.1656	5.4077	-3.0318	2.4644	6.7321	1.511	3.6528	5.1634	-3.0883	-2.5941	-1.1797	-10.5753	3.5968	4.7117	-2.1381	-3.0594	2.0662	6.1493	9.4485	10.5881	10.3622	9.0415	1.9346	6.4607	-0.5448	1.8437	-4.5529	1.9621	6.9476	2.3673	0.5917	-2.7694	-3.2056	-2.3707	-2.7123	4.2737	-0.8042	-10.7301	-10.2598	-7.9273	-9.4663	-8.1121	-7.9744	0.7505	-0.5284	4.3371	0.0371	10.5062	4.2017	6.3607	-1.3863	-0.2318	-5.7346	-1.6388	7.2032	6.1382	-5.618	-3.7257	-4.1108	9.0875	-0.6363	2.1998	-3.8792	-7.2893	-1.2983	-8.5568	0.1074	-4.2365	-3.6235	-1.0069	-8.4566	3.819	2.9833	-5.5131
D06-OR-R1	5.4626	4.3969	4.6866	-2.6642	-1.8155	3.0221	0.2953	1.3329	2.3044	-7.0504	0.6283	-9.7427	-9.6094	-0.7282	-0.3698	-3.7057	1.8522	-4.9159	4.5786	-0.7847	8.3643	4.1484	-2.2101	-7.8906	4.0053	-5.1821	2.975	5.1638	-3.0692	0.3221	-0.0632	-9.681	-3.2018	2.6554	-0.4497	-4.573	2.8013	3.6992	1.5825	4.0689	5.8236	0.1248	1.2014	1.2452	3.3399	-9.712	-8.3218	-9.9542	1.1577	-4.2567	-3.9568	3.5603	-0.8582	0.2034	-8.2694	-9.7227	-9.9376	2.9189	6.0215	2.7944	2.916	2.1187	3.1088	4.0648	4.1737	-9.9553	-9.9651	6.5816	2.5111	-0.7649	6.9003	-2.3396	-1.0505	-0.9627	2.038	2.8858	4.7173	3.3274	0.8542	1.3204	-0.2415	5.2164	7.9786	4.9987	4.5464	4.3435	2.785	-2.54	3.4294	-8.9441	6.3035	-8.1828	5.0929	2.3994	-0.6982	0.1858	9.0443	-1.6125	-1.1748	-0.6088	5.6105	-0.544	4.6096	1.4051	-2.0193	-2.5587	-5.6358	-9.9234	-5.4908	-9.9674	-7.0401	2.8527	5.6533	6.1732	0.9818	5.1153	7.4814	4.5323	2.8841	4.7688	-3.3358	-2.1357	-1.0967	-9.892	3.1882	2.3224	-2.7478	-2.592	0.0224	6.4288	9.8692	9.2862	9.0995	7.4062	0.1063	6.4731	-2.8892	2.7881	-2.9235	2.0277	5.0488	2.8014	-1.5078	-3.2544	-0.025	-4.4698	-8.9038	2.7696	1.4689	-9.8307	-9.9528	-9.9216	-9.7256	-7.5098	-0.9418	-2.1956	-0.2627	2.0871	-2.0226	10.2603	3.0853	8.3886	-0.4684	0.6216	-2.4658	0.0665	7.6292	6.7317	-1.6279	-2.4342	-1.6013	9.4126	-0.2612	3.5369	-1.7957	-7.5629	-2.0358	-7.6361	1.4974	-4.997	-0.7595	-0.9261	-9.8606	4.7548	1.3046	-5.644
D06-OR-R2	6.1277	4.9241	5.4296	-2.0203	1.6463	4.946	4.2902	3.2173	4.037	-1.9759	0.4902	-6.2568	-6.2017	-5.0669	-5.0335	-6.0819	-3.9497	-6.3597	3.8952	-0.6491	7.588	3.8339	-2.0711	-6.1441	3.9504	0.8547	2.4823	4.7184	-3.3482	-0.6529	-3.9717	-6.2414	-4.6001	3.839	-6.1028	-5.29	2.1452	3.4586	1.6008	3.9434	5.2181	-4.574	0.81	0.0412	3.9847	-6.2279	-6.2827	-4.1722	0.2558	-6.2096	-5.9793	3.151	-0.4599	-3.0723	-6.179	-6.0815	-6.0906	3.6716	6.5685	2.8638	2.3559	3.1371	3.4296	4.2134	3.5819	-5.3844	-5.2251	5.9169	1.681	-2.027	6.1619	-2.2494	-1.8483	-6.3412	1.2935	3.3712	4.8295	3.6743	-6.3836	3.1788	-6.2951	4.8147	7.6009	4.1555	4.0567	3.8436	2.0455	-2.3314	2.5682	-6.2457	6.0376	-6.0434	4.8088	1.9604	-1.8334	-0.6952	8.4004	-1.5891	-1.4776	-0.9413	4.8458	-1.1124	4.3582	1.3902	-2.7647	-6.0967	-5.9238	-6.1719	-4.1445	-6.0626	-6.1855	2.2568	5.0159	4.0802	0.9269	2.3657	6.0735	5.647	2.8841	4.4768	-3.8838	-1.7598	-2.4176	-6.0975	3.3921	2.4137	-4.2646	-4.7371	1.421	5.6871	9.4127	9.1938	8.7941	7.2786	0.7095	5.8744	-4.6589	1.4598	-2.9826	1.6013	5.1586	1.9673	0.7777	-2.487	-3.7815	-1.2131	-6.0888	3.2767	1.2238	-6.1206	-5.9849	-6.5123	-6.0887	-4.6257	-6.2028	-3.1066	-0.6111	-3.8069	-3.1618	10.1451	2.5631	8.2996	0.7728	1.3381	-6.1396	1.0889	7.3691	6.5489	-4.2514	-0.0439	-4.6781	9.2724	0.1829	3.201	1.7168	-5.956	-0.1485	-6.1841	1.506	-6.0868	-4.5945	-0.5328	-4.223	3.876	-3.0066	-3.7845
D06-OR-R3	7.2643	6.5084	5.3132	-1.2735	-0.6361	0.2052	0.3199	3.0029	1.7446	-4.209	0.5176	-9.9822	-10.0535	-3.4478	-4.852	-10.3083	-1.6089	-4.9832	5.0543	-0.8048	8.5801	5.7015	-3.1229	-6.8564	3.4323	-5.5657	-5.0292	5.3253	-4.8117	0.7193	-5.195	-3.6855	-2.5939	1.5619	-4.0613	-3.6025	3.0407	4.2767	2.699	5.238	6.2095	-2.4533	1.5527	-0.1012	5.2213	-2.2033	-10.1701	-7.4377	1.612	-4.2911	-4.0872	4.021	0.2693	0.4714	-3.9368	-4.3798	-9.0139	3.2838	6.0482	3.568	3.3251	3.7816	4.5257	4.4826	4.2596	-9.9372	-8.4198	6.7929	2.4876	-0.982	7.116	-1.1547	-0.712	-9.1147	2.8334	2.1665	5.0795	3.3547	0.3151	1.2305	-9.9921	5.9251	8.1611	5.0562	4.766	4.3732	3.361	-6.7182	4.0476	-4.8981	7.0173	-4.0393	5.6797	2.8251	-1.0355	0.7044	9.317	-1.505	-1.2252	-0.0195	5.8178	0.1069	5.2687	2.2222	-0.5916	-3.8779	-9.9277	-10.134	-9.8263	-9.8862	-1.7654	3.1215	5.8744	5.2655	-2.4484	2.6816	7.1039	1.5217	3.7171	5.5279	-3.0908	-1.9118	-0.2262	-10.168	4.2347	3.4163	-2.9886	-3.6756	0.3415	6.0526	9.8012	9.7734	9.1495	7.386	-0.2378	6.3943	-0.9388	1.3576	-2.4744	1.221	5.4116	1.6613	0.0397	-3.1797	-3.4243	-3.1076	-7.4856	2.439	1.6486	-9.8491	-10.0179	-9.8866	-10.1104	-0.0389	-1.5185	-0.8149	-0.3817	2.2467	-2.4211	10.8987	3.1971	8.661	0.5658	1.0157	-4.7165	-0.3983	8.0298	7.327	-4.6484	-1.036	-2.9274	9.7286	-0.0619	3.5482	-2.8085	-6.3556	-2.523	-6.4858	1.6995	-5.1118	-3.2785	-0.1117	-9.3018	4.1718	1.0257	-5.7375
D06-ZF-R1	1.9509	0.3629	0.3798	-7.5252	-3.2477	-0.6775	-1.5657	-0.6854	0.5882	-6.9291	1.0314	-10.45	-10.6928	-1.6815	-9.1005	-4.4546	-1.4732	-5.0404	5.4393	-0.4267	8.7574	6.811	-2.1014	-3.5774	0.0959	-7.6075	-1.1987	4.153	-1.8587	1.0183	-4.1068	-1.0826	0.47	2.3686	-1.3117	0.083	3.7904	4.181	1.3346	5.0681	6.4251	-0.3178	0.9989	0.7368	4.1908	-1.9565	-4.2676	-4.8857	1.7531	-3.4746	-3.2244	5.2504	-0.5176	3.0281	-2.8538	-4.2031	-7.8561	5.1392	7.0583	4.2411	4.1344	4.2709	5.556	3.0706	4.3355	-10.7144	-10.4394	6.083	1.9362	-1.5234	6.8774	-1.3405	-1.196	-2.0825	3.5676	6.7437	6.5372	6.6653	1.0267	5.804	-8.3959	6.3	11.1206	6.337	6.8196	7.0736	3.2349	-4.2896	2.998	-3.2314	7.0217	-3.2747	4.0616	2.2723	1.787	0.5566	9.8156	-1.2612	-2.1778	0.1596	6.271	-0.17	5.6077	3.7444	-0.522	-0.3944	-10.4629	-10.6535	-7.4847	-10.5591	-2.6756	5.295	5.2549	4.9439	-2.0178	4.295	7.0468	1.9401	3.7431	5.5601	-2.3546	-1.3636	-0.3493	-8.7113	3.7725	4.0373	-2.7663	-2.7568	1.6062	5.259	9.296	8.8784	9.3137	8.3251	-0.2253	6.2443	-0.0825	1.225	-5.3319	2.0712	5.6981	1.0892	-0.3113	-4.5449	-9.6198	-3.8007	-2.7629	2.5873	-0.2072	-10.6817	-10.7176	-9.0452	-8.6541	-9.1899	-7.5091	-1.5802	-0.8797	3.6425	-1.6425	9.3035	4.7635	6.3467	-1.0244	-0.8146	-5.6343	-2.5546	6.7673	5.5843	-4.2597	-3.9144	-4.5399	7.6579	-1.4902	1.6216	-4.3797	-8.4589	-1.9601	-9.5399	-0.3724	-4.5588	-4.3821	-0.7314	-10.6751	4.006	1.2848	-7.3575
D06-ZF-R2	1.642	0.3126	-0.0181	-9.5081	-3.1991	0.0264	-0.0801	2.0168	1.581	-6.9964	1.0283	-10.5884	-10.3739	-3.3627	-6.0824	-5.1073	-1.8092	-4.9962	5.3684	-0.1159	9.1637	6.8877	-2.0629	-3.1993	0.2458	-6.2423	-3.7266	4.1808	-1.5932	0.8636	-3.6803	1.8549	1.2999	1.9463	-1.2135	-0.1094	3.7068	4.3387	1.2124	4.9493	6.6568	-0.6411	1.5986	0.4911	4.3713	-2.8272	-4.4033	-4.0618	2.2973	-3.784	-2.6838	5.1249	-0.2714	3.2146	-2.4861	-4.2123	-8.4451	5.676	7.1834	4.2726	4.0581	3.8775	5.0295	3.9905	4.365	-10.5146	-7.6947	6.224	2.0126	-1.473	6.998	-1.2755	-1.048	-1.9919	4.5041	6.8435	6.8428	6.0834	1.7966	5.9998	-9.5297	6.1284	11.054	7.0504	6.8863	7.0081	3.4126	-5.0264	3.0079	-3.1836	7.17	-2.9132	4.1899	2.7157	1.6423	0.6822	10.016	-0.9883	-1.6427	1.0051	6.5758	0.2781	5.7771	3.4918	-0.3069	-0.7832	-10.64	-8.8493	-8.8013	-10.553	-2.399	5.642	5.5832	4.9013	-2.5397	2.8763	6.7324	1.5635	3.632	5.5214	-2.448	-1.47	-0.5264	-8.9292	3.8835	3.9445	-2.7712	-3.0326	1.1892	4.8692	8.6924	8.3158	8.8111	7.1375	-0.3388	5.8365	-0.9736	0.6855	-5.2005	1.1085	5.1767	1.1849	-0.5166	-4.6151	-7.3152	-3.8593	-7.5382	2.306	-0.6151	-10.4201	-10.5184	-8.4889	-9.5416	-10.5498	-7.308	-1.1748	-0.9361	2.4477	-1.9348	9.0792	5.1004	6.4508	-1.1115	-0.9703	-7.6589	-2.6179	6.7772	5.476	-4.5058	-3.8883	-3.6533	7.6891	-1.463	1.5154	-4.9066	-8.1982	-2.2781	-9.5473	-0.0814	-4.8207	-3.7712	-1.5181	-10.463	3.5319	1.9609	-7.3406
