Saccharomycetes	Eurotiomycetes	Sordariomycetes	Agaricomycetes	Malasseziomycetes	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Verrucomicrobiae	Lentisphaeria	Bacilli	Clostridia	Erysipelotrichia	Negativicutes	Actinobacteria (1760)	Coriobacteriia	Bacteroidia
D06-NF-R1	-4.8297	-4.4236	-1.0605	-1.8389	-2.2221	0.5334	-0.0104	-0.0857	-2.3086	-4.982	-7.1901	0.2688	8.8129	-1.7377	1.4557	7.7493	5.3469	6.5222
D06-NF-R2	-3.0763	-2.4411	0.4278	-2.2996	0.6126	1.3679	0.1897	0.6374	-2.7881	-5.2936	-7.879	0.656	8.6775	-2.2276	-0.4652	4.4585	3.2447	6.1986
D06-NF-R3	-2.346	-1.8465	0.7553	-2.1269	-3.1432	1.3722	-0.086	0.1668	-2.4624	-5.5324	-6.6483	-0.2554	8.6477	-1.4956	0.3981	4.2764	3.4442	6.8819
D06-OF-R1	-3.4805	-3.0898	-0.103	-2.5274	0.7524	1.8648	0.2202	1.6386	-2.0871	-0.1873	-5.6439	1.8778	5.0912	-1.1836	-0.7652	3.2254	-0.697	5.0945
D06-OF-R2	-2.7219	-2.969	-0.3965	-4.118	-2.5469	2.1004	-1.2765	0.7304	-3.3053	-4.42	-8.5409	1.5188	8.2057	-0.3139	1.9305	3.9137	3.2619	8.9476
D06-OF-R3	-3.8686	-4.3662	-1.3426	-3.4275	-2.619	1.196	-0.685	1.3918	-2.592	-4.7838	-6.5636	1.0424	8.8821	-0.4031	1.6192	3.806	3.6746	9.0395
D06-OR-R1	-4.2704	-2.0207	-0.7832	-3.5502	-0.9274	0.6169	-0.3002	0.8465	-2.3353	-2.0805	-7.5721	1.1162	7.237	-1.3348	-0.0187	4.5274	2.5201	8.3293
D06-OR-R2	-2.4668	-2.5286	0.2039	-2.7761	0.9223	2.452	0.7994	1.1643	-3.3783	-5.4427	-8.0345	1.1629	6.8623	-3.2783	0.3779	3.5253	2.3607	8.0743
D06-OR-R3	-2.3272	-2.2447	0.3948	-2.9586	-3.6754	1.2636	-0.427	0.5224	-2.5784	-4.6904	-6.6714	0.4714	7.7055	-1.5392	0.6224	3.891	3.553	8.6884
D06-ZF-R1	-4.0755	-4.8462	-0.946	-2.7755	-4.1745	0.958	-0.4351	0.8216	-2.0205	-4.2205	-6.389	0.282	9.0888	0.8302	1.8117	4.1246	3.7963	8.1696
D06-ZF-R2	-2.9326	-3.2387	-0.2142	-2.6204	-3.7926	1.3883	-0.5059	0.2999	-2.1627	-4.651	-6.8032	-0.0617	8.873	0.2746	1.5916	3.6026	3.4857	7.4673
D06-ZF-R3	-2.866	-4.1138	-0.9863	-3.6381	-7.2222	1.1177	-0.6664	0.7557	-1.9403	-4.0354	-6.5742	0.7045	9.513	1.5927	3.1544	3.3894	3.3841	8.431
D06-ZH-R1	-1.9307	-3.8787	-0.9846	-4.1702	-0.5152	2.4246	-0.5397	2.4125	-2.6821	-1.5845	-9.4436	1.8923	7.357	-1.2695	-0.0193	2.4064	0.146	10.3792
D06-ZH-R2	-1.4098	-1.6812	0.7868	-3.1916	0.0603	2.684	0.98	1.6394	-3.1924	-4.547	-9.0043	1.919	6.804	-2.3245	-0.2375	1.9642	-0.8231	9.5736
D06-ZH-R3	-2.2435	-2.5922	0.2192	-3.2452	1.9145	2.6788	0.44	1.8289	-3.007	-4.5462	-11.3442	2.3081	6.9765	-1.5526	-0.4926	2.9561	0.1824	9.5191
D06-ZR-R1	-3.133	-4.5071	-1.0609	-2.4787	-2.8426	1.1937	-0.2594	1.4	-2.4541	-4.2013	-6.7648	0.1801	8.1481	-0.4311	0.4217	4.1074	3.6738	9.0082
D06-ZR-R2	-3.3247	-4.4661	-0.7846	-2.4706	-2.7783	1.3049	-0.3661	0.523	-2.3415	-4.8648	-6.572	0.2256	8.3019	0.4567	1.1731	3.712	4.0005	8.2711
D06-ZR-R3	-2.6985	-4.5361	-1.181	-2.9745	-2.3003	1.0741	-0.3475	1.574	-2.4102	-4.3516	-5.8455	0.1791	7.9724	-0.3404	0.3386	3.8923	3.007	8.948
D07-NF-R1	-4.4372	-3.5177	-1.6169	-4.5006	-2.163	0.0786	3.9513	1.7683	1.214	-5.3851	-0.099	0.3904	7.222	-0.7119	-1.435	1.9597	0.4587	6.8236
D07-NF-R2	-3.3453	-2.9454	-0.4504	-3.9403	-2.2031	0.5964	3.4775	1.812	0.5186	-5.2744	-1.2204	-0.3679	7.1182	-1.0292	-1.9581	1.6373	0.8501	6.7244
D07-NF-R3	-3.5753	-2.9483	-0.503	-3.9976	-4.011	0.6621	3.9365	2.1742	0.0942	-5.1934	-1.6442	-0.5348	7.5871	-0.2797	-1.6133	1.6041	0.8491	7.3935
D07-OF-R1	-4.3849	-2.6309	-1.9878	-5.3765	-4.8847	-0.8705	7.2953	1.2666	0.5437	-5.3009	2.3681	-0.6965	6.7014	-0.3985	0.4655	-0.2054	0.9967	7.0994
D07-OF-R2	-4.7066	-2.6681	-1.6491	-5.2504	-4.5185	-0.5578	6.4127	0.966	0.5886	-6.1572	1.7284	-0.3633	7.0946	-0.3483	0.9546	0.2445	1.7894	6.4406
D07-OF-R3	-4.6493	-2.3205	-1.6165	-5.0867	-1.6341	9e-04	6.4668	1.389	0.3622	-6.3134	1.2621	-0.5625	6.344	-0.9969	-0.0942	0.3016	0.3769	6.7705
D07-OR-R1	-2.5052	-3.4968	-0.6679	-3.7666	-0.1344	3.6366	2.1933	1.0044	-0.9078	-7.2554	-0.7211	2.8294	5.4705	-2.4636	-1.7263	2.7742	0.7562	4.9805
D07-OR-R2	-2.3349	-2.0584	0.4651	-3.5535	-0.1546	1.3908	2.5189	0.7246	-1.0174	-5.2226	-0.6277	0.2826	5.6664	-1.5637	-1.1387	1.6933	-0.0724	5.0021
D07-OR-R3	-3.0786	-2.7879	-0.1479	-3.5546	1.4659	1.4332	2.5746	0.639	-0.3332	-5.7548	-0.3052	0.8632	5.3737	-2.4407	-1.6791	2.4376	-0.5231	5.8179
D07-ZF-R1	-5.2045	-3.0621	-1.7803	-5.0642	-4.8379	-0.826	7.4312	0.9076	0.2543	-4.7926	2.682	-1.0994	7.8389	-0.2661	-1.5486	0.5995	1.5678	7.2003
D07-ZF-R2	-4.8662	-2.8596	-1.6988	-5.3015	-3.84	-0.7322	7.9008	0.8071	-0.4869	-5.925	2.4883	-0.8359	8.004	0.1182	-1.596	1.0446	1.3443	6.4348
D07-ZF-R3	-4.4104	-2.517	-1.2201	-4.8305	-8.4233	-0.4118	7.4117	1.2907	-0.2871	-5.5898	2.1197	-0.5518	8.3152	0.5914	-1.1171	1.1946	1.1986	7.2369
D07-ZH-R1	-3.839	-2.0599	-1.4382	-5.0079	-1.1968	0.6503	6.995	2.0431	0.9642	-5.3813	1.642	1.1831	5.999	-3.2144	-3.7334	1.7175	-2.6823	7.3589
D07-ZH-R2	-2.6678	-1.7753	-0.0353	-4.0349	-1.6453	0.8885	6.3282	1.3585	0.3193	-6.1103	1.4922	-0.4408	5.8232	-2.6287	-2.9888	0.5536	-1.3684	6.9321
D07-ZH-R3	-2.9668	-2.1522	-0.491	-4.3754	-3.7033	0.6377	6.7679	2.6545	1.1028	-4.6679	1.9236	-0.8784	6.1857	-2.0874	-3.6235	-0.2936	-1.9612	7.9286
D07-ZR-R1	-4.4481	-0.4501	-2.0047	-5.8753	-5.182	-1.1942	9.3237	0.5553	-0.77	-5.8635	3.9295	-1.3244	7.0481	-0.6883	-1.7663	-0.4513	1.5029	7.6587
D07-ZR-R2	-4.4149	-2.1047	-1.0141	-4.8686	-4.1373	-0.1494	7.8414	0.8582	0.3362	-6.2703	2.2763	-1.3725	7.4529	-0.6702	-1.6234	0.4135	0.5939	6.8534
D07-ZR-R3	-3.3329	-0.7775	-1.1811	-5.4087	-6.2786	-0.5425	8.84	0.3896	0.2792	-6.2668	3.426	-1.2703	7.7886	-0.1768	-2.9988	-0.5389	0.8377	7.2119
