Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D08-ZR-R2	-1.5611	-3.6778	3.9788	-3.9777	-8.4603	6.0254	0.1734	7.4994
D08-ZR-R3	-2.0619	-2.9576	2.5593	-4.4398	-8.1282	6.0474	1.2964	7.6844
D09-NF-R1	-2.6922	-3.8373	2.2531	-6.1619	-1.8102	5.8534	1.7717	4.6234
D09-NF-R2	-1.979	-3.7098	2.181	-6.256	-1.965	5.7858	1.6668	4.2762
D09-NF-R3	-0.5898	-2.8197	1.5487	-6.3037	-2.8171	5.8212	1.1628	3.9977
D09-OF-R1	-2.8127	-4.658	4.2749	-6.5031	-1.1546	4.7314	0.6038	5.5183
D09-OF-R2	-3.1189	-3.8246	3.9884	-7.3101	-1.4862	4.7551	1.7054	5.2909
D09-OF-R3	-2.5879	-4.9192	4.0301	-6.4316	-1.837	5.0231	1.0587	5.6638
D09-OR-R1	-0.8339	-1.4115	2.3737	-6.9577	-1.6101	3.2811	1.0082	4.1502
D09-OR-R2	-0.2194	0.2322	2.4639	-6.2438	-3.75	2.611	1.6738	3.2322
D09-OR-R3	-0.2048	-2.5576	2.5896	-6.6288	-1.482	3.8698	0.2722	4.1415
D09-ZF-R1	-3.4455	-5.3504	4.7238	-7.108	0.7402	4.6385	0.284	5.5175
D09-ZF-R2	-3.09	-3.9376	4.2365	-7.0537	-0.417	4.7982	0.5742	4.8893
D09-ZF-R3	-2.5632	-5.0363	4.439	-7.0973	0.0632	4.7355	0.1454	5.3137
D09-ZH-R1	-2.0315	-2.1153	3.7584	-7.3461	-1.2491	3.1995	0.3722	5.4121
D09-ZH-R2	0.5356	-1.0336	2.679	-6.4072	-2.5747	2.3727	0.0257	4.4024
D09-ZH-R3	-0.7591	-2.6286	3.7253	-6.8178	-1.1988	3.33	-0.4962	4.8452
D09-ZR-R2	-3.2493	-5.2202	4.5806	-7.0661	-0.4319	4.9059	1.0481	5.433
D09-ZR-R3	-3.1001	-5.4077	5.1871	-7.1823	-0.0045	4.3255	0.4033	5.7787
D10-NF-R1	-1.7636	-2.4434	0.3719	-4.5132	-5.8409	6.6339	2.9771	4.5783
D10-NF-R2	1.1814	-0.6916	1.5723	-4.7367	-9.4615	5.3354	1.3546	5.446
D10-NF-R3	0.7693	1.8567	2.9527	-5.4572	-13.0077	6.063	3.3021	3.5211
D10-OF-R1	-0.0024	-0.0841	1.4638	-2.3278	-7.8909	3.5864	2.3671	2.8878
D10-OF-R2	-1.8201	-1.8738	1.516	-7.1129	-9.4879	6.3631	4.4769	7.9386
D10-OF-R3	-1.7089	-1.32	1.0521	-6.7813	-8.9599	6.2236	3.7011	7.7933
D10-ZF-R1	-2.197	-3.6801	0.8599	-5.0524	-8.7773	6.7573	4.872	7.2176
D10-ZF-R2	-1.8734	-3.0314	0.614	-6.4816	-8.1737	6.9163	4.8219	7.2079
D10-ZF-R3	-1.9035	-4.4924	0.4167	-6.5558	-7.6311	7.4326	4.9992	7.7342
D10-ZH-R1	1.599	-0.6388	1.4896	-6.4257	-11.2292	4.6056	1.626	8.9735
D10-ZH-R2	-0.0199	-0.6916	1.8957	-5.8757	-7.8359	3.6987	0.7281	8.1006
D10-ZH-R3	0.6461	-1.6793	1.7199	-5.2979	-9.8269	4.9034	-0.0817	9.6163
D10-ZR-R1	-1.4963	-1.9759	0.8202	-7.2117	-9.2692	6.582	4.7341	7.8168
D10-ZR-R2	-1.6028	-2.1922	1.0233	-6.747	-9.4905	6.5138	4.5019	7.9936
D10-ZR-R3	-1.8958	-4.5363	0.6125	-6.7287	-7.7102	7.507	5.2846	7.4669
