Bromoviridae	Virgaviridae	Saccharomycetaceae	Malasseziaceae	Moraxellaceae	Pseudomonadaceae	Enterobacteriaceae	Rhodospirillaceae	Comamonadaceae	Sutterellaceae	Desulfovibrionaceae	Akkermansiaceae	Staphylococcaceae	Streptococcaceae	Lactobacillaceae	Leuconostocaceae	Clostridiaceae	Lachnospiraceae	Eubacteriaceae	Oscillospiraceae	Ruminococcaceae	Candidatus Borkfalkiaceae	Erysipelotrichaceae	Selenomonadaceae	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Micrococcaceae	Corynebacteriaceae	Propionibacteriaceae	Coriobacteriaceae	Atopobiaceae	Eggerthellaceae	Bacteroidaceae	Rikenellaceae	Prevotellaceae	Odoribacteraceae	Barnesiellaceae	Tannerellaceae
D02-OF-R2	-1.4177	3.6605	-4.3935	-3.1767	0.7234	-1.1787	-0.4032	-3.075	-3.1768	1.8414	1.3088	-5.1039	-2.1586	2.232	0.5241	-6.3992	5.8176	5.5993	2.5451	5.1351	7.0866	-6.9375	1.1409	-2.3281	4.3351	-2.1919	-0.6926	-4.1758	-4.2598	-1.7485	-0.2712	-2.5179	2.4741	7.4148	3.5637	-1.6407	2.9079	-5.5425	4.4794
D02-OF-R3	-3.3687	5.1256	-4.6242	-6.662	1.9556	-2.5598	-0.8036	-3.4571	-4.4095	2.0051	1.4022	-4.6616	-0.8968	3.0749	0.4027	-7.0549	6.6903	6.7803	3.8928	5.6184	7.5588	-7.2696	2.1418	-2.7299	4.4391	-1.7064	-0.6595	-4.5546	-5.017	-3.9499	-0.2388	-2.5647	1.7152	8.4367	3.3402	-0.7771	3.6674	-5.1806	4.8992
D02-OR-R1	-6.6529	8.8423	-4.7731	0.5665	-0.9368	0.0681	0.8761	-2.6255	-0.2317	-0.0513	0.3033	-1.4375	0.8726	0.2141	-1.9239	0.686	4.1747	4.999	1.8232	4.0728	6.023	-4.8112	-0.1385	-3.4387	-1.2677	-1.8753	0.0321	-1.5242	-1.0811	2.4404	-1.2165	-3.0617	0.7504	5.516	4.9235	-1.8286	0.6628	-12.4693	3.4987
D02-OR-R2	-8.3331	8.052	-2.648	3.202	1.0291	1.0869	2.8072	-1.0667	1.426	-0.0957	-0.6635	-5.7809	2.3063	-0.0487	-2.0452	0.3434	4.0129	4.7349	0.1224	3.2455	4.3153	-8.405	-1.0858	-3.5401	0.0849	-2.4162	0.1767	-0.0454	1.6121	4.3555	-2.5244	-7.0741	-1.1013	4.7901	4.2192	0.6814	0.0103	-8.4548	2.715
D02-ZF-R1	-0.8905	3.1318	-5.501	-3.7261	2.0708	-1.8105	-0.5516	-3.6542	-3.6968	1.2824	0.2723	-4.7855	-1.1777	1.7334	-0.6544	-4.6236	5.2825	5.6915	2.3854	4.3405	7.6762	-6.1028	1.6401	-2.1455	0.7298	-1.9455	-1.0114	-4.3702	-4.386	-1.5778	0.3659	-2.1613	2.1677	8.2302	5.2183	-0.6382	3.8532	-5.6146	4.9531
D02-ZF-R2	-0.0973	2.9964	-5.2284	-3.2356	0.6078	-1.2872	-0.1197	-3.0416	-3.2405	0.9516	0.4735	-5.6493	-1.1029	2.2241	0.1299	-6.0353	6.0983	6.1598	2.6162	4.2785	7.8169	-5.5647	1.5985	-0.6625	0.5354	-2.4322	-0.7543	-4.3595	-4.0624	-1.9219	0.7577	-1.9246	2.5609	7.1123	4.181	-0.6091	2.7324	-6.7035	4.2014
D02-ZF-R3	0.6209	4.069	-4.9485	-3.489	0.9595	-2.0586	-0.8015	-3.5324	-4.1269	1.2795	0.2722	-5.135	-1.2575	2.1136	-0.1679	-6.1524	5.9821	5.9831	2.4354	4.2787	7.3652	-5.2452	1.5484	-2.0353	0.8785	-1.9915	-0.6474	-4.3808	-4.582	-2.5759	-0.1311	-2.3938	2.6039	8.1032	4.9854	-0.9673	3.392	-5.157	4.9066
D02-ZH-R1	1.6041	2.8033	-3.1118	-1.6156	3.4769	-1.1215	0.4022	-5.7048	-1.7539	2.4306	1.3899	-3.101	1.3289	-1.0226	-0.829	-2.5149	4.0066	3.7797	1.6978	3.6355	6.2272	-6.5323	-0.4968	-5.0994	0.4611	-2.2077	-2.1807	-3.6494	-3.3024	0.0242	-3.8231	-5.1546	-1.4767	9.4961	4.9721	0.6394	4.1147	-3.8349	6.0426
D02-ZH-R2	3.0321	2.7009	-1.7274	0.6764	3.3536	2.1354	1.9721	-3.8905	0.0861	1.9356	0.8778	-5.3653	2.6256	-1.3869	-1.5275	-3.5547	3.6174	3.7365	1.3163	3.2362	5.7635	-8.4467	-2.3406	-5.7157	0.4123	-3.4526	-2.7161	-2.3149	-1.0679	1.663	-5.7013	-7.1135	-3.0679	8.807	4.6011	-0.1316	4.2092	-2.874	5.6372
D02-ZH-R3	0.8639	2.8898	-2.0925	-2.7695	3.3715	-0.0197	1.6877	-5.319	-1.9035	2.1781	1.2995	-5.7207	0.6118	0.3346	-0.7401	-5.9653	4.0856	4.2761	1.7521	3.8289	6.4132	-6.6684	-0.2525	-4.4086	0.6278	-2.8729	-2.7251	-2.9765	-3.1804	-1.6509	-2.5967	-4.7296	0.5306	9.4926	4.7788	0.7071	4.0744	-3.3797	6.1678
