Tymovirales	Saccharomycetales	Polyporales	Malasseziales	Pseudomonadales	Enterobacterales	Rhizobiales	Rhodospirillales	Burkholderiales	Desulfovibrionales	Verrucomicrobiales	Victivallales	Bacillales	Lactobacillales	Clostridiales	Candidatus Borkfalkiales	Erysipelotrichales	Selenomonadales	Acidaminococcales	Veillonellales	Bifidobacteriales	Micrococcales	Corynebacteriales	Propionibacteriales	Coriobacteriales	Eggerthellales	Bacteroidales
D04-OF-R1	-2.9594	1.8596	0.8092	0.3594	0.7078	1.0136	0.1405	-1.7038	1.7345	0.8091	-2.7938	-4.8366	0.6253	-0.8524	8.4242	-5.8142	-0.2693	-2.0275	-1.7687	-0.4429	1.858	-0.6651	-1.527	-1.0721	2.3284	-0.8401	6.9032
D04-OF-R2	-4.8108	0.7948	-0.1005	0.085	0.7036	1.7188	0.188	-1.7158	1.5267	0.8296	-3.1287	-5.7642	0.4449	-0.4101	8.6588	-5.5937	0.0312	-1.5074	-1.3325	0.4089	2.4053	-0.4122	-1.0014	-0.091	2.1537	-1.2101	7.1291
D04-OF-R3	-5.1675	0.9186	-0.1306	-0.6798	0.3457	0.9214	0.2587	-1.5296	1.6578	1.2178	-2.9709	-5.6853	0.18	-0.4648	8.924	-5.5427	0.3035	-1.6303	-0.8755	0.9412	2.9908	-0.1573	-0.9996	-1.7519	2.3539	-0.7454	7.3178
D04-OR-R2	-3.7263	-0.6483	-1.9086	2.4478	1.1153	2.5948	1.1748	-1.2725	2.0259	0.4099	-3.8889	-5.8196	2.5285	0.8705	7.6011	-6.8945	-2.0994	-1.4676	-4.4862	-1.3251	2.3369	0.2664	1.5738	3.5474	1.2375	-1.5252	5.3316
D04-OR-R3	-3.4298	0.1355	-1.5438	3.0914	1.4666	2.2105	0.9788	-1.0394	2.0065	0.8935	-3.4951	-10.0191	2.8748	0.9385	8.0312	-8.1661	-0.984	-1.9862	-4.0959	-1.5225	2.3575	0.7867	1.7165	3.2456	0.986	-1.3406	5.903
D04-ZF-R1	-4.5364	2.7456	1.2257	0.9699	1.7665	1.3192	0.6697	-1.1543	1.4031	0.0382	-2.6	-5.6748	0.0586	-0.9269	7.7484	-6.5564	-0.1956	-1.155	-3.3534	-0.7129	2.6215	-0.3591	-1.2227	-0.5994	2.9218	-1.1494	6.708
D04-ZF-R2	-4.2406	2.8371	1.1174	1.0027	1.9158	1.9657	0.5423	-1.2438	1.5961	0.0312	-2.565	-5.9352	0.2357	-0.7876	7.7883	-6.574	0.0596	-1.2243	-3.4074	-0.9121	2.0682	-0.3241	-1.0161	-0.7435	2.2405	-1.3556	6.9289
D04-ZF-R3	-4.1131	2.9483	1.3167	1.0141	1.8744	1.4747	0.6974	-1.1422	1.529	-0.0315	-2.5704	-5.5543	-0.0818	-0.8214	7.8061	-6.6404	0.2913	-1.2947	-3.1513	-1.0697	2.1661	-0.2421	-1.2337	-0.8279	2.306	-1.5263	6.8766
D04-ZH-R1	-5.0764	2.4257	0.0176	1.1357	2.2507	2.3633	-0.2864	-1.7038	2.464	2.0797	-2.9845	-5.3176	1.1667	1.199	8.2533	-8.4185	-1.5489	-0.3034	-4.011	-2.2668	1.1895	-0.544	0.0697	2.434	0.1585	-3.6616	8.9154
D04-ZH-R2	-5.3918	2.0142	-0.4269	1.9448	2.2167	2.6664	1.2287	-0.1673	2.5617	1.4149	-3.2213	-5.3564	0.4352	1.0228	7.7831	-8.1819	-2.0059	-0.1134	-5.4038	-2.3429	1.3197	-0.0607	0.5755	2.4289	-0.2701	-3.2933	8.6233
D04-ZH-R3	-4.8017	2.6331	0.2007	1.6823	2.5126	1.6855	-0.0416	-1.4363	2.3704	1.999	-1.8565	-5.8258	0.6216	0.396	7.9757	-7.1204	-1.3678	-0.4808	-3.6301	-2.4136	1.0434	-0.8424	-0.0646	1.4763	-0.0732	-3.6518	9.01
D04-ZR-R1	-3.2785	3.3199	1.6963	1.2288	2.1217	1.3531	0.6948	-1.1964	1.6226	-0.3642	-2.537	-5.2613	-0.2378	-0.5307	7.5009	-6.7874	0.0714	-1.3266	-3.7191	-1.5586	1.9481	-0.4084	-1.4911	-0.6987	1.9574	-1.6728	7.5538
D04-ZR-R2	-4.4474	2.9413	1.2107	0.8252	1.9556	1.9415	0.5084	-0.1342	1.4319	-0.2894	-2.6205	-5.2677	-0.3509	-0.6009	7.7719	-6.773	0.0011	-1.6272	-3.4114	-0.597	1.8983	-0.3309	-1.1435	-0.9083	1.6235	-0.9017	7.2947
D04-ZR-R3	-2.7884	3.812	2.2717	1.7289	2.6104	2.0297	1.1004	-0.7198	2.1318	-0.1828	-2.2511	-4.7274	0.5272	-0.4556	6.3954	-6.3364	-0.6118	-1.1614	-4.3827	-2.3229	0.3627	-0.028	-1.2849	-0.9119	-0.0201	-2.8339	8.0491
D05-NF-R1	-12.2418	-2.783	-7.2205	-0.343	-0.002	0.4914	-1.1033	-3.1257	2.8433	1.6406	6.0341	-4.0414	0.8082	0.6699	7.8165	0.2716	-0.8335	-3.4931	-5.5519	2.132	3.0989	-0.417	-0.6049	1.4116	5.5802	1.7516	7.2112
D05-NF-R2	-12.5171	-1.7952	-6.2665	-0.5905	0.1338	1.6731	0.1945	-2.6305	3.3739	1.729	3.463	-4.5998	0.3918	-0.1504	7.407	-1.1442	-0.8059	-2.7766	-4.6913	3.4497	3.2034	0.6053	-0.3456	0.6547	5.2863	0.8247	5.9236
D05-NF-R3	-11.9824	-4.4294	-6.8694	-0.6371	-1.0931	0.4413	-0.739	-2.6359	2.8104	2.4999	5.7221	-3.1524	0.924	-0.5044	8.0268	-0.1041	-0.9875	-2.7008	-4.6983	3.238	2.8762	0.3476	-0.6771	0.0309	6.1216	1.6498	6.5223
D05-OF-R1	-13.7247	-3.3133	-6.4163	-2.1413	-1.1287	-0.6037	-1.0225	-2.4395	6.0217	1.7983	5.7104	-4.7007	1.4001	0.1331	7.421	0.2154	-1.2069	-2.7351	-4.513	4.3784	2.2599	0.793	-0.7485	0.7642	4.4174	0.9713	8.4098
D05-OF-R2	-12.0847	-1.6882	-7.6671	-0.0904	-0.6038	0.4476	-0.4863	-2.4756	5.3873	1.1901	5.1139	-5.2523	1.6639	0.2738	7.071	-0.7316	-1.4416	-3.0882	-5.1804	3.6818	1.9062	0.3722	-0.363	1.2776	4.103	0.9298	7.7351
