metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Temperature	unclassified.Myoviridae	Room Temp	-0.000443988827044386	0.000120251671912572	210	120	0.000287845407242936	0.00259617986661693
Kit	Marvinbryantia	Zymo	0.000584758983904423	0.000158662187582371	210	209	0.000294914863098888	0.00264289088854004
Kit	Bacteroides	Zymo	-2.92931225431875	0.796337245128388	210	209	0.000302673708546276	0.00269514550667321
Temperature	unclassified.Erysipelotrichaceae	Hot	-0.0861643518085927	0.0234551256439662	210	209	0.000308156483026146	0.00272659976753514
Temperature	Coriobacteriaceae..environmental.samples	Room Temp	-0.00477274835383126	0.00130010922810648	210	209	0.000311043424783623	0.00273483464055034
Temperature	unclassified.Peptostreptococcaceae	Room Temp	-0.000230418951444127	6.28868254189534e-05	210	163	0.000319123361020964	0.00278834036692067
Temperature	Diaporthe	Hot	0.000183955884911036	5.02823876547435e-05	210	61	0.000325683827938126	0.00282798752458075
Temperature	Lachnospiraceae..environmental.samples	Hot	-0.0147218592705366	0.00402871012660614	210	209	0.000330737607137189	0.00283663297409688
Kit	Aggregatibacter	Zymo	-0.000183558008253889	5.02270261229693e-05	210	32	0.000330339558611512	0.00283663297409688
Temperature	Paraclostridium	Hot	-0.000163692556575142	4.48516979173774e-05	210	37	0.000336327147256274	0.00286698385283092
Temperature	unclassified.Bacillales	Hot	0.00668796259115827	0.00183871699200119	210	208	0.000351779606612073	0.00298053266693138
Temperature	Parabacteroides	Hot	0.771983556001532	0.2124850846359	210	209	0.000357162825308506	0.00300791343241742
Temperature	unclassified.Christensenellaceae	Hot	0.002984360190241	0.000823663267039304	210	209	0.000370146584472733	0.00309859236582563
Temperature	unclassified.Actinomycetaceae	Hot	-0.00043563080733895	0.000120356186551586	210	153	0.00037522851991872	0.00312243732646649
Temperature	Lactonifactor	Hot	-0.000709446773282081	0.000196182577276299	210	209	0.000379676953175313	0.00314075964816029
Temperature	unclassified.Atopobiaceae	Hot	-0.000260527058676758	7.22238130831947e-05	210	79	0.000392291018253297	0.00322601672657711
