metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Kit	unclassified.Verrucomicrobia	Zymo	-2.39677706961177e-05	0.000244956192819879	210	188	0.922154749556123	0.950717064807861
Temperature	Thermoclostridium	Room Temp	-5.04402591764694e-06	5.60217078687731e-05	210	107	0.92834929581382	0.956398169158232
Kit	Lachnospiraceae..environmental.samples	Zymo	0.000295171801917354	0.00338479353276512	210	209	0.930596934081448	0.957302806361931
Kit	Chitinophaga	Zymo	-3.32771604468111e-06	3.814899713436e-05	210	80	0.930577731573691	0.957302806361931
Temperature	Salmonella	Room Temp	1.53708115508909e-05	0.000195646510196036	210	209	0.937459006676538	0.957852978865094
Temperature	unclassified.Rikenellaceae	Room Temp	0.000661313407758277	0.0080574396278967	210	209	0.934670496305666	0.957852978865094
Kit	Paraprevotella	Zymo	0.000239483921496687	0.00294653941315894	210	209	0.935304707812786	0.957852978865094
Kit	Neisseria	Zymo	3.38896961293351e-06	4.19836941984899e-05	210	147	0.935745709152775	0.957852978865094
Temperature	Chlamydia	Hot	8.85948546382751e-05	0.00114058279805168	210	136	0.938165356315593	0.957852978865094
Temperature	unclassified.Myoviridae	Hot	-9.87135480544187e-06	0.000120251671912572	210	120	0.934659183079216	0.957852978865094
Kit	unclassified.Comamonadaceae	Zymo	-3.3150457688427e-06	4.32257829469034e-05	210	101	0.938946877797138	0.957852978865094
Temperature	Novosphingobium	Hot	-4.98327644270844e-06	5.91142718211365e-05	210	110	0.932904277801046	0.957852978865094
Kit	Golovinomyces	Zymo	6.62364823256845e-06	8.4403386601263e-05	210	115	0.937528997484904	0.957852978865094
Temperature	Prevotellamassilia	Hot	5.01576152424006e-06	6.58414337507609e-05	210	62	0.939353672406327	0.957852978865094
Kit	Erwinia	Zymo	3.34477341361751e-06	4.27590108840128e-05	210	72	0.937729405265888	0.957852978865094
Temperature	Arthrobotrys	Hot	-3.19965360674292e-06	3.96219959791542e-05	210	33	0.935719191139029	0.957852978865094
Temperature	Cellulophaga	Room Temp	1.67277085631e-06	2.24156773234741e-05	210	22	0.940588771315107	0.958413339867726
Temperature	Campylobacter	Hot	8.46078271387597e-06	0.000120504953812811	210	209	0.944096877822635	0.961287279822318
Kit	unclassified.Rhodobacteraceae	Zymo	3.28578030731748e-06	4.9944605482571e-05	210	126	0.947612932650232	0.961543767173633
Temperature	unclassified.Lentisphaerae	Hot	-4.59421737471374e-05	0.000709444774605207	210	79	0.948432404789261	0.961543767173633
Temperature	Intestinibacillus	Room Temp	4.93135151742994e-06	7.45788491230781e-05	210	206	0.947347229171612	0.961543767173633
Kit	Coriobacterium	Zymo	-6.46220394640093e-06	9.98738880983987e-05	210	30	0.948475575774277	0.961543767173633
Kit	Alloscardovia	Zymo	-3.26490146071844e-06	5.03717755004752e-05	210	66	0.948386156029344	0.961543767173633
Temperature	Ascoidea	Room Temp	-1.65375311822087e-06	2.43177167920042e-05	210	41	0.945849750810978	0.961543767173633
Kit	Pseudobutyrivibrio	Zymo	-6.60968574907154e-06	0.000107714248356624	210	209	0.951132207496419	0.963538279768111
