Sample	raw_reads	dedup_reads	dedup_frac	trimmed_reads	trimmed_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
D07-OF-R3-B_S61_L003	29987162	29987162	1.0	15253085	0.509	6597620	0.22	3620732	0.121
D04-OR-R3-B_S50_L003	32252230	32252230	1.0	7582148	0.235	2285034	0.071	11800721	0.366
D02-ZR-R2-B_S40_L002	35242178	35242178	1.0	27660297	0.785	9444972	0.268	6205127	0.176
D07-OF-R3-A_S29_L003	26111980	26111980	1.0	8985377	0.344	2235956	0.086	14120647	0.541
D06-ZF-R1-A_S21_L001	23945426	23945426	1.0	22411365	0.936	9365767	0.391	1164323	0.049
D04-OF-R1-B_S123_L002	36843200	36843200	1.0	35674696	0.968	14341362	0.389	1222914	0.033
D10-ZH-R3-B_S46_L004	39722864	39722864	1.0	24187476	0.609	5959573	0.15	12231676	0.308
D04-ZF-R3-B_S35_L003	33748045	33748045	1.0	31280546	0.927	11365288	0.337	1519503	0.045
D06-OF-R2-A_S22_L002	28642400	28642400	1.0	19006846	0.664	6930557	0.242	8751973	0.306
D04-ZR-R3-A_S16_L003	42810780	42810780	1.0	40749373	0.952	12446929	0.291	2054366	0.048
D04-OF-R2-A_S27_L001	22311812	22311812	1.0	9251012	0.415	3080989	0.138	9567208	0.429
D02-OR-R1-B_S105_L002	22954194	22954194	1.0	9214507	0.401	2403911	0.105	14292856	0.623
D08-ZF-R3-A_S8_L003	31136380	31136380	1.0	28503848	0.915	12020637	0.386	2814533	0.09
D09-OR-R2-B_S54_L001	16873681	16873681	1.0	1890868	0.112	222654	0.013	8021390	0.475
D03-ZR-R1-A_S93_L002	19205316	19205316	1.0	15406459	0.802	6428742	0.335	3502998	0.182
D03-OR-R2-A_S20_L001	32190722	32190722	1.0	3881405	0.121	488157	0.015	5084663	0.158
D09-NF-R2-A_S15_L002	42577391	42577391	1.0	24225297	0.569	8547847	0.201	3800388	0.089
NCO-B2-R2-B_S41_L002	32575411	32575411	1.0	5117711	0.157	974744	0.03	24698798	0.758
D04-ZH-R2-A_S9_L001	58529209	58529209	1.0	11381578	0.194	3493343	0.06	7722128	0.132
D07-ZF-R3-B_S56_L004	30489571	30489571	1.0	27684064	0.908	11617831	0.381	1910327	0.063
D05-NF-R3-B_S36_L003	86	86	1.0	15	0.174	11	0.128	60	0.698
NCO-B1-R2-B_S35_L001	20847930	20847930	1.0	2300747	0.11	243540	0.012	11632005	0.558
D03-ZR-R3-B_S38_L003	30513373	30513373	1.0	27241146	0.893	11319970	0.371	1778992	0.058
D09-ZF-R3-B_S40_L004	35193436	35193436	1.0	27059376	0.769	9010133	0.256	8593377	0.244
D08-ZR-R1-A_S80_L002	37698042	37698042	1.0	36920882	0.979	17283799	0.458	738173	0.02
D03-NF-R1-B_S52_L001	22995966	22995966	1.0	15232506	0.662	5965354	0.259	3247614	0.141
D08-ZR-R3-B_S63_L003	36586631	36586631	1.0	27872319	0.762	10346409	0.283	2548815	0.07
D04-OR-R3-A_S18_L003	19204312	19204312	1.0	7474661	0.389	2424884	0.126	5911539	0.308
D03-OR-R1-B_S45_L001	17820504	17820504	1.0	8014170	0.45	2418137	0.136	3945291	0.221
D01-ZH-R2-A_S2_L001	38074295	38074295	1.0	8287658	0.218	2778837	0.073	2239792	0.059
D10-ZR-R2-B_S51_L001	18205304	18205304	1.0	4803300	0.264	1556293	0.085	5005720	0.275
D05-ZR-R3-B_S35_L004	25689392	25689392	1.0	20250930	0.788	7784656	0.303	4939089	0.192
D09-ZF-R1-A_S83_L002	42723058	42723058	1.0	41120248	0.962	17294357	0.405	1275348	0.03
D03-NF-R3-B_S46_L003	22629561	22629561	1.0	7004813	0.31	2351793	0.104	9811854	0.434
D05-ZR-R1-A_S29_L001	27898312	27898312	1.0	20875954	0.748	8205131	0.294	1569494	0.056
D01-ZF-R1-B_S34_L001	30594019	30594019	1.0	29038239	0.949	12537546	0.41	1051170	0.034
D10-NF-R3-A_S15_L003	26330275	26330275	1.0	7777154	0.295	2171524	0.082	12114944	0.46
D08-ZF-R1-B_S36_L001	37963929	37963929	1.0	32900241	0.867	12797867	0.337	2350055	0.062
D05-NF-R1-A_S77_L002	31672003	31672003	1.0	25537146	0.806	13454568	0.425	4003829	0.126
D01-OR-R2-A_S11_L002	34127149	34127149	1.0	5037555	0.148	1482136	0.043	11270166	0.33
D04-OF-R2-B_S59_L001	22923372	22923372	1.0	15206334	0.663	6191826	0.27	2157835	0.094
D06-OF-R2-B_S53_L002	26813205	26813205	1.0	17423799	0.65	6113828	0.228	9658717	0.36
D08-OR-R1-A_S22_L001	23235308	23235308	1.0	5640602	0.243	1856880	0.08	6526715	0.281
D09-ZF-R3-A_S11_L004	34349947	34349947	1.0	30897804	0.9	11543479	0.336	3129295	0.091
D03-ZF-R3-B_S56_L003	1400	1400	1.0	914	0.653	350	0.25	196	0.14
D03-OF-R1-A_S16_L001	22875975	22875975	1.0	9665717	0.423	2564197	0.112	11485751	0.502
D10-ZH-R1-B_S51_L001	20234356	20234356	1.0	12416720	0.614	2175977	0.108	3402164	0.168
D05-ZH-R3-B_S55_L004	18769655	18769655	1.0	7026500	0.374	2068432	0.11	10215253	0.544
D02-OR-R2-A_S30_L001	15688587	15688587	1.0	1845604	0.118	262683	0.017	8308286	0.53
D05-ZF-R2-B_S58_L002	35690784	35690784	1.0	25559815	0.716	9230430	0.259	7210351	0.202
D08-ZH-R1-A_S1_L001	29282741	29282741	1.0	27601057	0.943	12126711	0.414	617039	0.021
D09-OR-R2-A_S22_L001	25260183	25260183	1.0	1527745	0.06	212603	0.008	6510890	0.258
D08-ZH-R2-B_S32_L002	39879830	39879830	1.0	7463600	0.187	2088849	0.052	17557734	0.44
D10-ZH-R2-B_S37_L002	23799588	23799588	1.0	10723197	0.451	2453031	0.103	10111797	0.425
D02-ZR-R3-B_S54_L004	31943180	31943180	1.0	28130118	0.881	11593564	0.363	3235436	0.101
PCO-B4-R1-A_S25_L001	32389214	32389214	1.0	26437136	0.816	25858554	0.798	2058299	0.064
D09-ZF-R2-A_S24_L001	13901908	13901908	1.0	4181952	0.301	1106250	0.08	8472437	0.609
D01-NF-R1-A_S89_L002	35139913	35139913	1.0	33863191	0.964	14640882	0.417	856931	0.024
D10-ZF-R3-A_S10_L004	42560434	42560434	1.0	39500819	0.928	13850873	0.325	2706391	0.064
D06-NF-R2-B_S50_L001	32443915	32443915	1.0	3319408	0.102	1228067	0.038	3902542	0.12
D06-ZF-R1-B_S53_L001	29708120	29708120	1.0	27742569	0.934	12143839	0.409	991693	0.033
D07-OR-R1-A_S26_L001	12867985	12867985	1.0	2135223	0.166	501083	0.039	4128738	0.321
D04-OR-R2-A_S23_L001	29712972	29712972	1.0	2068046	0.07	471466	0.016	6351625	0.214
NCO-B3-R2-A_S12_L001	19228958	19228958	1.0	426183	0.022	43045	0.002	1387858	0.072
NCO-B3-R3-B_S34_L004	27056133	27056133	1.0	3737030	0.138	833988	0.031	21041594	0.778
D03-OR-R3-B_S59_L003	19097459	19097459	1.0	4643409	0.243	1055369	0.055	8108570	0.425
D10-OF-R1-B_S119_L002	11188288	11188288	1.0	1157278	0.103	213090	0.019	5185400	0.463
D10-ZF-R1-B_S118_L002	19830051	19830051	1.0	9519734	0.48	3623250	0.183	5834000	0.294
D07-ZH-R3-B_S49_L004	19397128	19397128	1.0	8665193	0.447	2847282	0.147	8389738	0.433
D03-ZF-R1-A_S69_L002	39441650	39441650	1.0	37252853	0.945	16336470	0.414	1161918	0.029
D08-NF-R2-B_S49_L001	21706727	21706727	1.0	6240668	0.287	2446165	0.113	2575888	0.119
D10-OF-R3-B_S64_L003	59476310	59476310	1.0	28978434	0.487	10447357	0.176	9246997	0.155
D04-OF-R3-A_S29_L004	23847926	23847926	1.0	22056296	0.925	8717082	0.366	2191636	0.092
D01-ZF-R2-B_S48_L002	26829406	26829406	1.0	23323610	0.869	11736547	0.437	3493922	0.13
D01-ZR-R1-B_S40_L001	42962498	42962498	1.0	41170227	0.958	17815686	0.415	1509720	0.035
NCO-B4-R2-B_S46_L001	66319305	66319305	1.0	5952688	0.09	562648	0.008	33749705	0.509
D06-ZH-R3-B_S37_L003	50701223	50701223	1.0	26663779	0.526	7699647	0.152	15628725	0.308
D05-NF-R2-B_S34_L002	32931368	32931368	1.0	12560379	0.381	3511416	0.107	17215699	0.523
D06-ZR-R2-A_S28_L001	21869159	21869159	1.0	11298831	0.517	4568509	0.209	6297807	0.288
D08-NF-R3-B_S50_L004	24098351	24098351	1.0	18942871	0.786	7023718	0.291	4938932	0.205
D05-ZH-R2-B_S47_L002	46965806	46965806	1.0	5299758	0.113	1060363	0.023	18067678	0.385
D01-ZR-R3-A_S21_L003	34142381	34142381	1.0	32417229	0.949	17623937	0.516	1681340	0.049
D01-OR-R1-B_S43_L001	18199799	18199799	1.0	7357805	0.404	2389598	0.131	7390977	0.406
D03-ZH-R2-B_S38_L002	34257559	34257559	1.0	18433880	0.538	5085011	0.148	10384295	0.303
D06-ZH-R3-A_S5_L003	37847314	37847314	1.0	21262839	0.562	6050673	0.16	11470955	0.303
D07-ZF-R2-B_S61_L001	18251779	18251779	1.0	13541131	0.742	6273096	0.344	766055	0.042
D06-OF-R3-B_S45_L003	35497883	35497883	1.0	24308420	0.685	9631594	0.271	5855189	0.165
D04-NF-R2-B_S39_L002	37602089	37602089	1.0	28101471	0.747	10594909	0.282	4973864	0.132
D02-ZF-R1-A_S23_L001	41829108	41829108	1.0	39194008	0.937	15253625	0.365	1351741	0.032
D09-OF-R3-A_S7_L004	30721344	30721344	1.0	27054010	0.881	10074594	0.328	2073273	0.067
D03-OR-R3-A_S27_L003	36520055	36520055	1.0	8296265	0.227	2198506	0.06	11340072	0.311
NCO-B2-R1-B_S99_L002	11184586	11184586	1.0	1846694	0.165	295196	0.026	9251656	0.827
D02-NF-R3-B_S57_L003	55589297	55589297	1.0	18829243	0.339	8105918	0.146	5554163	0.1
D04-ZH-R3-A_S26_L003	47561394	47561394	1.0	33602890	0.707	9466339	0.199	6424145	0.135
D03-ZF-R2-A_S21_L001	16710823	16710823	1.0	4794665	0.287	1025368	0.061	10153432	0.608
D07-NF-R3-A_S13_L004	41849402	41849402	1.0	27294985	0.652	12139343	0.29	13110252	0.313
PCO-B1-R2-B_S63_L001	22449039	22449039	1.0	13249582	0.59	8717196	0.388	3150955	0.14
D03-ZH-R2-A_S7_L002	37825213	37825213	1.0	16459713	0.435	4539385	0.12	6034125	0.16
D04-ZF-R3-A_S3_L003	41126670	41126670	1.0	39793836	0.968	14119184	0.343	1842813	0.045
D03-ZR-R2-A_S5_L001	30833610	30833610	1.0	14647980	0.475	6394129	0.207	1506099	0.049
D03-ZF-R3-A_S24_L003	37767249	37767249	1.0	34561639	0.915	14693192	0.389	2179546	0.058
D02-ZH-R1-B_S108_L002	81410533	81410533	1.0	61735753	0.758	18213923	0.224	15195518	0.187
D05-ZH-R3-A_S26_L004	29646704	29646704	1.0	12372437	0.417	3451058	0.116	17725288	0.598
D07-NF-R3-B_S42_L004	34040834	34040834	1.0	22030788	0.647	9586050	0.282	12148987	0.357
D02-ZH-R1-A_S76_L002	29759969	29759969	1.0	25291865	0.85	7338481	0.247	2261061	0.076
D03-ZH-R1-A_S68_L002	34617326	34617326	1.0	24859772	0.718	8046709	0.232	4300880	0.124
D05-ZR-R2-A_S7_L001	36529291	36529291	1.0	25271272	0.692	9979327	0.273	2154618	0.059
D06-NF-R3-B_S44_L004	16651293	16651293	1.0	8376150	0.503	3115375	0.187	9813855	0.589
D02-ZH-R2-A_S29_L002	33608799	33608799	1.0	8567358	0.255	2447620	0.073	15454719	0.46
D10-OF-R3-A_S32_L003	25796103	25796103	1.0	16256011	0.63	5867288	0.227	5688178	0.221
D07-OF-R2-A_S28_L002	35127071	35127071	1.0	18919002	0.539	7339520	0.209	6728278	0.192
D05-ZR-R2-B_S39_L001	27873944	27873944	1.0	12027597	0.431	3996250	0.143	10237588	0.367
D06-NF-R1-A_S5_L001	28677901	28677901	1.0	13382317	0.467	5514237	0.192	2790101	0.097
D02-NF-R3-A_S25_L003	44362503	44362503	1.0	26097382	0.588	11953749	0.269	3601706	0.081
D01-ZH-R3-B_S54_L003	32685337	32685337	1.0	9269262	0.284	2666675	0.082	10630571	0.325
D01-NF-R3-A_S12_L003	30347748	30347748	1.0	27604270	0.91	10400285	0.343	1408926	0.046
D05-OF-R3-B_S51_L004	22568012	22568012	1.0	15394318	0.682	6147968	0.272	6548720	0.29
D07-OF-R2-B_S59_L002	25237755	25237755	1.0	16389949	0.649	6591942	0.261	3453813	0.137
D07-ZF-R1-A_S85_L002	37018591	37018591	1.0	34858678	0.942	17775588	0.48	1227581	0.033
D04-NF-R3-A_S30_L003	29889439	29889439	1.0	25360307	0.848	9876336	0.33	2934142	0.098
D03-NF-R1-A_S20_L001	33648049	33648049	1.0	22392153	0.665	8467491	0.252	3960570	0.118
D09-OR-R1-B_S64_L001	23076084	23076084	1.0	5529212	0.24	1277436	0.055	8129067	0.352
D01-OR-R3-A_S12_L004	25368514	25368514	1.0	9379644	0.37	2927023	0.115	17222183	0.679
D10-ZR-R1-A_S9_L001	28676150	28676150	1.0	15863268	0.553	5154307	0.18	3469339	0.121
D06-OR-R1-A_S79_L002	30314350	30314350	1.0	19315428	0.637	9053638	0.299	4096622	0.135
D05-ZF-R3-B_S53_L004	29899043	29899043	1.0	29000919	0.97	11709020	0.392	1004992	0.034
D06-ZF-R3-A_S3_L004	39132595	39132595	1.0	37600419	0.961	15240581	0.389	1286047	0.033
D01-OF-R2-A_S23_L002	33078138	33078138	1.0	21054884	0.637	8279043	0.25	8069426	0.244
D06-ZF-R2-B_S55_L002	41429881	41429881	1.0	29965913	0.723	11775711	0.284	7807595	0.188
D09-OF-R2-A_S13_L001	21256203	21256203	1.0	8819869	0.415	3603155	0.17	1657993	0.078
D07-ZH-R3-A_S20_L004	41713091	41713091	1.0	21455913	0.514	7561804	0.181	11555846	0.277
D03-NF-R2-B_S64_L001	24340715	24340715	1.0	3942091	0.162	1489168	0.061	3217142	0.132
D05-ZR-R3-A_S6_L004	47419429	47419429	1.0	40194405	0.848	15875431	0.335	4918038	0.104
D09-ZR-R3-B_S48_L004	27264391	27264391	1.0	25218043	0.925	9217605	0.338	2024854	0.074
NCO-B4-R3-A_S23_L003	37333950	37333950	1.0	4173266	0.112	813623	0.022	11114751	0.298
D09-ZH-R2-B_S52_L002	28674622	28674622	1.0	4818862	0.168	1021935	0.036	18289200	0.638
D04-ZR-R1-B_S102_L002	38434671	38434671	1.0	36887744	0.96	12557230	0.327	2263679	0.059
NCO-B3-R1-A_S82_L002	13812936	13812936	1.0	3171156	0.23	671533	0.049	7769419	0.562
D06-ZF-R3-B_S32_L004	31696281	31696281	1.0	28587087	0.902	10559069	0.333	3784666	0.119
D05-OF-R2-A_S25_L001	23302564	23302564	1.0	4239750	0.182	1719893	0.074	6522741	0.28
D02-OR-R1-A_S73_L002	19703190	19703190	1.0	11586216	0.588	4196634	0.213	3898950	0.198
D07-ZH-R1-A_S12_L001	19630487	19630487	1.0	9441422	0.481	3369892	0.172	1967425	0.1
D05-OF-R1-A_S71_L002	21952640	21952640	1.0	18140325	0.826	8159560	0.372	2386534	0.109
NCO-B4-R1-B_S113_L002	18262950	18262950	1.0	3354577	0.184	592759	0.032	16819260	0.921
D01-OR-R3-B_S41_L004	23946440	23946440	1.0	7150274	0.299	1521612	0.064	19022882	0.794
D05-ZF-R2-A_S27_L002	32135026	32135026	1.0	26201348	0.815	10023639	0.312	3684368	0.115
D02-ZF-R2-B_S44_L002	28329072	28329072	1.0	23227081	0.82	8688262	0.307	3772881	0.133
D01-ZF-R3-A_S7_L003	25515336	25515336	1.0	24281848	0.952	12441629	0.488	1013861	0.04
D02-ZR-R1-A_S96_L002	22464082	22464082	1.0	18370884	0.818	6471817	0.288	4387685	0.195
PCO-B1-R1-B_S39_L001	45554701	45554701	1.0	42664113	0.937	30608359	0.672	1551987	0.034
PCO-B3-R1-B_S97_L002	35386479	35386479	1.0	30925901	0.874	29737368	0.84	5461791	0.154
D08-OR-R3-A_S19_L003	28769063	28769063	1.0	3113359	0.108	919868	0.032	5853289	0.203
D10-OF-R2-A_S16_L001	36893566	36893566	1.0	14063250	0.381	5454934	0.148	3356721	0.091
D08-ZF-R2-A_S6_L001	29112680	29112680	1.0	20025548	0.688	8879750	0.305	1734902	0.06
D08-OR-R2-A_S8_L001	26476743	26476743	1.0	1283471	0.048	355560	0.013	3814061	0.144
NCO-B4-R3-B_S55_L003	24931693	24931693	1.0	2875121	0.115	417220	0.017	11938843	0.479
D03-ZF-R1-B_S101_L002	39139362	39139362	1.0	36881770	0.942	16836562	0.43	1725404	0.044
D02-ZR-R3-A_S25_L004	31907409	31907409	1.0	28189449	0.883	13006045	0.408	2076581	0.065
D02-ZH-R3-A_S23_L004	44316548	44316548	1.0	33469316	0.755	8703879	0.196	8838451	0.199
D02-NF-R1-A_S94_L002	28842708	28842708	1.0	25096405	0.87	11193124	0.388	3588125	0.124
NCO-B1-R2-A_S3_L001	33499195	33499195	1.0	620018	0.019	66106	0.002	2279019	0.068
D04-OF-R1-A_S91_L002	40349384	40349384	1.0	38957230	0.965	15731511	0.39	1369746	0.034
D04-ZR-R2-A_S31_L002	31243346	31243346	1.0	23653916	0.757	7742256	0.248	7131830	0.228
D05-ZF-R1-A_S3_L001	32127542	32127542	1.0	30073032	0.936	13212061	0.411	1040179	0.032
D09-NF-R1-B_S60_L001	26842462	26842462	1.0	24443506	0.911	9049460	0.337	1791163	0.067
D10-NF-R1-A_S92_L002	24597674	24597674	1.0	19049371	0.774	7070988	0.287	3625392	0.147
D01-ZH-R3-A_S22_L003	29397073	29397073	1.0	16720176	0.569	5816851	0.198	7945794	0.27
D02-NF-R1-B_S126_L002	29519180	29519180	1.0	22996894	0.779	10791969	0.366	1037580	0.035
D09-NF-R1-A_S28_L001	23624965	23624965	1.0	13813358	0.585	5059765	0.214	1518234	0.064
D03-ZH-R3-A_S9_L003	29889630	29889630	1.0	18474982	0.618	5107958	0.171	5364908	0.179
D04-ZR-R1-A_S70_L002	43321978	43321978	1.0	40649820	0.938	13535306	0.312	2975852	0.069
D09-ZF-R2-B_S56_L001	24794630	24794630	1.0	13665866	0.551	5418204	0.219	6535951	0.264
D04-OR-R2-B_S55_L001	25611267	25611267	1.0	1243619	0.049	268838	0.01	4639556	0.181
D04-OF-R3-B_S58_L004	29060602	29060602	1.0	26787995	0.922	11109355	0.382	1994563	0.069
D06-NF-R1-B_S37_L001	29482216	29482216	1.0	19900133	0.675	8049003	0.273	1331656	0.045
D04-NF-R1-A_S17_L001	34328112	34328112	1.0	25864804	0.753	8656502	0.252	2886611	0.084
PCO-B1-R2-A_S31_L001	17926968	17926968	1.0	7480940	0.417	3665054	0.204	5613407	0.313
D10-ZH-R2-A_S6_L002	33876166	33876166	1.0	9343754	0.276	2218101	0.065	7586672	0.224
D01-NF-R3-B_S44_L003	36261695	36261695	1.0	25741814	0.71	9411710	0.26	3741328	0.103
D09-OF-R1-A_S74_L002	40041690	40041690	1.0	38962629	0.973	16834408	0.42	1107235	0.028
D01-OF-R2-B_S54_L002	33808755	33808755	1.0	26148007	0.773	10595458	0.313	6106519	0.181
D08-ZH-R1-B_S33_L001	19936712	19936712	1.0	7392293	0.371	1937137	0.097	7090952	0.356
D08-OF-R2-A_S1_L001	24801251	24801251	1.0	14159235	0.571	6165830	0.249	2185022	0.088
D10-OF-R2-B_S48_L001	20628845	20628845	1.0	5548150	0.269	1777031	0.086	6031914	0.292
D06-OR-R1-B_S111_L002	8864532	8864532	1.0	3389438	0.382	1360558	0.153	4343913	0.49
D03-OF-R3-A_S2_L003	36882259	36882259	1.0	25950839	0.704	9333285	0.253	2641533	0.072
NCO-B1-R3-A_S2_L004	26084482	26084482	1.0	4881271	0.187	900482	0.035	22224612	0.852
D02-OF-R1-A_S88_L002	40444050	40444050	1.0	39255422	0.971	18073153	0.447	920571	0.023
D07-ZR-R1-A_S10_L001	22208832	22208832	1.0	16787932	0.756	7719514	0.348	1027672	0.046
D10-ZF-R2-A_S11_L001	66129590	66129590	1.0	32985527	0.499	13119639	0.198	8523282	0.129
D03-ZR-R3-A_S6_L003	40023474	40023474	1.0	36426245	0.91	14803663	0.37	2791150	0.07
D10-ZF-R3-B_S39_L004	23866852	23866852	1.0	21654466	0.907	7826886	0.328	2113211	0.089
D02-ZR-R2-A_S9_L002	39789665	39789665	1.0	36743554	0.923	12717154	0.32	2650764	0.067
D10-NF-R2-A_S18_L002	28772589	28772589	1.0	6978003	0.243	1596515	0.055	18563434	0.645
D07-OR-R3-B_S49_L003	43303853	43303853	1.0	7098330	0.164	1818556	0.042	20651590	0.477
PCO-B2-R1-B_S50_L001	31356742	31356742	1.0	30281675	0.966	29969801	0.956	949211	0.03
D01-NF-R1-B_S121_L002	17278918	17278918	1.0	10590454	0.613	3604069	0.209	6689327	0.387
D02-OF-R2-A_S19_L002	30648422	30648422	1.0	17859472	0.583	6275193	0.205	10306252	0.336
D07-OR-R1-B_S58_L001	17319866	17319866	1.0	4451175	0.257	1380951	0.08	5896026	0.34
D02-ZR-R1-B_S128_L002	49799579	49799579	1.0	48381835	0.972	22717608	0.456	1022809	0.021
PCO-B3-R1-A_S65_L002	34363967	34363967	1.0	32519765	0.946	18226550	0.53	1482080	0.043
D03-OF-R2-A_S4_L002	28264333	28264333	1.0	12654460	0.448	4306841	0.152	4572973	0.162
D05-NF-R3-A_S4_L003	44659861	44659861	1.0	39663651	0.888	21214819	0.475	2414415	0.054
D01-ZR-R2-B_S47_L001	27839593	27839593	1.0	5340086	0.192	2153399	0.077	2654776	0.095
D08-OF-R3-A_S4_L004	39667920	39667920	1.0	36342455	0.916	13714102	0.346	3949180	0.1
D09-ZH-R2-A_S21_L002	30965962	30965962	1.0	3804586	0.123	609784	0.02	12848450	0.415
D01-ZF-R1-A_S2_L001	67335653	67335653	1.0	66454207	0.987	66340663	0.985	1197508	0.018
D03-ZH-R1-B_S100_L002	27153417	27153417	1.0	18859472	0.695	5745533	0.212	8024358	0.296
D01-ZH-R1-A_S95_L002	17397429	17397429	1.0	13300818	0.765	4833510	0.278	3489693	0.201
D07-ZR-R2-A_S30_L002	28006182	28006182	1.0	18468764	0.659	7561790	0.27	6981506	0.249
D02-OF-R3-B_S45_L004	32207278	32207278	1.0	30700442	0.953	25517734	0.792	1452907	0.045
D06-ZH-R1-B_S104_L002	19085511	19085511	1.0	11038630	0.578	3421943	0.179	5229010	0.274
NCO-B4-R2-A_S14_L001	31488003	31488003	1.0	714451	0.023	101947	0.003	2915537	0.093
D06-ZR-R1-B_S63_L001	37300878	37300878	1.0	34010872	0.912	13947826	0.374	1933997	0.052
D05-ZH-R1-B_S110_L002	34816849	34816849	1.0	9225508	0.265	2643349	0.076	18891249	0.543
D03-OF-R3-B_S34_L003	30957797	30957797	1.0	27900315	0.901	10183259	0.329	2609874	0.084
D02-ZH-R2-B_S60_L002	28935434	28935434	1.0	6304930	0.218	1547174	0.053	11554547	0.399
D09-OF-R1-B_S106_L002	32754378	32754378	1.0	31006136	0.947	13737038	0.419	1703847	0.052
D10-ZH-R3-A_S17_L004	51291839	51291839	1.0	34084813	0.665	8220266	0.16	10308401	0.201
D06-OR-R3-A_S1_L004	35881999	35881999	1.0	24533833	0.684	11029699	0.307	10397537	0.29
D08-ZR-R2-A_S25_L002	34347529	34347529	1.0	25844337	0.752	10671737	0.311	5260860	0.153
D08-ZF-R2-B_S38_L001	17781817	17781817	1.0	9430895	0.53	4030010	0.227	2773722	0.156
NCO-B2-R1-A_S67_L002	19098580	19098580	1.0	8398093	0.44	1263502	0.066	10694407	0.56
D10-NF-R2-B_S49_L002	40227109	40227109	1.0	9861331	0.245	2713951	0.067	21768731	0.541
NCO-B3-R3-A_S5_L004	56174223	56174223	1.0	8167852	0.145	1787979	0.032	41428433	0.737
D01-ZR-R3-B_S53_L003	35245250	35245250	1.0	29874669	0.848	15801948	0.448	2728770	0.077
D09-OR-R3-B_S43_L004	17795358	17795358	1.0	4588773	0.258	922206	0.052	15196893	0.854
D03-ZF-R2-B_S53_L001	21688313	21688313	1.0	11125953	0.513	4742613	0.219	1963427	0.091
D02-ZF-R3-A_S11_L003	33446571	33446571	1.0	32022479	0.957	12459057	0.373	1006665	0.03
D04-ZH-R1-A_S27_L001	22827428	22827428	1.0	13384577	0.586	3497062	0.153	4439437	0.194
