taxid	Genus	mean16S	kingdom
1866885	Mycolicibacterium	2	Bacteria
186825	unclassified Bacillales	1.94	Bacteria
186928	unclassified Lachnospiraceae	1.94	Bacteria
1870884	Clostridioides	11.92	Bacteria
1873	Micromonospora	3.2	Bacteria
1883	Streptomyces	6.21	Bacteria
1892380	Harryflintia	1.94	Bacteria
189325	unclassified Clostridia	1.94	Bacteria
189330	Dorea	1.94	Bacteria
189693	Bacteroidales: environmental samples	1.94	Bacteria
1897007	unclassified Candidatus Melainabacteria	1.94	Bacteria
189703	Lachnospiraceae: environmental samples	1.94	Bacteria
189971	unclassified Clostridiaceae	1.94	Bacteria
1905344	Ruthenibacterium	2	Bacteria
191	Azospirillum	8.7	Bacteria
1912216	Cutibacterium	2.69	Bacteria
191303	Turicibacter	10	Bacteria
1913599	Peptoanaerobacter	1.94	Bacteria
191373	Pelotomaculum	1.94	Bacteria
1917874	unclassified Christensenellaceae	1.94	Bacteria
1918450	Cuneatibacter	1.94	Bacteria
1918511	Frisingicoccus	1.94	Bacteria
1918540	Muribaculum	4	Bacteria
1924081	Bariatricus	1.94	Bacteria
1924093	Anaeromassilibacillus	1.94	Bacteria
1924105	Neglecta	1.94	Bacteria
1926556	Emergencia	1.94	Bacteria
1926659	Mediterranea	1.94	Bacteria
1926663	Phocea	1.94	Bacteria
1926672	Prevotellamassilia	1.94	Bacteria
1926677	Raoultibacter	1.94	Bacteria
1928820	Intestinibacillus	1.94	Bacteria
1929045	Traorella	1.94	Bacteria
1929297	Bittarella	1.94	Bacteria
1935200	Merdibacter	1.94	Bacteria
1935927	Massilioclostridium	1.94	Bacteria
194	Campylobacter	2.91	Bacteria
1950943	unclassified Eggerthellales	1.94	Bacteria
1951303	unclassified Acidaminococcaceae	1.94	Bacteria
1951448	unclassified Atopobiaceae	1.94	Bacteria
1952929	unclassified Verrucomicrobia subdivision 3	1.94	Bacteria
1952944	unclassified Prolixibacteraceae	1.94	Bacteria
1953020	unclassified Selenomonadaceae	1.94	Bacteria
195950	Tannerella	2	Bacteria
196081	Scardovia	2	Bacteria
1961559	unclassified Desulfonatronaceae	1.94	Bacteria
1963280	unclassified Halobacteriales	0	Archaea
196894	unclassified Siphoviridae	0	Viruses
196896	unclassified Myoviridae	0	Viruses
1973274	Niameybacter	1.94	Bacteria
1978007	crAss-like viruses	0	Viruses
1980685	Caecibacter	1.94	Bacteria
1981028	Mailhella	1.94	Bacteria
1981050	Phoenicibacter	2	Bacteria
1988	Actinomadura	5	Bacteria
20	Phenylobacterium	1	Bacteria
2005359	Faecalicatena	1.94	Bacteria
2005386	Arabia	1.94	Bacteria
2005387	Bacilliculturomica	1.94	Bacteria
200630	unclassified Peptostreptococcaceae	1.94	Bacteria
2006847	unclassified Muribaculaceae	1.94	Bacteria
202949	Thermanaeromonas	1.94	Bacteria
2034	Curtobacterium	3.33	Bacteria
2035359	Laburnicola	0	Fungi
203903	Hemileia	0	Fungi
2039302	Monoglobus	1.94	Bacteria
204037	Dickeya	7	Bacteria
204475	Gemmiger	1.94	Bacteria
2048137	Agathobaculum	1.94	Bacteria
2052158	unclassified Coriobacteriia	1.94	Bacteria
2053	Gordonia	3.29	Bacteria
2055876	Metakosakonia	7	Bacteria
2057233	Absiella	1.94	Bacteria
2060094	Aminipila	5.67	Bacteria
207244	Anaerostipes	5.67	Bacteria
207769	unclassified Eubacteriaceae	1.94	Bacteria
208050	unclassified Peptococcaceae	1.94	Bacteria
2082587	Parolsenella	4	Bacteria
2093	Mycoplasma	1.66	Bacteria
2100420	Caudovirales: environmental samples	0	Viruses
2147	Acholeplasma	2.5	Bacteria
2163168	Kineothrix	1.94	Bacteria
216851	Faecalibacterium	6	Bacteria
2172	Methanobrevibacter	2.17	Archaea
22	Shewanella	9.54	Bacteria
222	Achromobacter	3.56	Bacteria
2234120	Austropuccinia	0	Fungi
224577	Prevotellaceae: environmental samples	1.94	Bacteria
224765	unclassified Prevotellaceae	1.94	Bacteria
2282523	Methylorubrum	5	Bacteria
2282740	Desulfallas	8	Bacteria
2282741	Desulfofundulus	1.94	Bacteria
2304691	Thermoclostridium	3	Bacteria
2304693	Pseudoclostridium	4	Bacteria
2305130	unclassified Hungateiclostridiaceae	1.94	Bacteria
2316020	Mediterraneibacter	5	Bacteria
231684	unclassified Desulfobacteraceae	1.94	Bacteria
231685	unclassified Desulfovibrionaceae	1.94	Bacteria
231686	unclassified Desulfobulbaceae	1.94	Bacteria
234665	unclassified Gemmatimonadetes	1.94	Bacteria
