Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
G6,D3,Rep2,Plate2,D06_ZR_R2,D06,ZR,R2,2/1/03,D06_ZR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,16.44380485,0.912486299,3.465713831,Amp,FALSE,3,8,NA,NA,6.19807147840532,262978490.398854,6
G7,D4,Rep1,Plate2,D10_OR_R2,D10,OR,R2,2/1/15,D10_OR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,12.8734973,0.732296378,3.478003779,Amp,FALSE,3,6,NA,NA,7.38422016611296,4037094502.49055,3
G8,D4,Rep2,Plate2,D10_OR_R2,D10,OR,R2,2/1/15,D10_OR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,12.9315678,0.952897678,3.514124536,Amp,FALSE,3,7,NA,NA,7.36492764119601,3861680959.45201,3
G9,D5,Rep1,Plate2,D05_OF_R2,D05,OF,R2,2/2/12,D05_OF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,12.08799144,0.90112055,3.504015181,Amp,FALSE,3,6,NA,NA,7.64518556810631,7362652744.92811,2
H1,D1,Rep3,Plate2,D02_ZF_R2,D02,ZF,R2,2/2/07,D02_ZF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,14.49357587,0.813091178,3.497293685,Amp,FALSE,3,7,NA,NA,6.84598808305648,1169060084.84572,5
H11,D6,Rep3,Plate2,D03_ZR_R2,D03,ZR,R2,2/2/02,D03_ZR_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,17.02531971,0.84947262,3.476652531,Amp,FALSE,3,10,NA,NA,6.00487717275748,168548899.938642,6
H13,D7,Rep3,Plate2,D08_OH_R2,D08,OH,R2,2/2/14,D08_OH_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,12.72636605,0.936043569,3.50279155,Amp,FALSE,3,7,NA,NA,7.43310098006645,4518036443.15856,4
H15,D8,Rep3,Plate2,NCO_B3_R2,NCO,B3,R2,2/3/07,NCO_B3_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,24.45879374,0.862894849,3.473232237,Amp,FALSE,3,13,NA,NA,3.5352844717608,571653.96666665,7
H19,D10,Rep3,Plate2,D10_OF_R2,D10,OF,R2,2/3/03,D10_OF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,12.86907398,0.952482917,3.479292225,Amp,FALSE,3,7,NA,NA,7.3856897076412,4050778136.3758,2
H21,D11,Rep3,Plate2,D09_ZH_R2,D09,ZH,R2,2/2/13,D09_ZH_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,18.55023194,0.859663877,NA,Amp,FALSE,3,10,NA,NA,5.49826181395349,52494108.380554,7
