Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
M5,G3,Rep1,1,D01_NF_R1,D01,NF,R1,65,D01_NF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.1491395645995,0.886423676636028,3.42876941388344,Amp,false,3,6,NA,NA,6.50305068410127,530761525.575155,1
M7,G4,Rep1,1,D01_ZR_R1,D01,ZR,R1,66,D01_ZR_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,19.0367909468631,0.914960419596014,NA,Amp,false,3,9,NA,NA,4.84921602616206,11777816.2860217,6
M9,G5,Rep1,1,D07_OF_R1,D07,OF,R1,67,D07_OF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,13.4723484402801,0.833373312459135,3.43918489727952,Amp,false,3,6,NA,NA,6.41226167407861,430636090.085414,2
N1,G1,Rep2,1,D09_ZF_R1,D09,ZF,R1,63,D09_ZF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,17.1652300232231,0.856174326624077,NA,Inconclusive,false,3,8,NA,NA,5.37493538673508,39517015.4126238,5
N11,G6,Rep2,1,D02_NF_R1,D02,NF,R1,68,D02_NF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,13.4721463389224,0.847446580111067,3.44562599612946,Amp,false,3,6,NA,NA,6.41231844412293,430692385.591922,1
N13,G7,Rep2,1,D05_NF_R1,D05,NF,R1,69,D05_NF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,12.9838990409164,0.848465218254295,3.4331164062502,Amp,false,3,8,NA,NA,6.54946656154035,590629739.907242,1
N15,G8,Rep2,1,D02_ZR_R1,D02,ZR,R1,70,D02_ZR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,15.8996209988138,0.890759296398042,3.45310450942578,Amp,false,3,8,NA,NA,5.73044353965903,89596756.7601766,6
N19,G10,Rep2,1,D07_OH_R1,D07,OH,R1,72,D07_OH_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,13.2381776346455,0.872149787668898,3.44740225384333,Amp,false,3,6,NA,NA,6.47803999026812,501058852.978404,4
N3,G2,Rep2,1,D09_OH_R1,D09,OH,R1,64,D09_OH_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,14.1863371124826,0.942190069648328,3.39557445827877,Amp,false,3,7,NA,NA,6.2117030582914,271363734.838472,4
N5,G3,Rep2,1,D01_NF_R1,D01,NF,R1,65,D01_NF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,12.9589477138685,0.892367039989207,3.43821678853487,Amp,false,3,6,NA,NA,6.55647536127289,600238863.147738,1
N7,G4,Rep2,1,D01_ZR_R1,D01,ZR,R1,66,D01_ZR_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,19.0706893594366,0.888399667703884,NA,Amp,false,3,9,NA,NA,4.83969400015825,11522394.7492921,6
N9,G5,Rep2,1,D07_OF_R1,D07,OF,R1,67,D07_OF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,13.3181212648061,0.844045098596573,3.44585264462774,Amp,false,3,6,NA,NA,6.45558391438032,475809012.567734,2
O11,H6,Rep1,1,NCO_B3_R1,NCO,B3,R1,78,NCO_B3_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,23.1555134343554,0.937196725327111,3.43967219732159,Amp,false,3,13,NA,NA,3.69227150720354,820578.732405792,7
O15,H8,Rep1,1,D09_OF_R1,D09,OF,R1,80,D09_OF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,14.9557836453896,0.891006209333956,3.44876348606208,Inconclusive,false,3,7,NA,NA,5.99556639174449,164973862.040573,2
O17,H9,Rep1,1,D06_ZF_R1,D06,ZF,R1,81,D06_ZF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,17.4607890039668,0.917678390051079,NA,Amp,false,3,8,NA,NA,5.29191320113291,32640886.9074658,5
O19,H10,Rep1,1,Buffer_R1,Buffer,R1,NA,82,Buffer_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,23.2212124793088,0.97465964497523,3.43020811621746,Amp,false,3,11,NA,NA,3.67381671929527,786439.772541327,7
O7,H4,Rep1,1,D02_ZH_R1,D02,ZH,R1,76,D02_ZH_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,18.3133488919163,0.899808301504038,NA,Inconclusive,false,3,9,NA,NA,5.05243008654037,18805238.0827734,7
O9,H5,Rep1,1,D08_ZF_R1,D08,ZF,R1,77,D08_ZF_R1_Rep1,none,false,Sample,16S,Unknown,SYBR,18.803942399366,0.911022678639237,NA,Amp,false,3,9,NA,NA,4.91462292152642,13692150.7212078,5
P11,H6,Rep2,1,NCO_B3_R1,NCO,B3,R1,78,NCO_B3_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,23.0430845724861,0.943532703835566,3.43531710963836,Amp,false,3,11,NA,NA,3.72385264817805,882472.941346043,7
P15,H8,Rep2,1,D09_OF_R1,D09,OF,R1,80,D09_OF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,14.9604489411017,0.893267484091286,3.4363493426985,Amp,false,3,7,NA,NA,5.99425591542086,164476806.481147,2
P17,H9,Rep2,1,D06_ZF_R1,D06,ZF,R1,81,D06_ZF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,17.5089308473487,0.923933266539295,NA,Inconclusive,false,3,8,NA,NA,5.2783902114189,31640181.1303176,5
P19,H10,Rep2,1,Buffer_R1,Buffer,R1,NA,82,Buffer_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,23.4315763602457,0.960939516159256,3.4181936780137,Amp,false,3,11,NA,NA,3.61472574150402,686395.60035978,7
P7,H4,Rep2,1,D02_ZH_R1,D02,ZH,R1,76,D02_ZH_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,18.1587233591511,0.897219379551994,NA,Amp,false,3,9,NA,NA,5.09586422495756,20783226.6868583,7
P9,H5,Rep2,1,D08_ZF_R1,D08,ZF,R1,77,D08_ZF_R1_Rep2,none,false,Sample,16S,Unknown,SYBR,18.7899679131912,0.905556851942277,NA,Amp,false,3,9,NA,NA,4.91854833899122,13816469.6894972,5
