sample	tax.level	method	value
XT_D01-NFlex-R1-B	class	shannon	0.919
Flex_D10-NF-R1	class	shannon	1.11
Flex_D07-NF-R1	class	shannon	0.934
Flex_D08-NF-R1	class	shannon	0.95
Flex_D05-NF-R1	class	shannon	1.289
Flex_D02-NF-R1	class	shannon	0.866
Flex_D03-NF-R1	class	shannon	1.242
Flex_D09-NF-R1	class	shannon	1.212
Flex_D01-NF-R1	class	shannon	0.965
Flex_D06-NF-R1	class	shannon	1.023
Flex_D04-NF-R1	class	shannon	1.025
XT_D04-NFlex-R1-A	class	simpson	0.409
XT_D06-NFlex-R1-A	class	simpson	0.523
XT_D08-NFlex-R1-C	class	simpson	0.533
XT_D07-NFlex-R1-C	class	simpson	0.466
XT_D10-NFlex-R1-C	class	simpson	0.581
XT_D05-NFlex-R1-C	class	simpson	0.625
XT_D05-NFlex-R1-A	class	simpson	0.627
XT_D05-NFlex-R1-B	class	simpson	0.624
XT_D08-NFlex-R1-B	class	simpson	0.533
XT_D02-NFlex-R1-B	class	simpson	0.516
XT_D07-NFlex-R1-B	class	simpson	0.465
XT_D09-NFlex-R1-B	class	simpson	0.566
XT_D03-NFlex-R1-C	class	simpson	0.614
XT_D01-NFlex-R1-A	class	simpson	0.472
XT_D04-NFlex-R1-C	class	simpson	0.409
XT_D10-NFlex-R1-A	class	simpson	0.581
XT_D06-NFlex-R1-B	class	simpson	0.522
XT_D03-NFlex-R1-B	class	simpson	0.618
XT_D10-NFlex-R1-B	class	simpson	0.583
XT_D09-NFlex-R1-C	class	simpson	0.565
XT_D02-NFlex-R1-A	class	simpson	0.516
XT_D09-NFlex-R1-A	class	simpson	0.565
XT_D04-NFlex-R1-B	class	simpson	0.417
XT_D08-NFlex-R1-A	class	simpson	0.533
XT_D06-NFlex-R1-C	class	simpson	0.523
XT_D02-NFlex-R1-C	class	simpson	0.516
XT_D01-NFlex-R1-C	class	simpson	0.474
XT_D07-NFlex-R1-A	class	simpson	0.463
XT_D03-NFlex-R1-A	class	simpson	0.617
XT_D01-NFlex-R1-B	class	simpson	0.475
Flex_D10-NF-R1	class	simpson	0.599
Flex_D07-NF-R1	class	simpson	0.471
Flex_D08-NF-R1	class	simpson	0.541
Flex_D05-NF-R1	class	simpson	0.625
Flex_D02-NF-R1	class	simpson	0.527
Flex_D03-NF-R1	class	simpson	0.585
Flex_D09-NF-R1	class	simpson	0.564
Flex_D01-NF-R1	class	simpson	0.461
Flex_D06-NF-R1	class	simpson	0.526
Flex_D04-NF-R1	class	simpson	0.444
XT_D04-NFlex-R1-A	order	shannon	0.928
XT_D06-NFlex-R1-A	order	shannon	0.965
XT_D08-NFlex-R1-C	order	shannon	0.918
XT_D07-NFlex-R1-C	order	shannon	0.873
XT_D10-NFlex-R1-C	order	shannon	1.064
XT_D05-NFlex-R1-C	order	shannon	1.313
XT_D05-NFlex-R1-A	order	shannon	1.323
XT_D05-NFlex-R1-B	order	shannon	1.311
XT_D08-NFlex-R1-B	order	shannon	0.919
XT_D02-NFlex-R1-B	order	shannon	0.868
XT_D07-NFlex-R1-B	order	shannon	0.875
XT_D09-NFlex-R1-B	order	shannon	1.196
XT_D03-NFlex-R1-C	order	shannon	1.262
XT_D01-NFlex-R1-A	order	shannon	0.935
XT_D04-NFlex-R1-C	order	shannon	0.928
XT_D10-NFlex-R1-A	order	shannon	1.064
XT_D06-NFlex-R1-B	order	shannon	0.966
XT_D03-NFlex-R1-B	order	shannon	1.27
XT_D10-NFlex-R1-B	order	shannon	1.068
XT_D09-NFlex-R1-C	order	shannon	1.196
