feature,Sample_Type,estimate,CI_low,CI_high
Firmicutes: Faecalibacterium,ZR,0.052605337,0.022555298,0.122690529
Firmicutes: Faecalibacterium,ZH,0.052168629,0.022569638,0.120585266
Firmicutes: Ruminococcus,NF,0.055068093,0.039646944,0.076487481
Firmicutes: Ruminococcus,OF,0.048752138,0.033458992,0.071035342
Firmicutes: Ruminococcus,OR,0.04476389,0.032527826,0.061602822
Firmicutes: Ruminococcus,OH,0.043698123,0.029043332,0.065747483
Firmicutes: Ruminococcus,ZF,0.055132405,0.040599674,0.074867157
Firmicutes: Ruminococcus,ZR,0.045385148,0.029980583,0.068704856
Firmicutes: Ruminococcus,ZH,0.035937887,0.02209572,0.05845167
Firmicutes: Clostridium,NF,0.030277296,0.02536407,0.036142255
Firmicutes: Clostridium,OF,0.030691742,0.023875724,0.03945359
Firmicutes: Clostridium,OR,0.033941805,0.025859793,0.044549705
Firmicutes: Clostridium,OH,0.036677311,0.027135551,0.049574271
Firmicutes: Clostridium,ZF,0.030607851,0.024830577,0.037729311
Firmicutes: Clostridium,ZR,0.030830122,0.024579067,0.038670972
Firmicutes: Clostridium,ZH,0.033750522,0.026473797,0.043027366
Firmicutes: Blautia,NF,0.041405634,0.036372285,0.04713552
Firmicutes: Blautia,OF,0.033138983,0.028529022,0.038493861
Firmicutes: Blautia,OR,0.028816266,0.025457425,0.03261827
Firmicutes: Blautia,OH,0.024492139,0.018871102,0.031787486
Firmicutes: Blautia,ZF,0.043183373,0.035394848,0.052685739
Firmicutes: Blautia,ZR,0.032587733,0.025533401,0.041591026
Firmicutes: Blautia,ZH,0.024264768,0.018599085,0.03165634
Firmicutes: unclassified Lachnospiraceae,NF,0.035689189,0.025362783,0.05021997
Firmicutes: unclassified Lachnospiraceae,OF,0.02765063,0.019557895,0.039092006
Firmicutes: unclassified Lachnospiraceae,OR,0.025654737,0.018191815,0.036179212
Firmicutes: unclassified Lachnospiraceae,OH,0.023927892,0.016845721,0.033987504
Firmicutes: unclassified Lachnospiraceae,ZF,0.028056251,0.021155826,0.037207397
Firmicutes: unclassified Lachnospiraceae,ZR,0.025201066,0.01862376,0.034101263
Firmicutes: unclassified Lachnospiraceae,ZH,0.021862842,0.015262301,0.031317944
Firmicutes: unclassified Ruminococcaceae,NF,0.025897303,0.017574228,0.038162147
Firmicutes: unclassified Ruminococcaceae,OF,0.016412434,0.011328858,0.023777154
Firmicutes: unclassified Ruminococcaceae,OR,0.019857427,0.013466017,0.029282407
Firmicutes: unclassified Ruminococcaceae,OH,0.025082735,0.016657114,0.037770263
Firmicutes: unclassified Ruminococcaceae,ZF,0.020465152,0.014931706,0.028049204
Firmicutes: unclassified Ruminococcaceae,ZR,0.020532989,0.013769757,0.030618089
Firmicutes: unclassified Ruminococcaceae,ZH,0.020412235,0.013500712,0.030862025
Firmicutes: Eubacterium,NF,0.025445049,0.020772962,0.031167945
Firmicutes: Eubacterium,OF,0.021939167,0.017034556,0.028255919
Firmicutes: Eubacterium,OR,0.02332753,0.018893146,0.028802702
Firmicutes: Eubacterium,OH,0.020758213,0.015550553,0.027709846
Firmicutes: Eubacterium,ZF,0.022926913,0.018028127,0.029156846
Firmicutes: Eubacterium,ZR,0.019139231,0.014242842,0.025718895
Firmicutes: Eubacterium,ZH,0.018295619,0.012131466,0.027591858
Firmicutes: Roseburia,NF,0.022764554,0.014959214,0.034642523
Firmicutes: Roseburia,OF,0.021195032,0.014570223,0.03083202
Firmicutes: Roseburia,OR,0.018758747,0.012439185,0.02828888
Firmicutes: Roseburia,OH,0.019580961,0.012947674,0.029612582
Firmicutes: Roseburia,ZF,0.018035063,0.011223764,0.028979894
Firmicutes: Roseburia,ZR,0.016355201,0.010304557,0.025958673
Firmicutes: Roseburia,ZH,0.016327952,0.01101086,0.024212642
Firmicutes: unclassified Clostridiales (miscellaneous),NF,0.020565567,0.015713584,0.026915729
Firmicutes: unclassified Clostridiales (miscellaneous),OF,0.013673555,0.010095477,0.018519791
Firmicutes: unclassified Clostridiales (miscellaneous),OR,0.019184015,0.013820513,0.026629
Firmicutes: unclassified Clostridiales (miscellaneous),OH,0.020299048,0.015001578,0.027467201
Firmicutes: unclassified Clostridiales (miscellaneous),ZF,0.017767858,0.013417448,0.023528824
Firmicutes: unclassified Clostridiales (miscellaneous),ZR,0.019225062,0.014120448,0.02617502
Firmicutes: unclassified Clostridiales (miscellaneous),ZH,0.022162497,0.015771202,0.031143872
Firmicutes: Coprococcus,NF,0.012532296,0.006705504,0.023422316
Firmicutes: Coprococcus,OF,0.010007172,0.005404259,0.018530474
Firmicutes: Coprococcus,OR,0.008941452,0.004667476,0.017129078
Firmicutes: Coprococcus,OH,0.00829757,0.004437342,0.015515968
Firmicutes: Coprococcus,ZF,0.012038488,0.006680585,0.021693491
Firmicutes: Coprococcus,ZR,0.010400658,0.005603785,0.019303681
Firmicutes: Coprococcus,ZH,0.008056759,0.003985523,0.016286788
Firmicutes: Firmicutes: environmental samples,NF,0.009938505,0.006220984,0.015877533
Firmicutes: Firmicutes: environmental samples,OF,0.006178751,0.00380867,0.010023701
Firmicutes: Firmicutes: environmental samples,OR,0.007930414,0.005473629,0.011489903
Firmicutes: Firmicutes: environmental samples,OH,0.007859171,0.004886532,0.012640163
Firmicutes: Firmicutes: environmental samples,ZF,0.008372595,0.005467485,0.012821313
Firmicutes: Firmicutes: environmental samples,ZR,0.008161873,0.005287304,0.012599269
Firmicutes: Firmicutes: environmental samples,ZH,0.008765065,0.005534803,0.013880598
