Sample,Relative.Abundance..Firmicutes,Relative.Abundance..Bacteroidetes,Relative.Abundance..Actinobacteria,Relative.Abundance..Other.Bacteria,Relative.Abundance..Viruses,Relative.Abundance..Fungi,Relative.Abundance..Unclassified...Root,Relative.Abundance..Unclassified,Richness.0.01.,Richness.0.001.,Richness.0.0001.,Richness.0.00001.,Richness.Any.,Shannon.Entropy,Inv.Simpson,Firmicutes..Faecalibacterium,Firmicutes..Ruminococcus,Firmicutes..Clostridium,Firmicutes..Blautia,Firmicutes..unclassified.Lachnospiraceae,Firmicutes..unclassified.Ruminococcaceae,Firmicutes..Eubacterium,Firmicutes..Roseburia,Firmicutes..unclassified.Clostridiales..miscellaneous.,Firmicutes..Coprococcus,Firmicutes..Firmicutes..environmental.samples,Firmicutes..Oscillibacter,Firmicutes..Dorea,Firmicutes..Megamonas,Firmicutes..unclassified.Firmicutes.sensu.stricto..miscellaneous.,Firmicutes..Dialister,Firmicutes..Subdoligranulum,Firmicutes..Gemmiger,Firmicutes..Butyricicoccus,Firmicutes..unclassified.Oscillospiraceae,Firmicutes..unclassified.Clostridiaceae,Firmicutes..Streptococcus,Firmicutes..Anaerostipes,Firmicutes..Flavonifractor,Firmicutes..Lachnoclostridium,Firmicutes..Clostridiales..environmental.samples,Firmicutes..Coprobacillus,Firmicutes..Lachnospira,Firmicutes..Phascolarctobacterium,Firmicutes..Mitsuokella,Firmicutes..Anaerobutyricum,Firmicutes..Butyrivibrio,Firmicutes..unclassified.Erysipelotrichaceae,Firmicutes..Fusicatenibacter,Firmicutes..Megasphaera,Firmicutes..unclassified.Clostridia,Firmicutes..Intestinimonas,Bacteroidetes..Bacteroides,Bacteroidetes..Alistipes,Bacteroidetes..Prevotella,Bacteroidetes..Parabacteroides,Bacteroidetes..Odoribacter,Bacteroidetes..unclassified.Bacteroidaceae,Bacteroidetes..Butyricimonas,Bacteroidetes..Barnesiella,Actinobacteria..Bifidobacterium,Actinobacteria..Collinsella,Actinobacteria..Eggerthella,Proteobacteria..Sutterella,Proteobacteria..Azospirillum,Proteobacteria..Bilophila,Verrucomicrobia..Akkermansia,Lentisphaerae..unclassified.Lentisphaeria,null..crAss.like.viruses,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Absolute.Abundance..Firmicutes,Absolute.Abundance..Bacteroidetes,Absolute.Abundance..Actinobacteria,Absolute.Abundance..Other.Bacteria,Absolute.Abundance..Viruses,Absolute.Abundance..Fungi,Absolute.Abundance..Unclassified...Root,Absolute.Abundance..Unclassified,Richness.100M,Richness.10M,Richness.1M
D01-ZF-R1,0.563918049,0.315322686,0.010206997,0.016706036,0.000340909,0.000604571,0.092851935,0.061823278,92,246,910,2453,3085,2.894729478,9.247320623,0.177957277,0.08260874,0.033140077,0.027868432,0.023383271,0.033641165,0.021126886,0.045815524,0.026343594,0.008684591,0.007444332,0.00820389,0.007987392,5.67e-06,0.002612176,0.008497691,0.009427292,0.005224286,0.0055819,0.001326303,0.00774778,0.003179592,0.002486742,0.004509785,0.00205121,0.003301684,0.000173419,0.003820903,8.39e-06,7.49e-06,0.001679065,0.000225965,0.000472552,0.002490431,1.16e-05,0.001831013,0.000743361,0.227573752,0.092100147,0.000217336,0.041017504,0.00819554,0.001055438,9.82e-05,6.01e-05,0.007724173,0.000122908,0.002114531,1.72e-05,5.45e-05,0.003427666,0.00926419,4.54e-06,0.000189358,D01,ZF,R1,1.0323e+13,4.60863841,35,5.82131e+12,3.25507e+12,1.05367e+11,1.72456e+11,3519191193,6240964546,9.58508e+11,6.382e+11,214,764,2278
D01-ZF-R2,0.680957571,0.204548693,0.013918135,0.01104225,0.000311553,0.000670519,0.088503717,0.063324689,96,255,944,2525,2819,3.069455297,12.18494171,0.156830392,0.111931139,0.038828529,0.04881268,0.033954418,0.041273303,0.024779736,0.079071652,0.023815617,0.01354044,0.008659837,0.005464235,0.013822028,6.11e-06,0.003295211,0.010784293,0.008881911,0.00730563,0.007397056,0.00086822,0.008713678,0.004691532,0.003903391,0.003746887,0.002338402,0.002201426,0.000322664,0.007241915,8.46e-06,9.16e-06,0.003354398,0.000306845,0.000692623,0.004473931,1.34e-05,0.000874821,0.000556848,0.157337381,0.062490368,0.00017276,0.028821575,0.005066673,0.000718207,7.28e-05,4.78e-05,0.011477353,0.000151049,0.0033736,1.19e-05,7.37e-05,0.002104981,0.004858564,2.95e-06,0.00018427,D01,ZF,R2,1.34427e+12,4.68778945,9.92,9.1539e+11,2.74968e+11,18709705093,14843744340,418811154.3,901356633.2,1.18973e+11,85125358819,96,247,919
D01-ZF-R3,0.474740667,0.407181262,0.005422603,0.018161281,0.00061577,0.000515968,0.093318832,0.056991184,86,225,809,2263,2812,2.683705507,7.363170931,0.187853483,0.062510256,0.028551932,0.01769828,0.01663891,0.024212299,0.018932014,0.026755907,0.022603004,0.005130924,0.005644763,0.009447498,0.004586287,4.74e-06,0.00207686,0.00980797,0.008002379,0.003817512,0.005029198,0.00142412,0.006878264,0.001566326,0.001148263,0.004827535,0.001739135,0.003299979,0.000106975,0.002294738,6.84e-06,6.57e-06,0.000711768,0.000180625,0.000374977,0.001675751,1.2e-05,0.001597357,0.000768036,0.271091429,0.126571634,0.000245526,0.052767381,0.009711533,0.001177194,0.000124435,9.23e-05,0.004034845,8.43e-05,0.001088223,1.61e-05,3.96e-05,0.003565764,0.00980276,2.53e-06,0.000362184,D01,ZF,R3,6.01884e+11,4.537551392,10.3,2.85739e+11,2.45076e+11,3263779206,10930987650,370622474,310552918.1,56167128619,34302091777,70,161,520
D01-ZH-R1,0.557290381,0.317868734,0.011710181,0.016709972,0.000370507,0.000626811,0.095373841,0.062302161,97,248,945,2484,2777,2.907702653,9.409518823,0.16405776,0.087294361,0.032267582,0.03032117,0.023419838,0.036775826,0.020415903,0.042226989,0.026856277,0.007693683,0.006695326,0.007527083,0.008490438,5.42e-06,0.002655774,0.00940541,0.008498172,0.005225171,0.005469849,0.001307337,0.007752001,0.002014723,0.00220622,0.00425747,0.002217398,0.003174486,0.000175407,0.004012002,7.62e-06,7.62e-06,0.001839034,0.000244452,0.000491049,0.002780145,1.34e-05,0.001283682,0.000691917,0.22946482,0.098516505,0.00021645,0.041733004,0.007276139,0.00103127,0.000103031,6.57e-05,0.008923112,0.000132557,0.002980336,2.15e-05,5.04e-05,0.003879783,0.007543963,3.84e-06,0.00021899,D01,ZH,R1,8273042954,4.575243355,5,4610487258,2629741690,96878830.68,138242315.5,3065223.519,5185631.465,789031883.8,515428456.1,13,40,83
D01-ZH-R2,0.580478962,0.294259357,0.008841233,0.014734871,0.000585571,0.000686984,0.100358586,0.068871735,96,260,1007,2398,2909,2.997003985,10.73165996,0.134960225,0.100763962,0.040484831,0.027864509,0.028049347,0.045989134,0.028457026,0.047007559,0.027812731,0.008728687,0.008092211,0.008023522,0.007850913,7.09e-06,0.003570374,0.015839341,0.009543045,0.006060226,0.006062044,0.001229129,0.009680923,0.002241371,0.001571483,0.004775955,0.002442483,0.002737969,0.000206794,0.003781669,8e-06,1.14e-05,0.001452652,0.000295167,0.000653432,0.002216414,1.51e-05,0.000947554,0.000695027,0.211317994,0.091752609,0.000232479,0.039815261,0.008328963,0.000947736,9.35e-05,7.29e-05,0.005198272,0.00015738,0.002608819,2.2e-05,4.73e-05,0.002704874,0.005265779,5.82e-06,0.000365675,D01,ZH,R2,2.33239e+11,4.569371389,4.88,1.3539e+11,68632624368,2062116213,3436739790,136577710.9,160231086.6,23407490604,16063543196,58,116,344
D01-ZH-R3,0.510589692,0.368582158,0.005931812,0.016137664,0.000444899,0.000568488,0.097695321,0.062426895,92,241,901,2405,2775,2.771606083,8.007715143,0.172749099,0.080086644,0.030020027,0.020316935,0.019604293,0.032136602,0.020658774,0.031719034,0.028413349,0.005997984,0.006432438,0.008096872,0.004786035,4.75e-06,0.002610502,0.010696612,0.0090363,0.003975225,0.0047407,0.001373768,0.007895672,0.001613776,0.001284931,0.004324792,0.002003526,0.003123947,0.000129649,0.002588235,8.13e-06,6.12e-06,0.001112637,0.000212075,0.000446532,0.001870213,1.36e-05,0.001750581,0.000741033,0.264580711,0.102402697,0.000232167,0.049379217,0.008916782,0.001189568,0.000112306,7.07e-05,0.003781353,0.000115339,0.001378747,1.91e-05,4.29e-05,0.00328153,0.007190872,4.75e-06,0.000263649,D01,ZH,R3,2.21067e+11,4.567729639,3.48,1.12874e+11,81481296051,1311326973,3567502457,98352314.69,125673953.1,21597196786,13800516880,54,111,312
D01-ZR-R1,0.607577777,0.265922099,0.015018266,0.014708506,0.000405722,0.000601826,0.095714762,0.066954044,100,250,948,2479,3083,3.030136895,11.22114886,0.140221633,0.105583082,0.031539775,0.044496997,0.030089037,0.046897534,0.021458675,0.047412191,0.025629861,0.011113792,0.007508759,0.006924242,0.012853381,6.33e-06,0.002860398,0.010935109,0.009677568,0.007282484,0.005685011,0.00120731,0.007800654,0.002602713,0.002488572,0.004569669,0.002542964,0.002974647,0.000196212,0.006891944,9.26e-06,9.94e-06,0.002673812,0.000285123,0.000521455,0.003835334,1.38e-05,0.001189484,0.000683646,0.197859154,0.084985228,0.000201315,0.036183706,0.00707542,0.000884907,8.9e-05,6.25e-05,0.011355281,0.000160575,0.004410871,1.79e-05,5.57e-05,0.003208125,0.007111219,3.93e-06,0.000255046,D01,ZR,R1,8.42831e+11,4.549462411,9.32,5.12086e+11,2.24127e+11,12657865409,12396789452,341955227.2,507237782.2,80671400827,56430966281,82,204,695
D01-ZR-R2,0.598054138,0.278628009,0.012959822,0.013364305,0.000410691,0.000594988,0.095934997,0.06648951,93,247,931,2450,2963,2.960300989,10.27560541,0.169409345,0.091979716,0.032848274,0.032372774,0.026881155,0.045156041,0.022329572,0.052160331,0.026701014,0.010410341,0.007838371,0.007827497,0.009858137,5.92e-06,0.003017926,0.011737684,0.010121519,0.007176224,0.006826348,0.001181993,0.008677229,0.001785402,0.001658635,0.004853478,0.002533838,0.002874188,0.000180639,0.004527929,8.53e-06,9.41e-06,0.001297768,0.000264671,0.000517677,0.002476889,1.28e-05,0.00118126,0.000700748,0.204687259,0.083965953,0.000196701,0.036688966,0.006962611,0.000969699,9.29e-05,6.07e-05,0.009093668,0.00015042,0.003755488,1.78e-05,4.47e-05,0.002939023,0.005227007,4.98e-06,0.000247026,D01,ZR,R2,52212092184,4.588679689,11,31225657793,14547751271,676659416.1,697778318.7,21443036.39,31065555.32,5008966922,3471556435,32,70,160
D01-ZR-R3,0.669442884,0.222172911,0.013009924,0.010266548,0.000281718,0.000657694,0.084122841,0.058344685,98,244,918,2368,2720,3.007482863,11.29351103,0.15059998,0.106175339,0.03773796,0.048095208,0.033715534,0.034959006,0.024257084,0.092384878,0.020968976,0.013061339,0.007184545,0.005155177,0.014649166,6.22e-06,0.003150571,0.00766605,0.007118663,0.005925612,0.006136022,0.000788076,0.008897206,0.003650937,0.004881323,0.003239226,0.002184994,0.001936094,0.000327739,0.007559177,8.6e-06,7.51e-06,0.003682434,0.000303299,0.000659649,0.004268824,1.11e-05,0.000677803,0.000507358,0.183287711,0.056313777,0.000157936,0.032429466,0.005353206,0.00083606,8.11e-05,4.77e-05,0.010962433,0.000137601,0.002992892,1.74e-05,8.14e-05,0.002218608,0.002814236,3.14e-06,0.000162619,D01,ZR,R3,90545652883,4.708748544,5,60615143021,20116791294,1177992074,929591294,25508353.1,59551351.11,7616957520,5282857586,41,84,198
D02-NF-R1,0.457176247,0.405193832,0.007040557,0.006706202,0.010389361,0.000873898,0.112559292,0.072808911,83,229,889,2240,2881,2.511145223,4.425721833,0.060374782,0.056039474,0.032835856,0.03385809,0.037085037,0.012881286,0.023520904,0.035550953,0.051057375,0.00388985,0.003615537,0.010946154,0.004615431,2.46e-06,0.021663424,1.09e-05,0.007559111,0.01081337,0.002374392,0.018082386,0.004791158,0.003997089,0.002320997,0.001950884,0.001609281,0.003173223,0.001881647,0.003815611,0.002100858,3.65e-06,0.000728965,0.000431174,0.000166295,0.001364406,8.12e-06,9.55e-05,0.00060801,0.457387847,0.013631573,0.000600853,0.011344985,0.005646589,0.000750557,0.006742761,4.94e-05,0.004861713,0.001039873,0.001320983,8.27e-06,5.48e-05,0.001526149,8.89e-05,2.93e-06,0.007166748,D02,NF,R1,1.42936e+12,4.543064107,153.2,6.53468e+11,5.79167e+11,10063472376,9585560394,14850110819,1249112044,1.60887e+11,1.0407e+11,85,232,908
