Sample,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Absolute Abundance: Firmicutes,Absolute Abundance: Bacteroidetes,Absolute Abundance: Actinobacteria,Absolute Abundance: Other Bacteria,Absolute Abundance: Viruses,Absolute Abundance: Fungi,Absolute Abundance: Unclassified + Root,Absolute Abundance: Unclassified,Richness 100M,Richness 10M,Richness 1M,ratio of B/F
D02-ZF-R3,D02,ZF,R3,1.30E+12,4.582844955,12.4,7.96E+11,3.41E+11,29513492482,6797832196,8572809511,789812616.9,1.17E+11,85887108166,88,220,799,0.428437356
D02-ZH-R1,D02,ZH,R1,7.13E+11,4.47004546,7.34,3.33E+11,2.88E+11,7110375003,6244405067,10407601203,511913754.7,68088817224,48018379507,73,156,555,0.864522389
D02-ZH-R2,D02,ZH,R2,9.04E+11,4.478611876,3.2,4.62E+11,3.17E+11,14512092256,7490228468,14068539688,693080189.4,87377764151,62815576380,80,191,703,0.686084671
D02-ZH-R3,D02,ZH,R3,1.41E+11,4.501208973,4.44,74699040732,47789139237,2691272927,997474565.4,1616489020,94197550.89,12835126711,9183776846,46,91,233,0.639755729
D02-ZR-R1,D02,ZR,R1,7.59E+11,4.546578705,12.4,4.11E+11,2.51E+11,13014646158,4928100408,6895429626,492645762.1,71326568616,51775049045,75,173,597,0.611958938
D02-ZR-R2,D02,ZR,R2,1.93E+12,4.492525386,5.68,8.95E+11,7.84E+11,24660029568,13239177650,22389748542,1211460654,1.92E+11,1.25E+11,96,256,998,0.875892899
D02-ZR-R3,D02,ZR,R3,3.76E+11,4.502011079,2.16,1.72E+11,1.56E+11,5267514378,2477917418,4887128331,220400058.8,35202153175,23253883501,63,119,372,0.909890923
D03-NF-R1,D03,NF,R1,8.43E+11,4.788781087,46.6,6.05E+11,1.16E+11,48531474928,3940389394,2944494003,760066462.4,64806275083,52904316484,72,214,761,0.192426945
D03-NF-R2,D03,NF,R2,7.57E+12,4.629671133,109.2,4.36E+12,2.12E+12,4.37E+11,36369186185,10543883920,4896072742,6.04E+11,4.57E+11,193,665,2062,0.484985179
D03-NF-R3,D03,NF,R3,2.55E+12,4.658635121,27,1.52E+12,6.82E+11,1.33E+11,11847969974,4780567721,1760202788,1.98E+11,1.53E+11,109,356,1339,0.449760757
