Sample,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Absolute Abundance: Firmicutes,Absolute Abundance: Bacteroidetes,Absolute Abundance: Actinobacteria,Absolute Abundance: Other Bacteria,Absolute Abundance: Viruses,Absolute Abundance: Fungi,Absolute Abundance: Unclassified + Root,Absolute Abundance: Unclassified,Richness 100M,Richness 10M,Richness 1M,ratio of B/F
D07-ZF-R1,D07,ZF,R1,2.24E+12,4.678020614,16.2,1.29E+12,6.22E+11,28904357486,1.09E+11,858990792.9,1402765648,1.95E+11,1.26E+11,102,326,1267,0.483319464
D07-ZF-R2,D07,ZF,R2,8.12E+11,4.631170429,9.26,4.19E+11,2.66E+11,8854285853,41488607086,290357957.7,412690942.2,76122515534,43506032183,73,180,686,0.634643699
D07-ZF-R3,D07,ZF,R3,3.92E+11,4.691816564,13.2,2.45E+11,93321035328,5538489446,16200711235,126388662.1,227008478.3,31470089895,19672270289,53,133,422,0.380830867
D07-ZH-R1,D07,ZH,R1,4.16E+11,4.700719445,7.66,2.11E+11,1.39E+11,2733369340,23680594118,185026846.7,273503733.1,39131003011,23303368066,56,133,484,0.661167566
D07-ZH-R2,D07,ZH,R2,4.69E+11,4.697497392,4.86,2.20E+11,1.70E+11,2068441863,29626452144,233803867.4,317930901.2,46466351559,26870985446,57,148,556,0.774101323
D07-ZH-R3,D07,ZH,R3,1.09E+12,4.658952281,11.1,6.55E+11,2.75E+11,16636152430,52296177852,393568424.1,720496345.3,93723203150,60686173883,82,230,852,0.41934004
D07-ZR-R1,D07,ZR,R1,1.64E+12,4.747917996,6.76,8.20E+11,5.59E+11,10928488612,96878203663,685217657.2,981411790.3,1.49E+11,88220228203,88,270,1007,0.681633838
D07-ZR-R2,D07,ZR,R2,89945944469,4.604204745,1,48240624830,28179665000,1012557419,4541952303,32151528.14,50896390.64,7884465221,4668333630,38,77,196,0.58414801
D07-ZR-R3,D07,ZR,R3,1.59E+12,4.640664807,11.3,9.63E+11,3.97E+11,24671190920,71879967865,524436854.6,956482641,1.33E+11,83142274808,88,261,989,0.412225164
D08-NF-R1,D08,NF,R1,2.11E+13,4.572967948,100,1.07E+13,7.61E+12,4.88E+11,2.34E+11,43600979583,12081850504,1.97E+12,1.35E+12,309,1275,2640,0.708039511
D08-NF-R2,D08,NF,R2,2.14E+11,4.594574891,112,1.08E+11,78765114162,4229020977,2156692060,655742155.6,133212137.1,20052124607,13712568033,44,103,313,0.730059839
D08-NF-R3,D08,NF,R3,7.02E+12,4.615138628,112,4.25E+12,1.83E+12,2.15E+11,62735318533,14852918163,4428397522,6.39E+11,4.78E+11,173,644,2051,0.431689963
D08-OF-R1,D08,OF,R1,3.93E+12,4.519247448,90.2,1.95E+12,1.51E+12,81193712253,33891114729,6526965250,2157483641,3.39E+11,2.24E+11,125,422,1617,0.776213377
D08-OF-R2,D08,OF,R2,2.90E+13,4.520282665,139.2,1.33E+13,1.25E+13,4.59E+11,2.42E+11,49234018566,14685256397,2.52E+12,1.52E+12,338,1264,2611,0.94310543
D08-OF-R3,D08,OF,R3,1.67E+13,4.482312388,5.22,7.18E+12,7.63E+12,2.77E+11,1.49E+11,23824723872,8690911713,1.46E+12,8.93E+11,253,1013,2598,1.062014363
D08-OH-R1,D08,OH,R1,1.06E+13,4.497571683,100,3.78E+12,5.56E+12,59022920601,1.07E+11,51530822313,4833085194,1.03E+12,6.44E+11,187,738,2071,1.471695293
D08-OH-R2,D08,OH,R2,3.96E+12,4.495049027,91,1.73E+12,1.74E+12,52113438086,40991805685,15116477372,2151070369,3.82E+11,2.55E+11,125,428,1573,1.007920815
D08-OH-R3,D08,OH,R3,1.42E+12,4.498924406,5.16,5.16E+11,7.41E+11,8436695997,14981017369,6173294644,605588566.1,1.36E+11,87149429914,83,230,859,1.4352955
D08-OR-R1,D08,OR,R1,7.64E+12,4.43305307,104.8,3.11E+12,3.63E+12,86967912207,85125507963,34559114111,3899205551,6.90E+11,4.26E+11,158,592,1998,1.169941838
D08-OR-R2,D08,OR,R2,2.77E+12,4.463391292,4.18,1.17E+12,1.25E+12,49236889849,29997019359,6734080307,1350480440,2.58E+11,1.64E+11,106,344,1322,1.06516195
D08-OR-R3,D08,OR,R3,2.13E+13,4.439727662,89,8.19E+12,1.06E+13,2.47E+11,2.60E+11,90297430418,10185530848,1.96E+12,1.18E+12,281,1133,2673,1.291810846
D08-ZF-R1,D08,ZF,R1,3.05E+12,4.54165128,14.2,1.38E+12,1.35E+12,39972265333,25439700235,13678225845,1473788211,2.44E+11,1.52E+11,105,328,1298,0.975441961
D08-ZF-R2,D08,ZF,R2,1.48E+11,4.592336452,7.02,82685048375,45440898580,2908960896,968104768.1,564738341.8,94553922.77,15361903458,11914216687,42,85,241,0.549566088
D08-ZF-R3,D08,ZF,R3,1.80E+12,4.565327478,5.76,9.96E+11,5.96E+11,35280457253,11983965511,7144772452,999108524.3,1.52E+11,1.11E+11,92,266,1030,0.597921829
D08-ZH-R1,D08,ZH,R1,19680527904,4.436075189,1.8,8140568065,8662397938,391116581.3,198731750.3,183566138.3,11599542.19,2091859568,1468013701,19,47,101,1.06410239
D08-ZH-R2,D08,ZH,R2,69189434761,4.44614943,4.26,24662084142,35280307736,486852936.4,713284919.6,389286237.9,40219188.59,7614862174,4858710146,32,65,150,1.430548511
D08-ZH-R3,D08,ZH,R3,20780109135,4.390116117,4.36,7401215340,10110167638,265934562.2,222730995.5,193899586.5,11813352.82,2573776328,1863724497,18,46,101,1.366014522
D08-ZR-R1,D08,ZR,R1,5.60E+11,4.392608486,10.5,1.85E+11,3.13E+11,4337479507,5263681988,4856391495,239203312.4,47244508172,28773478274,61,123,455,1.692393238
D08-ZR-R2,D08,ZR,R2,61376460020,4.494109887,3.18,31561402035,21681702559,1220371216,532082878.9,308149857,36051161.8,6034699726,4392434896,35,67,145,0.686968929
D08-ZR-R3,D08,ZR,R3,9.04E+11,4.398252996,12.3,3.68E+11,4.26E+11,18698360726,8514698041,3848635770,383542391.6,78515996585,46834540824,76,180,688,1.157059971
D09-NF-R1,D09,NF,R1,3.26E+12,4.757638949,99.6,1.94E+12,6.67E+11,2.10E+11,1.06E+11,1848421841,2422369756,3.36E+11,2.55E+11,123,437,1489,0.344071825
D09-NF-R2,D09,NF,R2,3.26E+12,4.74316757,134,1.85E+12,7.17E+11,1.90E+11,1.34E+11,3092516905,2631199541,3.55E+11,2.72E+11,127,453,1535,0.386683872
D09-NF-R3,D09,NF,R3,1.65E+12,4.729501743,169.6,9.02E+11,3.82E+11,1.25E+11,75916949091,1641522672,1014738525,1.64E+11,1.22E+11,98,284,1062,0.423889301
D09-OF-R1,D09,OF,R1,7.47E+12,4.50761654,62.2,2.64E+12,3.30E+12,2.53E+11,3.27E+11,8711623642,6889301758,9.34E+11,6.94E+11,185,722,1985,1.249114169
D09-OF-R2,D09,OF,R2,1.97E+11,4.452688821,35.4,54190105597,1.04E+11,4510350320,8947193844,229371586.8,182215253.6,25594973887,19034791159,52,109,326,1.915042538
D09-OF-R3,D09,OF,R3,4.97E+12,4.666396848,108,2.53E+12,1.48E+12,2.46E+11,1.51E+11,2922062967,3831255748,5.57E+11,4.13E+11,154,552,1691,0.584796974
D09-OH-R1,D09,OH,R1,2.17E+13,4.673006859,91.8,1.05E+13,7.04E+12,7.94E+11,8.17E+11,23806465946,19477258221,2.45E+12,1.91E+12,370,1324,2668,0.669833767
D09-OH-R2,D09,OH,R2,6.57E+12,4.741217287,8.12,3.30E+12,2.02E+12,2.39E+11,2.76E+11,5966698852,5011364376,7.32E+11,5.53E+11,177,687,1885,0.612895859
D09-OH-R3,D09,OH,R3,2.91E+13,4.740975669,76.6,1.45E+13,8.84E+12,9.85E+11,1.28E+12,24646037212,25643711150,3.41E+12,2.59E+12,427,1454,2603,0.610338219
D09-OR-R1,D09,OR,R1,9.36E+12,4.605007743,57.4,3.48E+12,3.98E+12,2.69E+11,4.30E+11,5926376538,7720024491,1.20E+12,8.65E+11,214,794,2077,1.14530785
D09-OR-R2,D09,OR,R2,1.34E+13,4.603041767,46.4,6.16E+12,4.34E+12,7.07E+11,6.43E+11,8993591902,10792467526,1.55E+12,1.15E+12,258,997,2187,0.704520168
D09-OR-R3,D09,OR,R3,3.23E+12,4.627469469,90.4,1.50E+12,1.08E+12,1.41E+11,1.31E+11,2152425282,2634043317,3.77E+11,2.81E+11,125,444,1405,0.719117378
D09-ZF-R1,D09,ZF,R1,80576894048,4.644170606,5.64,41770629151,22257388201,5076014934,2458649261,88380939.9,68559151.62,8851922035,6825075321,41,85,204,0.532847808
D09-ZF-R2,D09,ZF,R2,1.82E+11,4.64895251,6.22,91944212893,53710584822,10184368686,6570674606,185909415.5,137280660.7,19653887999,14843155303,46,106,309,0.584164931
D09-ZF-R3,D09,ZF,R3,2.22E+11,4.657003824,5.3,1.02E+11,74994045628,8247528823,10526259192,325098898.1,176288957.6,26062821783,20082889037,51,111,345,0.736178467
D09-ZH-R1,D09,ZH,R1,18180783886,4.653805236,3.76,7700433074,6882220758,520073494.1,769137378.3,30494793.55,15372354.14,2262012692,1728343175,22,51,108,0.893744636
D09-ZH-R2,D09,ZH,R2,94493786068,4.629414498,4.7,37721526363,36466515801,2500363356,5078779489,205718413.4,87729459.28,12427637704,9762732907,40,89,221,0.966729592
D09-ZH-R3,D09,ZH,R3,1.45E+11,4.645655198,2.6,50708079797,64595905089,1505282924,7642319851,336653086.9,136237124.5,20055051828,15611485510,43,98,274,1.273877957
D09-ZR-R1,D09,ZR,R1,8482548528,4.538273372,3.18,2965026907,3830385581,203617189.7,379132850.7,16158204.85,7232761.976,1080535383,808998949,13,40,82,1.291855251
D09-ZR-R2,D09,ZR,R2,1.75E+11,4.693765362,3.14,81941362008,57912735172,6767247409,7156929944,260238946.4,138747492,20407264157,15703208641,47,106,299,0.706758269
D09-ZR-R3,D09,ZR,R3,63719603548,4.624150211,2.64,26975034888,23906375454,2337775968,2826906449,114299400,51787967.61,7503971900,5722855942,40,77,169,0.886240761
D10-NF-R1,D10,NF,R1,2.08E+12,4.595630928,83.8,1.07E+12,6.68E+11,1.49E+11,4294141108,215795696.4,992466953.6,1.93E+11,1.07E+11,92,255,958,0.625757465
D10-NF-R2,D10,NF,R2,2.92E+11,4.585483447,7.16,1.17E+11,1.25E+11,17205140290,846463846.7,42605857.32,132322545.1,31604698125,16765964295,49,110,313,1.074234656
D10-NF-R3,D10,NF,R3,55175675.9,4.588624514,6.98,26002785.38,20090367,3602225.207,111093.0739,4762.880247,22248.58061,5340267.105,2845494.911,0,3,9,0.772623652
D10-OF-R1,D10,OF,R1,2.21E+12,4.585242984,28.4,6.14E+11,1.30E+12,68942763800,4563610399,143504852,779408636.8,2.26E+11,91215675762,82,221,821,2.117496153
D10-OF-R2,D10,OF,R2,3.40E+12,4.576450875,8.48,1.37E+12,1.49E+12,1.91E+11,8109278028,206921538.5,1354780406,3.44E+11,1.68E+11,110,323,1187,1.090502106
D10-OF-R3,D10,OF,R3,2.82E+12,4.582507137,55.4,1.06E+12,1.35E+12,1.23E+11,6029752976,144039013.5,1104123746,2.82E+11,1.27E+11,94,271,979,1.277276367
D10-OH-R1,D10,OH,R1,4.40E+12,4.575283288,44,1.89E+12,1.85E+12,2.18E+11,11027887074,430457492.8,2148224964,4.33E+11,2.36E+11,124,389,1406,0.980235211
D10-OH-R2,D10,OH,R2,4.32E+12,4.57783751,18.4,1.55E+12,2.14E+12,1.59E+11,12228750272,522003848.7,1753381090,4.60E+11,2.12E+11,117,359,1215,1.377961121
D10-OH-R3,D10,OH,R3,4.69E+12,4.575752811,37.4,1.57E+12,2.46E+12,1.53E+11,13918346241,524154352.6,1952945895,4.93E+11,2.19E+11,119,386,1339,1.570334681
D10-OR-R1,D10,OR,R1,2.61E+12,4.567861069,33.2,9.58E+11,1.27E+12,1.01E+11,5618297315,215811676.6,1028096538,2.71E+11,1.26E+11,93,267,996,1.325121589
D10-OR-R2,D10,OR,R2,3.25E+12,4.565806393,34.6,1.09E+12,1.70E+12,1.09E+11,6702207244,243129020.3,1202450905,3.42E+11,1.47E+11,101,300,1118,1.565171486
D10-OR-R3,D10,OR,R3,8.19E+12,4.57702505,83.2,3.12E+12,3.90E+12,3.33E+11,18949947401,531805658.2,3241065838,8.16E+11,3.81E+11,146,499,1640,1.250752331
D10-ZF-R1,D10,ZF,R1,56511974571,4.579564962,2.92,21262710636,27843246279,1666354198,219975458.2,6600164.915,21911033.55,5489498824,2632672772,31,55,130,1.309487147
D10-ZF-R2,D10,ZF,R2,3.42E+11,4.57864506,4,1.45E+11,1.50E+11,12136061065,963682230.5,38150613.41,159983521.9,34407755215,17543440708,48,113,317,1.033757115
D10-ZF-R3,D10,ZF,R3,1.81E+12,4.586261252,7.24,9.20E+11,6.16E+11,95768514489,5079762625,162486397.3,857646549.5,1.71E+11,94038589913,85,245,852,0.669471932
D10-ZH-R1,D10,ZH,R1,1.77E+11,4.598279186,3.84,52495872924,1.02E+11,1307287367,691490574.6,31563352.73,77260899.39,20431112927,9952732785,35,78,215,1.950514424
D10-ZH-R2,D10,ZH,R2,13163195000,4.573068816,2.44,3889553313,7417213837,325593363.3,49946039.12,4006366.775,5868456.376,1470585117,719797209.3,14,37,72,1.906957751
D10-ZH-R3,D10,ZH,R3,1.27E+11,4.6049781,2.88,37507605802,73410779510,1323749649,524610340.2,23222948.61,57327874.61,13905167598,6853370328,34,69,179,1.95722382
D10-ZR-R1,D10,ZR,R1,1.64E+11,4.58005881,3.8,58926207575,81081749492,7182909143,485700222.1,35275469.67,69774721.33,16573261000,8238401892,41,80,213,1.375987915
D10-ZR-R2,D10,ZR,R2,2.88E+11,4.605292386,4.8,87309002310,1.66E+11,3862984488,719760491,55977424.48,116984216.8,29507469134,13125789910,45,93,268,1.901426743
D10-ZR-R3,D10,ZR,R3,89862270891,4.590310546,2.1,35450706578,41752527135,3274098295,271546448.4,12791578.4,38828409.84,9058559201,4702654949,35,63,157,1.177762904
