XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Microbotryomycetes	152	86	38	46	31	85	105	82	46	76	68	45	56	102	133	31	75	43	29	68	64	71	143	39	65	61	87	60	44	77	61	189	95	161	73	140	52	94	168	330
Pucciniomycetes	1483	14741	350	598	418	279	410	545	445	1042	763	982	681	943	1125	503	11739	462	644	1168	858	842	1253	354	9713	878	891	647	671	699	945	3516	1128	1859	2792	3976	1212	1061	1664	5759
Cystobasidiomycetes	33	14	7	7	8	9	10	4	8	18	8	55	18	26	41	5	11	13	10	50	18	43	33	7	14	18	22	11	13	18	11	27	11	14	11	18	27	13	17	49
Mixiomycetes	5	0	0	1	1	0	0	0	2	1	1	0	0	9	2	1	1	1	0	0	2	0	5	1	1	0	5	0	0	8	1	12	2	1	2	7	0	13	1	9
Ustilaginomycetes	153	48	35	29	26	109	132	128	39	65	46	118	39	60	134	42	36	30	41	126	78	93	140	23	38	71	64	39	37	47	48	171	88	307	115	92	72	44	57	300
Exobasidiomycetes	107	44	22	30	13	106	105	100	30	54	34	46	28	64	98	8	34	26	20	65	37	39	103	17	23	43	64	42	25	59	25	141	42	172	40	66	47	83	31	256
Malasseziomycetes	153	51	35	30	56	32	54	32	14	71	49	19	26	178	121	34	51	31	21	19	53	46	164	26	60	48	66	27	36	65	21	130	39	62	75	47	19	61	143	339
Wallemiomycetes	1	3	3	4	6	1	1	0	5	11	1	23	2	16	2	10	3	1	5	19	6	14	2	4	3	5	22	5	4	18	21	13	3	0	14	7	18	9	2	4
Geminibasidiomycetes	5	1	2	3	0	5	5	2	2	3	4	3	9	12	11	2	0	5	2	0	5	1	11	1	3	1	12	3	4	10	0	10	8	2	6	40	1	4	2	30
Gammaproteobacteria	30462	23349	13116	11721	25533	23774	26940	26430	15457	37190	13543	126688	30831	51754	27245	24905	22436	25864	29972	146117	37003	123252	27194	13738	18344	33708	49368	12569	29748	42302	40017	51675	24992	52276	58956	65712	439758	45393	32239	67611
Alphaproteobacteria	32459	8561	5182	75932	3806	16238	19366	18739	6280	9619	84135	7529	7615	14642	28422	3694	8055	6023	4375	8800	9580	7490	29862	4933	6656	8746	14147	80654	6899	11792	4966	222180	11860	32873	12743	21552	8302	13835	13852	54887
Betaproteobacteria	15066	8055	59086	55503	1995	242456	289438	285980	67959	29183	63899	410379	19222	32010	13268	2643	7350	15183	2410	479334	28625	411774	13937	54323	6122	26401	31567	60016	17271	26444	3717	223010	178860	531513	50935	31061	394389	29157	11261	42265
Zetaproteobacteria	83	30	27	38	24	60	72	63	21	24	33	50	30	46	63	22	24	34	22	60	26	57	54	19	21	27	60	35	33	37	35	141	38	79	37	85	71	66	34	142
Oligoflexia	202	79	53	67	103	94	106	120	81	129	63	85	86	121	188	88	69	58	109	110	127	95	173	65	60	152	115	66	81	97	124	264	117	317	179	188	109	109	110	579
Acidithiobacillia	70	33	14	26	9	41	40	47	20	29	40	12	27	41	75	5	35	26	5	27	21	15	80	14	32	30	34	20	12	38	11	103	42	77	41	104	31	48	63	111
